state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Arizona,Overall,2020-02-23,1.01,5.664,-0.341,5.785,6.519,1.062
Arizona,Overall,2020-02-24,1.196,15.281,-0.216,4.798,5.096,2.714
Arizona,Overall,2020-02-25,1.681,9.277,-0.173,5.197,7.105,2.547
Arizona,Overall,2020-02-26,4.265,9.804,-1.006,8.92,8.904,1.89
Arizona,Overall,2020-02-27,4.118,16.752,-1.012,9.142,6.009,1.713
Arizona,Overall,2020-02-28,5.294,10.176,-0.93,6.605,7.064,2.624
Arizona,Overall,2020-02-29,5.65,13.775,-1.618,6.003,6.577,2.388
Arizona,Overall,2020-03-01,7.406,20.728,-1.339,11.688,7.678,2.517
Arizona,Overall,2020-03-02,4.038,3.82,-0.377,8.354,3.971,2.984
Arizona,Overall,2020-03-03,7.554,11.484,-0.696,9.035,6.38,2.873
Arizona,Overall,2020-03-04,8.113,17.086,-1.101,8.212,6.599,2.426
Arizona,Overall,2020-03-05,5.783,22.456,-1.156,9.163,4.511,1.787
Arizona,Overall,2020-03-06,5.706,20.284,-0.752,5.831,7.558,1.441
Arizona,Overall,2020-03-07,5.317,18.108,-1.504,4.392,9.468,0.97
Arizona,Overall,2020-03-08,4.376,21.833,-1.627,9.036,7.044,1.089
Arizona,Overall,2020-03-09,4.082,32.376,0.314,8.512,4.455,-6.623
Arizona,Overall,2020-03-10,3.083,4.231,1.867,5.663,2.062,-7.643
Arizona,Overall,2020-03-11,5.657,-14.489,2.674,5.386,-2.242,-9.981
Arizona,Overall,2020-03-12,15.281,-14.919,3.514,6.301,-5.979,-11.538
Arizona,Overall,2020-03-13,20.358,-15.559,4.262,0.371,-7.022,-12.116
Arizona,Overall,2020-03-14,18.488,-6.079,1.505,-4.873,-2.017,-1.903
Arizona,Overall,2020-03-15,16.258,14.722,0.815,-2.1,-3.386,-3.695
Arizona,Overall,2020-03-16,22.221,12.973,4.969,0.071,-9.379,-19.281
Arizona,Overall,2020-03-17,19.709,8.961,7.639,-8.564,-8.909,-24.272
Arizona,Overall,2020-03-18,6.441,-38.349,11.977,-22.594,-21.155,-30.763
Arizona,Overall,2020-03-19,7.473,-8.234,12.66,-22.496,-23.446,-33.077
Arizona,Overall,2020-03-20,6.478,-5.747,13.798,-27.686,-25.204,-33.16
Arizona,Overall,2020-03-21,-1.079,-13.564,9.947,-36.344,-25.957,-22.396
Arizona,Overall,2020-03-22,-9.642,0.201,8.399,-36.963,-32.723,-27.832
Arizona,Overall,2020-03-23,-9.841,-3.353,13.394,-30.853,-33.078,-36.848
Arizona,Overall,2020-03-24,-8.827,0.447,14.801,-31.669,-30.642,-39.323
Arizona,Overall,2020-03-25,-11.167,-6.544,15.16,-33.227,-32.096,-40.886
Arizona,Overall,2020-03-26,-12.183,-9.06,15.971,-33.678,-35.994,-41.841
Arizona,Overall,2020-03-27,-14.244,-22.215,17.863,-37.608,-39.389,-41.091
Arizona,Overall,2020-03-28,-14.597,-23.879,11.966,-40.976,-37.283,-29.255
Arizona,Overall,2020-03-29,-17.423,-6.628,9.819,-39.69,-40.727,-33.027
Arizona,Overall,2020-03-30,-8.528,-6.459,14.341,-29.864,-36.658,-42.519
Arizona,Overall,2020-03-31,-9.976,-16.977,16.207,-32.69,-35.41,-44.325
Arizona,Overall,2020-04-01,-15.108,-20.168,17.304,-38.421,-37.464,-46.685
Arizona,Overall,2020-04-02,-15.713,-17.01,18.041,-38.339,-40.156,-47.211
Arizona,Overall,2020-04-03,-12.995,-21.306,18.976,-38.515,-40.957,-46.027
Arizona,Overall,2020-04-04,-16.174,-35.552,13.349,-44.113,-43.176,-34.378
Arizona,Overall,2020-04-05,-19.199,-23.319,10.651,-43.445,-46.613,-37.186
