state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
BB,Christ Church,grocery/pharmacy,3.496,2.073,13.228,9.715,10.047,11.054,6.225,6.991,-0.518,6.614,3.778,2.115,6.803,4.565,5.593,-1.036,1.653,7.016,11.104,16.582,3.32,1.398,6.219,20.944,10.255,6.345,-6.803,-5.81,-21.672,-9.847,-11.574,-14.033,-15.863,-20.408,-40.671,-59.424,-54.415,-44.092,-39.94,-36.485,-37.84,-100.847,-97.875
BB,Christ Church,parks,4.608,-0.986,1.944,9.325,14.102,26.083,34.406,58.232,3.946,-0.972,3.926,5.171,9.676,4.639,5.865,1.48,1.944,5.399,-0.47,1.683,5.026,-0.419,-7.398,-11.179,-12.27,-17.393,-22.717,-27.834,-38.542,-32.06,-32.565,-25.031,-29.144,-27.766,-41.364,-60.326,-57.214,-54.923,-53.007,-55.938,-54.269,-89.301,-87.976
BB,Christ Church,residential,-0.008,1.024,-0.506,-1.348,-1.229,-0.683,-0.768,-1.325,0.529,-0.091,-0.575,0.206,0.125,0.426,0.207,1.281,0.453,-0.263,0.265,1.022,2.058,1.528,1.682,1.745,6.3,8.292,10.489,8.79,8.354,13.483,13.9,14.324,15.489,16.003,14.627,14.922,28.447,28.248,27.797,29.03,26.76,,
BB,Christ Church,retail/recreation,14.065,6.01,15.739,16.159,11.944,3.17,7.739,11.867,-2.003,4.579,4.328,3.056,2.491,1.464,23.295,-7.44,-2.003,1.443,1.389,-4.076,-6.066,-3.077,-7.727,-10.875,-15.582,-15.833,-28.986,-33.049,-46.15,-35.199,-33.482,-35.78,-35.556,-36.005,-48.527,-84.388,-77.839,-77.266,-73.292,-70.208,-78.804,-104.167,-96.695
BB,Christ Church,transitstations,-4.304,-6.944,9.629,5.524,12.255,5.144,-0.709,5.165,-0.694,2.626,-3.157,,-4.501,-10.629,-5.165,-11.111,-6.127,-10.259,-1.532,-13.503,-5.669,-8.609,-1.389,9.629,-7.891,-29.105,-22.505,-21.258,-35.296,-43.056,-39.391,-51.294,-55.913,-56.584,-73.696,-86.949,-79.861,-69.153,-79.703,-85.784,-86.806,-96.372,-104.167
BB,Christ Church,workplace,1.074,1.353,4.499,2.367,1.331,,1.437,5.369,3.382,5.883,5.073,0.333,2.367,-2.155,5.369,4.397,4.153,3.382,,-0.338,-0.718,1.074,0.676,1.038,-11.499,-16.307,-19.278,-12.931,-20.404,-28.071,-32.184,-36.188,-37.274,-37.202,-35.92,-52.62,-66.626,-67.483,-71.361,-72.218,-74.743,-86.207,-81.615
BB,Saint George,grocery/pharmacy,4.212,-4.54,5.818,5.882,8.053,4.983,1.842,1.723,-0.126,1.759,2.736,4.295,2.781,-1.409,1.149,-4.918,-0.677,2.189,12.482,12.168,3.684,-0.383,2.396,17.86,9.164,8.187,-0.811,-4.118,-9.764,-7.314,-5.683,-6.429,-5.771,-5.91,-26.657,-47.095,-45.775,-40.591,-34.469,-28.722,-26.306,-95.547,-92.467
BB,Saint George,parks,-5.315,-7.659,-1.578,-3.109,4.596,6.593,-3.125,-5.315,-1.532,,7.774,3.064,-1.319,-4.167,1.063,-7.659,1.578,3.109,-1.532,-7.911,-7.292,-10.629,-16.85,-7.891,-9.328,-9.191,-17.141,-21.875,-28.699,-27.574,-17.361,-12.438,-15.319,-19.778,-35.417,-55.272,-52.083,-44.192,-35.759,-36.765,-34.283,-90.625,-86.097
BB,Saint George,residential,-0.008,1.024,-0.506,-1.348,-1.229,-0.683,-0.768,-1.325,0.529,-0.091,-0.575,0.206,0.125,0.426,0.207,1.281,0.453,-0.263,0.265,1.022,2.058,1.528,1.682,1.745,6.3,8.292,10.489,8.79,8.354,13.483,13.9,14.324,15.489,16.003,14.627,14.922,28.447,28.248,27.797,29.03,26.76,,
BB,Saint George,retail/recreation,9.415,-3.141,7.708,6.723,10.7,7.022,9.81,18.829,-4.476,1.365,1.281,2.734,2.341,-0.262,4.707,-7.225,-1.285,1.281,1.562,0.78,-2.812,-1.018,-8.167,-5.38,-13.526,-15.23,-21.325,-26.683,-37.149,-29.527,-26.095,-30.013,-27.335,-25.031,-38.977,-69.973,-67.143,-66.241,-64.109,-60.372,-64.626,-95.482,-87.784
