state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
BE,Brussels,2020-02-23,-13.182,-35.728,0.479,-9.088,0.492,-5.219
BE,Brussels,2020-02-24,-5.572,-21.559,3.596,2.982,-9.434,-18.862
BE,Brussels,2020-02-25,-1.432,-3.521,2.821,3.552,-7.589,-17.901
BE,Brussels,2020-02-26,-4.754,-22.611,2.314,-4.677,-9.027,-16.152
BE,Brussels,2020-02-27,-7.183,-36.651,4.397,-8.752,-13.074,-18.328
BE,Brussels,2020-02-28,-2.789,-16.229,4.06,-3.204,-7.139,-18.891
BE,Brussels,2020-02-29,-1.353,-24.779,0.369,-7.265,-1.982,-2.104
BE,Brussels,2020-03-01,1.344,10.163,-0.621,-4.695,7.11,-3.998
BE,Brussels,2020-03-02,1.551,-21.559,0.575,-8.844,-1.019,1.917
BE,Brussels,2020-03-03,7.424,5.799,-0.33,2.273,-1.97,3.325
BE,Brussels,2020-03-04,4.461,-10.049,0.239,-2.632,-1.303,2.821
BE,Brussels,2020-03-05,-2.052,-21.219,1.245,-6.054,0.089,1.771
BE,Brussels,2020-03-06,3.115,-8.612,1.368,-2.066,6.154,0.487
BE,Brussels,2020-03-07,1.48,29.987,-0.102,2.366,6.712,0.601
BE,Brussels,2020-03-08,-9.46,-16.514,1.138,-4.759,2.916,-5.219
BE,Brussels,2020-03-09,1.868,2.348,1.26,-5.229,-4.152,0.491
BE,Brussels,2020-03-10,1.798,-14.703,2.176,-10.199,-7.968,-0.396
BE,Brussels,2020-03-11,3.452,-15.461,2.223,-12.61,-7.271,-1.365
BE,Brussels,2020-03-12,16.616,-7.19,3.327,-13.912,-10.652,-3.896
BE,Brussels,2020-03-13,33.555,-24.179,7.153,-20.211,-20.246,-14.139
BE,Brussels,2020-03-14,-13.809,1.263,12.59,-75.749,-43.125,-34.121
BE,Brussels,2020-03-15,-28.381,13.974,9.836,-73.263,-45.939,-38.535
BE,Brussels,2020-03-16,2.501,-13.661,18.444,-52.41,-53.047,-48.828
BE,Brussels,2020-03-17,13.216,29.2,20.189,-57.412,-59.085,-57.555
BE,Brussels,2020-03-18,-17.03,11.789,24.843,-75.622,-68.664,-66.563
BE,Brussels,2020-03-19,-36.046,-35.424,32.616,-86.78,-79.692,-74.904
BE,Brussels,2020-03-20,-38.807,-58.956,36.329,-88.926,-81.337,-75.17
BE,Brussels,2020-03-21,-49.544,-36.616,24.921,-92.08,-79.222,-62.154
BE,Brussels,2020-03-22,-58.571,-24.136,18.117,-89.673,-78.805,-60.19
BE,Brussels,2020-03-23,-39.925,-36.501,32.518,-86.908,-82.462,-77.924
BE,Brussels,2020-03-24,-36.054,-30.442,33.176,-87.188,-83.424,-79.044
BE,Brussels,2020-03-25,-39.075,-35.946,32.332,-88.338,-82.808,-78.483
BE,Brussels,2020-03-26,-39.753,-44.718,34.943,-88.905,-84.555,-79.486
BE,Brussels,2020-03-27,-37.828,-41.236,37.197,-89.061,-82.508,-78.322
BE,Brussels,2020-03-28,-48.497,-37.247,25.225,-91.887,-79.909,-64.559
BE,Brussels,2020-03-29,-67.359,-66.533,19.443,-93.054,-85.719,-64.743
BE,Brussels,2020-03-30,-44.231,-48.668,33.343,-88.051,-84.112,-79.218
BE,Brussels,2020-03-31,-38.551,-36.241,33.521,-87.226,-84.164,-79.529
BE,Brussels,2020-04-01,-40.605,-29.375,32.001,-88.089,-83.073,-78.643
BE,Brussels,2020-04-02,-42.567,-57.344,35.28,-89.327,-85.624,-79.774
BE,Brussels,2020-04-03,-38.807,-44.217,37.25,-88.956,-83.196,-78.067
BE,Brussels,2020-04-04,-45.919,-21.149,24.831,-90.897,-77.372,-63.282
BE,Brussels,2020-04-05,-51.489,9.845,17.208,-87.132,-74.512,-58.969
BE,Flanders,2020-02-23,-5.512,-33.973,0.493,-9.973,-0.052,-3.988
BE,Flanders,2020-02-24,0.81,17.842,4.091,8.338,-10.004,-24.762
BE,Flanders,2020-02-25,3.184,39.334,3.491,11.665,-6.203,-22.242
BE,Flanders,2020-02-26,-3.792,2.71,2.811,0.748,-11.195,-20.86
BE,Flanders,2020-02-27,-0.072,-14.257,5.831,-0.232,-15.732,-23.613
BE,Flanders,2020-02-28,3.553,4.388,4.28,-1.284,-10.287,-24.027
BE,Flanders,2020-02-29,2.853,-7.69,0.801,-4.504,-4.056,-5.589
BE,Flanders,2020-03-01,7.181,-12.996,-0.247,-1.645,6.871,-0.263
BE,Flanders,2020-03-02,6.159,-10.364,0.612,-4.754,0.656,2.946
BE,Flanders,2020-03-03,6.655,13.704,-0.028,1.283,1.749,3.964
BE,Flanders,2020-03-04,4.566,15.554,-0.022,1.368,1.905,4.057
BE,Flanders,2020-03-05,0.555,-17.246,1.854,-5.843,-1.436,1.893
BE,Flanders,2020-03-06,5.887,4.338,0.346,-1.288,3.149,2.371
BE,Flanders,2020-03-07,3.134,33.704,-0.866,5.287,8.168,2.092
BE,Flanders,2020-03-08,2.831,-29.348,0.403,-3.001,-2.185,0.405
BE,Flanders,2020-03-09,4.519,12.201,0.35,-1.848,-0.536,2.221
BE,Flanders,2020-03-10,4.319,-3.887,1.525,-4.489,-2.651,1.533
BE,Flanders,2020-03-11,5.523,4.478,1.432,-2.37,-3.222,1.298
BE,Flanders,2020-03-12,31.045,6.496,2.894,-7.144,-6.914,-1.088
BE,Flanders,2020-03-13,46.697,-3.79,5.415,-9.503,-18.206,-7.568
BE,Flanders,2020-03-14,-6.774,-2.134,12.715,-72.95,-36.15,-28.239
BE,Flanders,2020-03-15,-16.09,12.247,9.352,-69.783,-34.303,-30.424
BE,Flanders,2020-03-16,18.204,16.727,14.735,-32.584,-46.414,-37.273
BE,Flanders,2020-03-17,41.195,33.734,17.05,-35.069,-47.854,-45.122
BE,Flanders,2020-03-18,-9.49,11.548,20.339,-62.128,-58.19,-52.085
BE,Flanders,2020-03-19,-16.949,-13.452,27.874,-76.288,-68.554,-61.303
BE,Flanders,2020-03-20,-17.561,-50.762,31.623,-81.513,-73.735,-62.548
