state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
BE,Brussels,grocery/pharmacy,-13.182,-5.572,-1.432,-4.754,-7.183,-2.789,-1.353,1.344,1.551,7.424,4.461,-2.052,3.115,1.48,-9.46,1.868,1.798,3.452,16.616,33.555,-13.809,-28.381,2.501,13.216,-17.03,-36.046,-38.807,-49.544,-58.571,-39.925,-36.054,-39.075,-39.753,-37.828,-48.497,-67.359,-44.231,-38.551,-40.605,-42.567,-38.807,-45.919,-51.489
BE,Brussels,parks,-35.728,-21.559,-3.521,-22.611,-36.651,-16.229,-24.779,10.163,-21.559,5.799,-10.049,-21.219,-8.612,29.987,-16.514,2.348,-14.703,-15.461,-7.19,-24.179,1.263,13.974,-13.661,29.2,11.789,-35.424,-58.956,-36.616,-24.136,-36.501,-30.442,-35.946,-44.718,-41.236,-37.247,-66.533,-48.668,-36.241,-29.375,-57.344,-44.217,-21.149,9.845
BE,Brussels,residential,0.479,3.596,2.821,2.314,4.397,4.06,0.369,-0.621,0.575,-0.33,0.239,1.245,1.368,-0.102,1.138,1.26,2.176,2.223,3.327,7.153,12.59,9.836,18.444,20.189,24.843,32.616,36.329,24.921,18.117,32.518,33.176,32.332,34.943,37.197,25.225,19.443,33.343,33.521,32.001,35.28,37.25,24.831,17.208
BE,Brussels,retail/recreation,-9.088,2.982,3.552,-4.677,-8.752,-3.204,-7.265,-4.695,-8.844,2.273,-2.632,-6.054,-2.066,2.366,-4.759,-5.229,-10.199,-12.61,-13.912,-20.211,-75.749,-73.263,-52.41,-57.412,-75.622,-86.78,-88.926,-92.08,-89.673,-86.908,-87.188,-88.338,-88.905,-89.061,-91.887,-93.054,-88.051,-87.226,-88.089,-89.327,-88.956,-90.897,-87.132
BE,Brussels,transitstations,0.492,-9.434,-7.589,-9.027,-13.074,-7.139,-1.982,7.11,-1.019,-1.97,-1.303,0.089,6.154,6.712,2.916,-4.152,-7.968,-7.271,-10.652,-20.246,-43.125,-45.939,-53.047,-59.085,-68.664,-79.692,-81.337,-79.222,-78.805,-82.462,-83.424,-82.808,-84.555,-82.508,-79.909,-85.719,-84.112,-84.164,-83.073,-85.624,-83.196,-77.372,-74.512
BE,Brussels,workplace,-5.219,-18.862,-17.901,-16.152,-18.328,-18.891,-2.104,-3.998,1.917,3.325,2.821,1.771,0.487,0.601,-5.219,0.491,-0.396,-1.365,-3.896,-14.139,-34.121,-38.535,-48.828,-57.555,-66.563,-74.904,-75.17,-62.154,-60.19,-77.924,-79.044,-78.483,-79.486,-78.322,-64.559,-64.743,-79.218,-79.529,-78.643,-79.774,-78.067,-63.282,-58.969
BE,Flanders,grocery/pharmacy,-5.512,0.81,3.184,-3.792,-0.072,3.553,2.853,7.181,6.159,6.655,4.566,0.555,5.887,3.134,2.831,4.519,4.319,5.523,31.045,46.697,-6.774,-16.09,18.204,41.195,-9.49,-16.949,-17.561,-34.955,-39.301,-20.701,-15.509,-25.564,-19.248,-15.302,-31.612,-47.51,-26.145,-19.764,-27.71,-21.72,-14.568,-26.825,-27.323
BE,Flanders,parks,-33.973,17.842,39.334,2.71,-14.257,4.388,-7.69,-12.996,-10.364,13.704,15.554,-17.246,4.338,33.704,-29.348,12.201,-3.887,4.478,6.496,-3.79,-2.134,12.247,16.727,33.734,11.548,-13.452,-50.762,-28.627,-19.315,-6.232,7.313,-4.772,-13.395,-18.35,-36.39,-68.109,-27.222,-5.205,-6.245,-31.101,-31.913,-29.142,-15.537
BE,Flanders,residential,0.493,4.091,3.491,2.811,5.831,4.28,0.801,-0.247,0.612,-0.028,-0.022,1.854,0.346,-0.866,0.403,0.35,1.525,1.432,2.894,5.415,12.715,9.352,14.735,17.05,20.339,27.874,31.623,22.273,15.925,26.814,27.643,25.956,30.046,31.721,22.224,18.076,27.59,27.818,25.607,30.288,31.838,21.736,15.1
BE,Flanders,retail/recreation,-9.973,8.338,11.665,0.748,-0.232,-1.284,-4.504,-1.645,-4.754,1.283,1.368,-5.843,-1.288,5.287,-3.001,-1.848,-4.489,-2.37,-7.144,-9.503,-72.95,-69.783,-32.584,-35.069,-62.128,-76.288,-81.513,-85.304,-79.943,-74.399,-73.305,-76.724,-77.961,-79.34,-84.2,-85.927,-76.321,-74.889,-76.307,-78.26,-79.99,-83.198,-77.708
BE,Flanders,transitstations,-0.052,-10.004,-6.203,-11.195,-15.732,-10.287,-4.056,6.871,0.656,1.749,1.905,-1.436,3.149,8.168,-2.185,-0.536,-2.651,-3.222,-6.914,-18.206,-36.15,-34.303,-46.414,-47.854,-58.19,-68.554,-73.735,-66.279,-61.105,-71.07,-69.785,-69.983,-72.82,-71.427,-67.127,-77.085,-73.3,-71.424,-70.183,-74.618,-72.802,-63.975,-57.363
BE,Flanders,workplace,-3.988,-24.762,-22.242,-20.86,-23.613,-24.027,-5.589,-0.263,2.946,3.964,4.057,1.893,2.371,2.092,0.405,2.221,1.533,1.298,-1.088,-7.568,-28.239,-30.424,-37.273,-45.122,-52.085,-61.303,-62.548,-50.342,-48.237,-65.368,-65.958,-64.791,-66.465,-65.393,-51.058,-52.185,-65.872,-65.861,-64.162,-65.909,-64.619,-49.612,-46.901
BE,Overall,grocery/pharmacy,-6.708,0.075,1.528,-4.55,-1.678,2.976,2.43,6.067,6.516,6.458,4.143,0.693,4.908,2.528,0.518,4.246,3.625,4.067,22.672,39.742,-8.2,-18.031,15.873,30.478,-11.894,-22.796,-22.524,-38.745,-44.803,-25.151,-21.172,-29.342,-24.886,-21.117,-36.162,-53.452,-29.75,-25.078,-31.088,-26.949,-21.498,-31.62,-36.155
BE,Overall,parks,-27.427,6.63,28.784,-3.53,-15.238,2.985,-7.263,-2.401,-12.19,10.785,6.703,-15.681,1.69,33.518,-20.883,6.38,-4.7,-2.72,4.458,-5.379,-0.429,19.864,6.559,30.606,6.93,-19.285,-49.823,-34.398,-20.161,-19.925,-8.198,-18.782,-25.26,-27.066,-37.578,-66.07,-35.038,-18.108,-18.037,-38.476,-37.6,-30.495,-12.598
BE,Overall,residential,0.374,4.107,3.578,3.006,5.699,4.562,0.795,-0.291,0.47,-0.018,0.052,1.54,0.716,-0.473,0.446,0.457,1.629,1.571,2.683,5.148,11.951,8.499,13.966,16.415,19.847,27.054,31.004,22.151,15.416,26.343,27.339,25.935,29.365,31.528,22.073,17.202,27.07,27.538,25.604,29.552,31.703,21.677,14.725
BE,Overall,retail/recreation,-6.802,7.05,9.634,-1.247,-2.222,-0.734,-4.334,-0.08,-3.587,1.802,1.453,-4.19,-0.576,4.631,-1.145,-1.192,-4.464,-3.537,-6.876,-8.184,-69.802,-65.6,-31.668,-35.923,-60.837,-75.212,-79.438,-83.768,-78.731,-74.401,-73.739,-76.414,-77.297,-78.219,-82.682,-83.931,-75.837,-74.845,-75.982,-77.273,-78.721,-81.792,-76.513
BE,Overall,transitstations,-2.137,-10.696,-8.019,-11.422,-15.233,-9.771,-2.359,5.287,0.14,0.785,1.215,-1.639,2.639,7.8,-1.779,-1.315,-4.199,-3.942,-6.946,-16.412,-34.021,-33.639,-43.475,-46.165,-56.073,-66.793,-71.13,-67.332,-63.549,-69.755,-69.266,-69.412,-71.642,-70.37,-67.194,-76.439,-71.719,-70.73,-69.38,-72.847,-71.723,-64.518,-59.922
BE,Overall,workplace,-3.851,-24.314,-22.586,-20.585,-22.914,-23.054,-4.551,-0.591,3.097,3.555,3.529,1.821,1.812,1.551,-0.75,2.025,0.714,0.578,-1.303,-7.428,-26.837,-28.604,-35.933,-44.722,-51.923,-61.153,-62.244,-50.799,-48.302,-64.859,-65.833,-64.96,-66.401,-65.396,-51.391,-51.96,-65.6,-65.988,-64.551,-66.091,-64.81,-49.973,-46.507
BE,Wallonia,grocery/pharmacy,-7.804,-0.712,-0.296,-5.754,-3.126,3.808,3.991,5.995,8.406,6.683,4.837,1.475,3.672,2.599,0.103,3.485,3.592,3.172,13.04,35.769,-8.818,-19.381,18.485,23.589,-14.872,-31.305,-29.048,-47.422,-54.189,-32.074,-28.482,-36.137,-32.843,-28.969,-45.514,-64.474,-35.846,-32.834,-37.428,-34.068,-31.156,-40.047,-49.486
BE,Wallonia,parks,-12.3,6.327,30.655,-5.023,-3.944,10.561,2.372,15.13,-8.386,6.558,-0.264,-11.015,-0.6,39.359,-7.184,1.618,-2.593,-10.707,8.839,0.96,3.882,43.865,3.972,27.452,-4.627,-22.982,-50.163,-56.397,-31.675,-38.695,-30.198,-40.979,-42.292,-44.283,-48.956,-75.431,-45.904,-38.891,-38.996,-47.732,-54.483,-47.123,-28.844
BE,Wallonia,residential,0.162,5.084,4.288,4.029,6.589,5.771,0.695,-0.32,0.454,-0.058,0.203,1.221,1.237,-0.183,0.361,0.709,1.727,1.9,2.424,4.585,11.48,7.534,13.191,15.993,20.027,27.289,32.108,23.61,15.619,27.309,28.373,27.419,30.191,33.438,23.322,17.077,27.998,28.613,27.083,30.251,33.788,23.074,15.159
BE,Wallonia,retail/recreation,4.681,6.294,9.319,-5.759,-2.271,1.95,-3.374,9.805,-0.206,2.41,1.902,0.963,2.15,4.834,8.866,0.715,-2.641,-3.981,-2.598,-0.393,-71.103,-60.078,-23.973,-31.874,-60.646,-77.984,-82.389,-89.554,-83.041,-79.273,-78.871,-81.7,-81.318,-82.489,-87.983,-88.004,-80.021,-79.664,-81.051,-80.383,-83.032,-87.311,-80.774
BE,Wallonia,transitstations,-3.286,-16.067,-12.41,-16.103,-17.924,-13.555,-1.185,5.953,-0.822,1.277,1.413,-0.869,-0.541,7.983,-0.651,-1.765,-4.826,-5.267,-5.314,-16.132,-30.259,-27.066,-41.061,-43.82,-54.263,-65.107,-71.175,-71.848,-66.495,-70.909,-69.877,-71.092,-72.078,-72.594,-69.942,-80.223,-72.794,-71.905,-70.305,-72.462,-74.349,-67.908,-64.38
BE,Wallonia,workplace,-3.663,-30.444,-28.142,-24.215,-26.115,-25.714,-3.717,-0.153,1.934,3.287,3.562,2.144,1.419,1.316,-1.526,0.104,-0.536,0.2,-0.815,-5.777,-25.061,-25.527,-34.983,-45.564,-53.307,-64.421,-65.629,-54.122,-50.519,-69.071,-70.096,-69.342,-70.829,-69.895,-54.045,-53.762,-70.15,-70.672,-69.092,-70.75,-69.414,-52.393,-47.619
