state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
BR,Federal District,2020-02-23,-2.333,-19.21,1.529,-6.709,-6.416,-7.18
BR,Federal District,2020-02-24,-15.765,-17.185,12.648,-32.031,-35.351,-63.523
BR,Federal District,2020-02-25,-27.618,14.86,11.865,-40.402,-36.194,-74.215
BR,Federal District,2020-02-26,-7.41,-14.759,8.976,-20.581,-17.472,-22.78
BR,Federal District,2020-02-27,5.466,16.572,-0.529,-4.615,4.948,17.534
BR,Federal District,2020-02-28,7.523,-14.706,0.545,-2.2,4.167,22.462
BR,Federal District,2020-02-29,7.651,-25.731,4.497,0.617,-4.72,6.06
BR,Federal District,2020-03-01,15.092,-27.408,5.598,0.944,-4.265,0.937
BR,Federal District,2020-03-02,0.991,-15.678,-1.127,-3.467,9.035,23.193
BR,Federal District,2020-03-03,11.909,-0.294,-2.378,4.081,11.29,22.951
BR,Federal District,2020-03-04,9.651,0.993,-2.358,2.118,10.682,22.749
BR,Federal District,2020-03-05,10.183,14.678,-2.674,1.799,10.598,22.681
BR,Federal District,2020-03-06,16.668,-15.319,-2.676,8.06,11.616,25.772
BR,Federal District,2020-03-07,19.347,-19.254,-0.347,12.975,6.207,8.456
BR,Federal District,2020-03-08,23.761,3.064,0.923,18.319,6.584,3.892
BR,Federal District,2020-03-09,13.045,-3.618,-3.5,5.103,15.291,25.136
BR,Federal District,2020-03-10,14.609,6.474,-3.942,4.383,17.522,23.816
BR,Federal District,2020-03-11,11.511,0.993,-3.855,2.136,13.962,22.713
BR,Federal District,2020-03-12,14.651,9.312,1.917,-0.361,3.048,7.336
BR,Federal District,2020-03-13,17.875,-1.348,1.886,3.643,2.208,8.755
BR,Federal District,2020-03-14,14.861,-6.122,2.382,-2.356,-1.949,3.191
BR,Federal District,2020-03-15,13.876,-8.943,3.591,-7.956,-4.714,-0.666
BR,Federal District,2020-03-16,11.621,10.1,3.864,-10.717,-8.117,1.553
BR,Federal District,2020-03-17,10.789,3.825,6.704,-19.16,-13.72,-4.736
BR,Federal District,2020-03-18,12.351,-6.67,11.128,-25.582,-21.377,-13.968
BR,Federal District,2020-03-19,16.397,-26.042,14.835,-38.898,-31.321,-25.191
BR,Federal District,2020-03-20,7.229,-45.956,21.022,-58.01,-42.033,-37.489
BR,Federal District,2020-03-21,-21.677,-68.942,22.122,-72.665,-54.537,-44.652
BR,Federal District,2020-03-22,-38.879,-80.236,22.055,-78.485,-64.064,-42.728
BR,Federal District,2020-03-23,-30.096,-61.957,25.901,-70.98,-62.908,-54.366
BR,Federal District,2020-03-24,-32.559,-64.295,27.941,-73.502,-64.732,-59.859
BR,Federal District,2020-03-25,-35.092,-64.856,29.458,-73.832,-66.645,-61.446
BR,Federal District,2020-03-26,-29.447,-57.923,28.542,-71.811,-65.091,-60.35
BR,Federal District,2020-03-27,-21.768,-56.25,28.661,-68.75,-61.734,-56.906
BR,Federal District,2020-03-28,-31.493,-68.853,23.705,-73.211,-61.409,-47.259
BR,Federal District,2020-03-29,-29.595,-65.746,20.437,-71.306,-58.826,-37.691
BR,Federal District,2020-03-30,-22.409,-47.938,24.318,-62.795,-59.108,-53.593
BR,Federal District,2020-03-31,-18.022,-43.256,24.669,-63.248,-58.316,-54.639
BR,Federal District,2020-04-01,-14.161,-42.291,24.972,-61.964,-58.439,-54.105
BR,Federal District,2020-04-02,-11.731,-35.985,24.819,-61.042,-57.414,-54.057
BR,Federal District,2020-04-03,-5.191,-44.118,25.29,-60.013,-54.148,-50.792
BR,Federal District,2020-04-04,-10.366,-54.745,19.774,-63.235,-50.827,-39.722
BR,Federal District,2020-04-05,-20.5,-64.587,18.132,-67.066,-55.516,-34.59
BR,Overall,2020-02-23,6.966,32.368,0.78,4.328,2.116,-2.546
BR,Overall,2020-02-24,-6.526,68.763,8.137,-13.965,-27.02,-45.371
BR,Overall,2020-02-25,-28.556,50.8,9.684,-31.517,-34.979,-60.632
BR,Overall,2020-02-26,-10.706,-8.186,5.747,-18.289,-17.46,-18.134
BR,Overall,2020-02-27,1.518,-10.684,0.873,-8.478,1.194,10.017
BR,Overall,2020-02-28,3.203,-16.714,1.058,-5.191,1.775,13.113
BR,Overall,2020-02-29,4.756,-22.725,3.067,-2.602,-2.261,5.066
BR,Overall,2020-03-01,2.95,-34.515,4.533,-9.2,-9.714,-1.411
BR,Overall,2020-03-02,0.625,-25.507,-0.193,-6.333,5.524,19.529
BR,Overall,2020-03-03,1.882,-20.709,-0.536,-4.7,6.069,14.961
BR,Overall,2020-03-04,1.762,-11.166,-0.678,-1.062,7.394,16.458
BR,Overall,2020-03-05,6.619,-4.817,-1.633,0.101,10.49,17.64
BR,Overall,2020-03-06,10.926,-6.866,-1.904,5.822,12.913,18.109
BR,Overall,2020-03-07,12.621,-14.288,0.298,9.274,7.988,7.203
BR,Overall,2020-03-08,10.518,-16.708,1.384,8.303,2.099,3.008
BR,Overall,2020-03-09,4.856,-11.766,-1.583,0.887,12.213,21.374
BR,Overall,2020-03-10,4.869,-11.378,-1.901,0.44,11.015,17.253
BR,Overall,2020-03-11,1.839,-5.593,-1.423,1.167,10.155,16.845
BR,Overall,2020-03-12,4.27,-4.996,-1.511,-2.022,9.797,16.846
BR,Overall,2020-03-13,6.602,-8.273,-1.629,0.262,9.634,18.428
BR,Overall,2020-03-14,7.378,-15.459,1.297,-1.514,-0.325,6.005
BR,Overall,2020-03-15,7.014,-21.087,2.585,-8.163,-6.982,0.445
BR,Overall,2020-03-16,5.909,-22.903,1.309,-11.112,-4.116,13.75
BR,Overall,2020-03-17,7.199,-28.165,3.93,-18.72,-15.107,2.641
BR,Overall,2020-03-18,5.257,-28.38,7.33,-24.971,-22.276,-5.851
BR,Overall,2020-03-19,2.362,-33.649,10.462,-36.523,-30.998,-16.627
BR,Overall,2020-03-20,0.173,-45.241,13.208,-44.564,-37.373,-21.094
BR,Overall,2020-03-21,-15.535,-65.684,16.126,-62.655,-50.429,-29.957
BR,Overall,2020-03-22,-33.405,-74.786,17.187,-72.533,-60.103,-34.374
BR,Overall,2020-03-23,-25.846,-60.967,19.976,-65.575,-57.888,-42.015
BR,Overall,2020-03-24,-32.955,-62.452,21.989,-70.741,-63.101,-50.871
BR,Overall,2020-03-25,-32.078,-57.362,22.898,-69.427,-63.03,-51.789
BR,Overall,2020-03-26,-29.029,-53.914,22.087,-68.609,-62.062,-50.553
BR,Overall,2020-03-27,-25.711,-55.856,22.752,-67.045,-60.295,-47.869
BR,Overall,2020-03-28,-27.352,-63.746,18.556,-69.675,-59.264,-40.632
BR,Overall,2020-03-29,-35.356,-70.023,16.88,-71.561,-62.341,-33.598
BR,Overall,2020-03-30,-26.158,-55.48,19.877,-61.792,-58.905,-43.194
BR,Overall,2020-03-31,-20.997,-53.277,19.402,-60.481,-58.3,-45.399
BR,Overall,2020-04-01,-18.569,-48.484,19.787,-58.482,-57.514,-44.748
BR,Overall,2020-04-02,-17.307,-47.864,19.766,-59.567,-57.276,-44.617
BR,Overall,2020-04-03,-13.52,-52.406,20.484,-60.314,-55.187,-42.194
BR,Overall,2020-04-04,-13.168,-59.98,16.432,-63.172,-52.677,-34.71
