state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
CA,Overall,2020-02-23,6.133,36.058,-0.962,9.666,4.969,4.906
CA,Overall,2020-02-24,2.224,18.685,-0.01,2.551,-0.675,2.586
CA,Overall,2020-02-25,5.305,8.987,-0.247,1.88,-0.167,3.198
CA,Overall,2020-02-26,1.54,0.646,0.853,-1.675,-1.557,0.771
CA,Overall,2020-02-27,-8.87,-5.991,3.977,-8.002,-4.535,-5.243
CA,Overall,2020-02-28,0.698,-5.105,1.239,-0.614,1.029,0.346
CA,Overall,2020-02-29,6.66,10.52,-0.319,6.826,6.29,6.689
CA,Overall,2020-03-01,9.391,22.983,-0.771,10.277,5.555,5.479
CA,Overall,2020-03-02,3.286,1.033,0.942,3.497,-2.382,-0.989
CA,Overall,2020-03-03,5.542,8.421,0.346,4.208,-2.347,-0.121
CA,Overall,2020-03-04,3.517,10.929,0.502,4.758,-0.458,-0.847
CA,Overall,2020-03-05,4.984,17.554,0.564,7.422,-0.971,-2.048
CA,Overall,2020-03-06,-0.667,5.62,1.257,1.302,-2.747,-1.063
CA,Overall,2020-03-07,4.948,17.239,0.074,6.504,2.834,5.687
CA,Overall,2020-03-08,7.364,49.833,-0.358,9.211,3.288,4.033
CA,Overall,2020-03-09,4.169,30.785,0.597,3.885,-2.778,1.98
CA,Overall,2020-03-10,0.904,-2.059,1.45,-0.612,-5.613,1.27
CA,Overall,2020-03-11,6.713,11.671,0.502,3.467,-2.773,2.308
CA,Overall,2020-03-12,27.435,11.492,0.637,7.263,-5.661,1.967
CA,Overall,2020-03-13,34.685,-16.27,4.847,-4.733,-17.275,-6.178
CA,Overall,2020-03-14,19.218,-8.163,4.68,-10.901,-19.2,-0.813
CA,Overall,2020-03-15,11.322,27.731,4.103,-11.569,-21.851,-5.008
CA,Overall,2020-03-16,22.575,14.8,9.772,-11.582,-37.151,-26.825
CA,Overall,2020-03-17,12.586,6.779,13.578,-26.687,-45.174,-34.616
CA,Overall,2020-03-18,6.602,14.237,15.611,-32.849,-48.364,-39.94
CA,Overall,2020-03-19,3.515,17.946,17.433,-35.812,-52.104,-43.1
CA,Overall,2020-03-20,-5.273,-7.851,20.253,-43.658,-54.463,-45.507
CA,Overall,2020-03-21,-12.126,11.478,13.389,-48.973,-49.131,-32.123
CA,Overall,2020-03-22,-20.989,3.995,11.315,-51.34,-54.212,-35.144
CA,Overall,2020-03-23,-13.125,-26.72,19.998,-45.529,-63.255,-51.222
CA,Overall,2020-03-24,-15.292,-9.868,21.764,-49.519,-64.34,-54.58
CA,Overall,2020-03-25,-20.873,1.336,23.361,-53.458,-65.491,-58.667
CA,Overall,2020-03-26,-20.891,-17.972,24.682,-54.098,-68.013,-59.303
CA,Overall,2020-03-27,-20.551,-9.598,25.538,-54.757,-66.5,-58.597
CA,Overall,2020-03-28,-27.118,-30.096,16.624,-59.472,-64.058,-44.102
CA,Overall,2020-03-29,-34.701,-16.361,13.729,-59.129,-65.7,-43.677
CA,Overall,2020-03-30,-27.154,-32.481,23.271,-53.667,-70.155,-60.33
CA,Overall,2020-03-31,-19.13,-12.78,23.425,-50.957,-68.001,-60.385
CA,Overall,2020-04-01,-21.225,-10.327,24.018,-51.587,-68.034,-60.761
CA,Overall,2020-04-02,-23.13,-16.183,25.267,-53.061,-69.913,-60.962
CA,Overall,2020-04-03,-22.964,-32.927,26.827,-55.401,-69.577,-60.248
CA,Overall,2020-04-04,-25.372,-17.181,16.719,-56.961,-62.891,-44.653
CA,Overall,2020-04-05,-45.2,-12.938,14.108,-62.792,-66.881,-46.115
