state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
CH,Aargau,2020-02-23,26.181,3.83,-0.733,21.594,27.314,
CH,Aargau,2020-02-24,1.768,68.359,0.271,4.705,10.288,-1.177
CH,Aargau,2020-02-25,5.398,-9.615,1.249,2.59,1.781,-1.971
CH,Aargau,2020-02-26,5.061,-17.123,1.342,-2.332,-3.775,-0.518
CH,Aargau,2020-02-27,4.013,-23.734,1.795,-0.962,0.324,-0.384
CH,Aargau,2020-02-28,10.877,16.927,1.505,0.352,1.678,-0.273
CH,Aargau,2020-02-29,5.729,1.021,2.213,,3.458,
CH,Aargau,2020-03-01,9.47,44.424,0.428,9.846,11.113,-2.976
CH,Aargau,2020-03-02,0.322,-4.883,3.065,-2.171,-0.429,-2.048
CH,Aargau,2020-03-03,2.952,17.628,1.902,2.14,-2.59,-1.342
CH,Aargau,2020-03-04,2.277,19.977,1.553,0.318,0.643,-1.166
CH,Aargau,2020-03-05,-5.487,-29.008,3.215,-4.968,-4.941,-1.279
CH,Aargau,2020-03-06,-1.752,-18.229,3.28,-6.076,-5.033,-1.772
CH,Aargau,2020-03-07,1.109,10.212,2.597,1.094,,-2.346
CH,Aargau,2020-03-08,3.342,52.083,0.242,11.524,10.711,-4.329
CH,Aargau,2020-03-09,-2.733,-4.883,2.901,-3.317,0.257,-0.785
CH,Aargau,2020-03-10,0.169,-16.026,3.566,-5.856,-7.123,-2.935
CH,Aargau,2020-03-11,2.868,28.539,2.149,-2.014,-2.329,-2.245
CH,Aargau,2020-03-12,7.78,7.911,3.24,-1.816,-5.265,-3.88
CH,Aargau,2020-03-13,25.33,29.948,4.501,-4.887,-6.939,-3.998
CH,Aargau,2020-03-14,13.244,26.552,6.82,-15.127,-14.252,-3.754
CH,Aargau,2020-03-15,15.736,122.549,3.61,-9.846,3.615,-9.74
CH,Aargau,2020-03-16,34.401,71.615,8.546,5.368,-19.805,-15.429
CH,Aargau,2020-03-17,7.591,68.91,15.062,-49.268,-38.607,-27.677
CH,Aargau,2020-03-18,5.314,88.47,16.193,-54.442,-39.916,-32.247
CH,Aargau,2020-03-19,5.569,69.884,18.236,-54.38,-43.254,-35.689
CH,Aargau,2020-03-20,5.11,40.365,21.56,-61.989,-48.728,-35.752
CH,Aargau,2020-03-21,-22.299,1.021,19.076,-77.392,-56.275,-38.163
CH,Aargau,2020-03-22,-37.879,6.893,13.686,-76.978,-55.297,-39.773
CH,Aargau,2020-03-23,-12.539,43.945,20.217,-62.669,-50.154,-39.008
CH,Aargau,2020-03-24,-13.158,43.269,21.689,-63.063,-53.257,-42.103
CH,Aargau,2020-03-25,-10.037,41.381,21.101,-63.083,-52.364,-41.96
CH,Aargau,2020-03-26,-8.762,25.053,22.561,-62.286,-52.893,-42.895
CH,Aargau,2020-03-27,-4.599,69.01,23.579,-63.838,-49.872,-41.476
CH,Aargau,2020-03-28,-12.875,129.698,16.039,-70.591,-39.822,-36.13
CH,Aargau,2020-03-29,-36.765,-14.553,13.56,-78.097,-57.841,-42.208
CH,Aargau,2020-03-30,-12.137,1.628,21.326,-64.056,-50.412,-40.926
CH,Aargau,2020-03-31,6.916,60.897,20.832,-83.333,-45.406,-42.48
CH,Aargau,2020-04-01,6.326,82.763,20.011,-83.704,-43.771,-42.047
CH,Aargau,2020-04-02,7.452,65.928,21.131,-83.44,-43.335,-42.852
CH,Aargau,2020-04-03,9.782,65.104,22.682,-77.971,-45.449,-40.931
CH,Aargau,2020-04-04,2.156,103.145,16.402,-83.685,-37.622,-36.912
CH,Aargau,2020-04-05,4.456,112.592,10.51,-75.188,-31.464,-39.232
CH,Appenzell Ausserrhoden,2020-02-23,17.83,27.081,-0.87,-33.245,-9.921,0.331
CH,Appenzell Ausserrhoden,2020-02-24,2.644,73.679,0.076,-9.137,-7.44,-3.296
CH,Appenzell Ausserrhoden,2020-02-25,5.591,17.502,1.332,7.774,-2.604,-4.354
CH,Appenzell Ausserrhoden,2020-02-26,0.332,-19.71,2.306,-2.854,-2.541,-4.277
CH,Appenzell Ausserrhoden,2020-02-27,0.979,-22.013,2.419,-2.741,-7.267,-4.528
CH,Appenzell Ausserrhoden,2020-02-28,8.217,16.494,1.708,8.681,-2.451,-4.486
CH,Appenzell Ausserrhoden,2020-02-29,4.504,-14.154,2.073,6.764,7.659,-1.672
CH,Appenzell Ausserrhoden,2020-03-01,7.641,28.64,0.664,4.433,3.307,-1.433
CH,Appenzell Ausserrhoden,2020-03-02,-1.501,-24.299,2.777,16.447,3.72,-1.434
CH,Appenzell Ausserrhoden,2020-03-03,3.629,6.97,1.684,1.555,-3.906,0.013
CH,Appenzell Ausserrhoden,2020-03-04,0.754,7.561,1.408,8.562,-1.27,-1.206
CH,Appenzell Ausserrhoden,2020-03-05,-4.011,-36.299,3.086,-4.112,-14.535,-2.018
CH,Appenzell Ausserrhoden,2020-03-06,1.252,-11.517,3.056,-1.24,-1.225,-2.048
CH,Appenzell Ausserrhoden,2020-03-07,2.021,-3.344,2.586,-5.411,-7.659,-1.831
CH,Appenzell Ausserrhoden,2020-03-08,7.296,46.713,0.442,-2.216,-6.614,-3.123
CH,Appenzell Ausserrhoden,2020-03-09,-1.27,-16.688,2.775,-14.62,-7.44,0.355
CH,Appenzell Ausserrhoden,2020-03-10,-1.187,-25.744,3.821,-1.555,-10.417,-1.337
CH,Appenzell Ausserrhoden,2020-03-11,2.4,10.401,2.625,,-3.811,-2.262
CH,Appenzell Ausserrhoden,2020-03-12,7.901,-0.919,3.587,2.741,-7.267,-4.367
CH,Appenzell Ausserrhoden,2020-03-13,23.535,0.722,5.426,2.48,-3.676,-5.572
CH,Appenzell Ausserrhoden,2020-03-14,11.943,-5.853,7.669,4.058,-13.787,-7.347
CH,Appenzell Ausserrhoden,2020-03-15,2.453,65.826,4.893,-19.947,-8.267,-13.501
CH,Appenzell Ausserrhoden,2020-03-16,24.186,14.297,10.26,16.447,-22.321,-19.978
CH,Appenzell Ausserrhoden,2020-03-17,1.255,20.859,16.639,-55.97,-28.646,-32.593
CH,Appenzell Ausserrhoden,2020-03-18,-3.859,22.376,17.841,-51.37,-33.028,-37.759
CH,Appenzell Ausserrhoden,2020-03-19,-9.529,18.839,21.043,-47.971,-39.971,-46.032
CH,Appenzell Ausserrhoden,2020-03-20,-3.87,-11.036,24.173,-60.764,-40.441,-44.849
CH,Appenzell Ausserrhoden,2020-03-21,-26.055,-28.816,19.471,-70.346,-56.679,-43.193
CH,Appenzell Ausserrhoden,2020-03-22,-49.371,-39.64,15.229,-73.138,-56.217,-45.333
CH,Appenzell Ausserrhoden,2020-03-23,-19.937,-18.786,22.15,-51.17,-47.123,-45.87
CH,Appenzell Ausserrhoden,2020-03-24,-19.312,-5.393,23.69,-57.525,-41.667,-48.885
CH,Appenzell Ausserrhoden,2020-03-25,-18.819,-19.623,23.35,-58.505,-43.191,-49.069
CH,Appenzell Ausserrhoden,2020-03-26,-18.078,-22.974,24.498,-61.678,-50.872,-50.165
CH,Appenzell Ausserrhoden,2020-03-27,-13.079,-3.451,25.802,-58.284,-41.667,-48.695
CH,Appenzell Ausserrhoden,2020-03-28,-18.825,18.424,17.169,-55.465,-27.574,-43.034
CH,Appenzell Ausserrhoden,2020-03-29,-51.163,-40.766,15.055,-79.787,-62.831,-46.104
CH,Appenzell Ausserrhoden,2020-03-30,-22.16,-45.817,23.419,-58.48,-54.563,-47.899
CH,Appenzell Ausserrhoden,2020-03-31,-1.679,1.221,22.889,-77.736,-39.062,-48.744
CH,Appenzell Ausserrhoden,2020-04-01,-5.107,6.512,21.957,-79.909,-39.38,-48.284
CH,Appenzell Ausserrhoden,2020-04-02,-2.714,7.686,23.135,-72.643,-38.76,-49.683
CH,Appenzell Ausserrhoden,2020-04-03,1.897,7.665,24.868,-71.925,-39.216,-48.193
CH,Appenzell Ausserrhoden,2020-04-04,-5.333,15.17,16.991,-75.758,-26.042,-42.17
CH,Appenzell Ausserrhoden,2020-04-05,-25.188,41.834,11.722,-64.273,-28.108,-41.604
CH,Basel City,2020-02-23,-4.692,12.592,-0.87,1.863,-3.036,
CH,Basel City,2020-02-24,-3.636,36.097,0.076,-1.633,-7.288,-9.117
CH,Basel City,2020-02-25,-1.617,-5.208,1.332,3.328,-6.567,-10.19
CH,Basel City,2020-02-26,-3.184,-17.523,2.306,-2.498,-4.664,-10.855
CH,Basel City,2020-02-27,-2.535,-32.051,2.419,2.982,-3.937,-10.111
CH,Basel City,2020-02-28,8.517,-22.759,1.708,-11.311,-7.287,-11.823
CH,Basel City,2020-02-29,-2.66,-25.51,2.073,-23.987,-11.007,-1.941
CH,Basel City,2020-03-01,6.569,58.379,0.664,-6.522,-1.598,1.877
CH,Basel City,2020-03-02,-13.261,-50.536,2.777,-3.149,-20.071,-42.287
CH,Basel City,2020-03-03,-0.231,-18.75,1.684,1.442,-12.568,-23.588
CH,Basel City,2020-03-04,-8.188,-15.576,1.408,-10.198,-14.215,-25.518
CH,Basel City,2020-03-05,-14.749,-69.712,3.086,-23.259,-20.748,-19.65
CH,Basel City,2020-03-06,-4.804,-53.396,3.056,-23.298,-19.602,-19.773
CH,Basel City,2020-03-07,-5.935,-11.692,2.586,-21.596,-16.108,-7.117
CH,Basel City,2020-03-08,5.631,50.366,0.442,-14.908,-11.663,-4.692
CH,Basel City,2020-03-09,-3.422,-54.662,2.775,-17.031,-13.68,-4.074
CH,Basel City,2020-03-10,-9.008,-60.417,3.821,-18.748,-12.341,-4.152
CH,Basel City,2020-03-11,2.274,-18.497,2.625,-14.881,-11.105,-3.809
CH,Basel City,2020-03-12,5.992,-45.673,3.587,-19.979,-17.45,-6.105
CH,Basel City,2020-03-13,15.287,-24.51,5.426,-24.564,-20.833,-7.135
CH,Basel City,2020-03-14,8.8,-8.503,7.669,-40.8,-31.143,-10.352
CH,Basel City,2020-03-15,15.015,69.826,4.893,-42.487,-30.994,-8.446
CH,Basel City,2020-03-16,22.031,-15.47,10.26,-28.812,-37.787,-27.933
CH,Basel City,2020-03-17,1.386,-31.25,16.639,-69.223,-54.008,-40.195
CH,Basel City,2020-03-18,-6.368,-23.364,17.841,-73.78,-57.081,-45.133
CH,Basel City,2020-03-19,-6.453,-37.66,21.043,-76.733,-61.5,-47.314
CH,Basel City,2020-03-20,-6.551,-47.269,24.173,-80.193,-64.758,-48.516
CH,Basel City,2020-03-21,-28.651,-74.405,19.471,-90.791,-76.648,-45.937
CH,Basel City,2020-03-22,-35.661,-42.353,15.229,-90.191,-74.61,-45.045
CH,Basel City,2020-03-23,-23.101,-56.724,22.15,-79.204,-66.38,-52.762
CH,Basel City,2020-03-24,-23.559,-57.292,23.69,-78.874,-67.369,-55.103
CH,Basel City,2020-03-25,-21.152,-58.411,23.35,-79.712,-67.742,-54.464
CH,Basel City,2020-03-26,-23.737,-71.314,24.498,-80.61,-69.799,-54.754
CH,Basel City,2020-03-27,-14.413,-49.895,25.802,-80.7,-68.452,-53.001
CH,Basel City,2020-03-28,-21.079,-21.258,17.169,-87.055,-70.742,-44.643
CH,Basel City,2020-03-29,-42.23,-67.537,15.055,-92.241,-78.764,-49.737
CH,Basel City,2020-03-30,-20.32,-66.007,23.419,-79.671,-67.501,-54.508
CH,Basel City,2020-03-31,-6.467,-40.625,22.889,-88.414,-63.406,-53.97
CH,Basel City,2020-04-01,-10.462,-36.994,21.957,-89.39,-63.855,-54.273
CH,Basel City,2020-04-02,-8.527,-44.872,23.135,-89.754,-65.756,-54.182
CH,Basel City,2020-04-03,-5.459,-39.391,24.868,-85.764,-66.81,-52.389
CH,Basel City,2020-04-04,-14.325,-9.566,16.991,-88.923,-67.923,-42.055
CH,Basel City,2020-04-05,-15.015,11.447,11.722,-87.396,-68.06,-41.291
CH,Basel-Landschaft,2020-02-23,60.484,27.081,-0.87,44.215,52.801,3.543
CH,Basel-Landschaft,2020-02-24,-3.453,73.679,0.076,6.748,0.937,-16.617
CH,Basel-Landschaft,2020-02-25,1.427,17.502,1.332,4.638,-2.971,-15.517
CH,Basel-Landschaft,2020-02-26,-2.187,-19.71,2.306,-9.904,-14.573,-15.913
CH,Basel-Landschaft,2020-02-27,-4.572,-22.013,2.419,-9.181,-11.91,-15.211
CH,Basel-Landschaft,2020-02-28,11.07,16.494,1.708,-7.028,-13.251,-16.175
CH,Basel-Landschaft,2020-02-29,0.98,-14.154,2.073,-14.007,-12.764,-4.529
CH,Basel-Landschaft,2020-03-01,25.202,28.64,0.664,32.974,11.765,-1.417
CH,Basel-Landschaft,2020-03-02,-7.098,-24.299,2.777,-12.441,-26.978,-44.271
CH,Basel-Landschaft,2020-03-03,,6.97,1.684,-5.605,-14.297,-27.786
CH,Basel-Landschaft,2020-03-04,-6.163,7.561,1.408,-11.672,-16.012,-29.132
