state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
CL,Overall,2020-02-23,4.344,-2.591,1.15,-1.084,0.518,-1.722
CL,Overall,2020-02-24,2.791,-4.05,1.742,-1.381,-3.326,-2.348
CL,Overall,2020-02-25,3.219,1.18,1.335,-0.571,-0.913,-1.023
CL,Overall,2020-02-26,2.846,-2.917,1.542,-2.844,-0.95,0.203
CL,Overall,2020-02-27,3.101,-4.308,1.557,-1.206,0.175,1.323
CL,Overall,2020-02-28,8.554,-2.455,0.992,5.819,0.189,2.15
CL,Overall,2020-02-29,12.086,-7.896,0.332,12.557,5.315,0.178
CL,Overall,2020-03-01,15.402,-14.78,2.234,10.989,7.403,1.163
CL,Overall,2020-03-02,8.925,-14.606,0.128,4.681,2.15,11.295
CL,Overall,2020-03-03,10.036,-14.453,-0.001,4.49,3.253,12.457
CL,Overall,2020-03-04,8.815,-15.725,-0.248,0.526,4.589,13.708
CL,Overall,2020-03-05,4.445,-15.276,-0.492,-1.046,5.283,15.161
CL,Overall,2020-03-06,4.676,-12.491,-0.189,0.65,3.601,15.879
CL,Overall,2020-03-07,7.035,-19.647,2.749,6.55,1.525,3.366
CL,Overall,2020-03-08,6.956,-8.377,4.868,4.907,11.571,-0.741
CL,Overall,2020-03-09,2.1,-13.444,-0.474,-3.182,4.506,16.43
CL,Overall,2020-03-10,1.118,-17.114,-1.917,-2.548,6.944,17.325
CL,Overall,2020-03-11,-0.472,-19.143,-0.188,-8.395,6.192,16.515
CL,Overall,2020-03-12,-1.409,-21.263,-0.688,-7.132,5.313,16.85
CL,Overall,2020-03-13,4.742,-17.102,-0.741,-3.055,3.276,17.014
CL,Overall,2020-03-14,8.843,-21.087,3.078,0.967,-1.008,3.55
CL,Overall,2020-03-15,16.851,-29.471,5.766,-10.09,-6.472,-1.197
CL,Overall,2020-03-16,15.831,-34.306,6.876,-20.252,-17.677,1.793
CL,Overall,2020-03-17,1.038,-39.133,11.189,-30.877,-27.172,-11.193
CL,Overall,2020-03-18,2.067,-45.215,14.257,-37.789,-32.426,-18.283
CL,Overall,2020-03-19,-17.451,-50.339,18.888,-51.386,-41.391,-27.524
CL,Overall,2020-03-20,-21.426,-53.886,22.615,-54.361,-46.573,-30.91
CL,Overall,2020-03-21,-31.484,-66.08,22.071,-62.99,-50.569,-32.342
CL,Overall,2020-03-22,-45.512,-71.652,22.334,-71.703,-58.253,-38.085
CL,Overall,2020-03-23,-37.765,-60.59,24.355,-62.499,-55.963,-40.57
CL,Overall,2020-03-24,-38.125,-61.08,24.808,-63.6,-57.173,-43.915
CL,Overall,2020-03-25,-36.259,-61.024,25.649,-63.637,-57.291,-44.51
CL,Overall,2020-03-26,-31.635,-59.234,25.048,-61.354,-54.545,-44.007
CL,Overall,2020-03-27,-40.946,-64.443,31.396,-67.523,-64.606,-50.54
CL,Overall,2020-03-28,-41.323,-69.475,25.521,-68.431,-60.827,-42.737
CL,Overall,2020-03-29,-54.794,-72.191,23.823,-73.454,-63.651,-42.383
CL,Overall,2020-03-30,-38.657,-60.28,26.298,-63.397,-62.675,-50.272
CL,Overall,2020-03-31,-33.543,-56.725,24.766,-61.176,-58.973,-50.416
CL,Overall,2020-04-01,-32.21,-58.982,25.867,-61.947,-59.53,-50.684
CL,Overall,2020-04-02,-36.372,-60.534,26.955,-63.858,-60.778,-51.336
CL,Overall,2020-04-03,-35.781,-61.541,29.2,-63.187,-60.925,-49.942
CL,Overall,2020-04-04,-37.696,-67.316,22.977,-64.769,-57.163,-41.947
CL,Overall,2020-04-05,-49.285,-70.586,20.443,-69.452,-59.057,-42.093
