state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Colorado,Adams County,2020-02-23,7.471,-34.153,1.652,-4.776,-11.406,-1.226
Colorado,Adams County,2020-02-24,10.211,5.935,-1.111,0.393,1.211,12.082
Colorado,Adams County,2020-02-25,2.765,-16.064,1.978,-4.033,-10.438,2.454
Colorado,Adams County,2020-02-26,9.802,4.362,-0.89,3.333,4.278,3.061
Colorado,Adams County,2020-02-27,8.841,17.127,-1.126,5.361,-0.74,3.16
Colorado,Adams County,2020-02-28,10.177,44.761,-1.802,3.666,3.735,2.726
Colorado,Adams County,2020-02-29,7.657,13.021,-1.467,3.614,0.331,3.552
Colorado,Adams County,2020-03-01,8.076,-16.863,0.257,4.171,-4.26,2.336
Colorado,Adams County,2020-03-02,12.535,7.419,-0.984,3.154,-3.964,11.372
Colorado,Adams County,2020-03-03,17.86,21.335,-1.227,7.584,5.752,4.09
Colorado,Adams County,2020-03-04,13.535,15.907,-1.143,4.227,6.524,3.442
Colorado,Adams County,2020-03-05,15.982,31.447,-1.38,6.426,4.015,3.382
Colorado,Adams County,2020-03-06,16.026,50.84,-1.766,3.042,9.892,3.534
Colorado,Adams County,2020-03-07,19.45,53.859,-1.895,7.46,7.275,3.463
Colorado,Adams County,2020-03-08,19.282,37.782,-0.49,9.24,3.71,0.993
Colorado,Adams County,2020-03-09,15.316,49.264,-1.963,6.631,6.497,11.7
Colorado,Adams County,2020-03-10,18.475,25.1,-0.518,4.308,1.385,3.56
Colorado,Adams County,2020-03-11,20.848,44.13,-0.892,3.91,4.171,1.776
Colorado,Adams County,2020-03-12,32.04,4.773,0.29,5.77,0.211,
Colorado,Adams County,2020-03-13,40.098,-18.512,5.762,-1.849,-7.469,-9.575
Colorado,Adams County,2020-03-14,20.484,-18.939,4.959,-12.839,-9.259,-3.774
Colorado,Adams County,2020-03-15,13.554,18.998,4.544,-12.28,-2.886,-8.408
Colorado,Adams County,2020-03-16,25.756,16.619,6.318,-4.454,-5.506,-14.306
Colorado,Adams County,2020-03-17,18.321,2.259,12.8,-20.361,-17.574,-29.59
Colorado,Adams County,2020-03-18,12.177,26.683,13.006,-22.68,-13.582,-33.179
Colorado,Adams County,2020-03-19,-13.828,-65.701,22.872,-46.066,-42.787,-43.747
Colorado,Adams County,2020-03-20,0.034,-45.866,23.393,-39.202,-28.06,-46.16
Colorado,Adams County,2020-03-21,-1.68,-30.579,13.977,-40.232,-27.116,-27.13
Colorado,Adams County,2020-03-22,-5.728,10.032,10.526,-39.337,-21.438,-29.136
Colorado,Adams County,2020-03-23,8.458,16.322,13.941,-24.749,-15.966,-33.131
Colorado,Adams County,2020-03-24,-2.727,21.837,18.229,-32.037,-23.539,-42.613
Colorado,Adams County,2020-03-25,-4.637,22.578,18.555,-33.265,-23.956,-45.391
Colorado,Adams County,2020-03-26,-24.785,-16.846,22.467,-48.88,-32.116,-49.432
Colorado,Adams County,2020-03-27,-24.343,-41.169,25.748,-51.401,-36.741,-50.401
Colorado,Adams County,2020-03-28,-25.525,-34.328,18.329,-53.999,-39.572,-37.253
Colorado,Adams County,2020-03-29,-26.042,-12.594,14.01,-50.581,-31.332,-38.011
Colorado,Adams County,2020-03-30,-17.45,-0.297,17.65,-39.855,-25.216,-42.735
Colorado,Adams County,2020-03-31,-12.406,4.267,20.424,-35.873,-27.16,-49.429
Colorado,Adams County,2020-04-01,-12.102,4.875,20.517,-37.309,-27.272,-50.148
Colorado,Adams County,2020-04-02,-20.025,-56.155,25.167,-45.058,-39.723,-53.084
Colorado,Adams County,2020-04-03,-14.166,-32.328,25.487,-42.743,-34.016,-52.151
Colorado,Adams County,2020-04-04,-14.572,-12.034,16.47,-47.784,-32.077,-37.076
Colorado,Adams County,2020-04-05,-15.725,10.886,12.458,-45.071,-25.286,-37.428
Colorado,Alamosa County,2020-02-23,10.417,-37.245,2.004,-1.586,-2.539,3.931
Colorado,Alamosa County,2020-02-24,9.787,-6.667,-0.367,0.992,2.567,4.473
Colorado,Alamosa County,2020-02-25,7.184,-24.827,1.488,,-2.368,1.786
Colorado,Alamosa County,2020-02-26,21.819,1.743,-0.816,14.97,3.421,3.011
Colorado,Alamosa County,2020-02-27,17.246,13.999,-0.991,10.177,2.223,1.817
Colorado,Alamosa County,2020-02-28,32.098,23.781,-1.84,19.897,4.338,3.36
Colorado,Alamosa County,2020-02-29,19.724,4.795,-1.338,27.426,4.142,4.735
Colorado,Alamosa County,2020-03-01,12.821,-13.866,-0.277,11.104,1.578,11.792
Colorado,Alamosa County,2020-03-02,20.274,0.464,0.02,15.873,0.301,9.586
Colorado,Alamosa County,2020-03-03,28.017,17.345,-1.216,19.63,3.348,4.762
Colorado,Alamosa County,2020-03-04,23.226,25.022,-1.047,16.841,1.791,2.408
Colorado,Alamosa County,2020-03-05,26.904,33.469,-1.139,21.552,0.271,4.239
Colorado,Alamosa County,2020-03-06,16.957,39.287,-1.177,9.831,1.314,-4.032
Colorado,Alamosa County,2020-03-07,10.478,48.947,-1.521,15.851,3.512,1.578
Colorado,Alamosa County,2020-03-08,22.436,37.486,-0.447,7.579,1.159,5.896
Colorado,Alamosa County,2020-03-09,20.274,45.569,-1.017,15.212,1.223,5.112
Colorado,Alamosa County,2020-03-10,22.27,32.085,-0.271,9.498,-1.735,2.381
Colorado,Alamosa County,2020-03-11,23.93,47.952,-0.577,15.594,-1.489,-1.806
Colorado,Alamosa County,2020-03-12,37.942,22.487,0.513,14.667,-8.332,2.422
Colorado,Alamosa County,2020-03-13,35.732,-22.261,5.291,1.404,-17.051,0.672
Colorado,Alamosa County,2020-03-14,30.202,-17.044,4.677,0.503,-15.352,3.157
Colorado,Alamosa County,2020-03-15,26.442,16.016,4.304,-0.881,-18.122,
Colorado,Alamosa County,2020-03-16,23.07,44.092,7.445,5.291,-22.941,-17.255
Colorado,Alamosa County,2020-03-17,33.046,14.516,12.836,-12.031,-28.972,-26.19
Colorado,Alamosa County,2020-03-18,23.226,50.121,13.533,-17.153,-31.933,-24.687
Colorado,Alamosa County,2020-03-19,14.487,-51.571,21.757,-30.532,-56.781,-25.436
Colorado,Alamosa County,2020-03-20,18.774,-43.171,21.307,-31.367,-48.128,-25.538
Colorado,Alamosa County,2020-03-21,5.547,-25.898,13.105,-36.232,-43.602,-11.048
Colorado,Alamosa County,2020-03-22,9.615,10.426,10.122,-30.14,-47.289,-17.689
Colorado,Alamosa County,2020-03-23,4.195,18.523,15.619,-26.124,-47.345,-24.284
Colorado,Alamosa County,2020-03-24,6.466,36.44,18.015,-31.978,-46.653,-30.952
Colorado,Alamosa County,2020-03-25,10.557,32.458,18.84,-30.876,-49.781,-31.31
Colorado,Alamosa County,2020-03-26,-33.802,3.701,22.274,-52.682,-56.665,-39.971
Colorado,Alamosa County,2020-03-27,-19.985,-41.651,24.614,-50.562,-60.466,-34.946
Colorado,Alamosa County,2020-03-28,-21.881,-39.025,17.25,-49.064,-58.796,-33.144
Colorado,Alamosa County,2020-03-29,-29.647,-12.146,13.118,-45.65,-59.641,-29.481
Colorado,Alamosa County,2020-03-30,-32.159,-0.422,19.331,-41.667,-56.129,-37.704
Colorado,Alamosa County,2020-03-31,-4.31,23.003,20.35,-37.677,-52.288,-39.286
Colorado,Alamosa County,2020-04-01,-3.519,16.384,20.901,-32.747,-53.886,-42.148
Colorado,Alamosa County,2020-04-02,-17.936,-46.181,24.373,-33.525,-62.813,-42.393
Colorado,Alamosa County,2020-04-03,-0.606,-36.854,24.634,-37.687,-60.034,-40.323
Colorado,Alamosa County,2020-04-04,-8.629,-21.435,15.943,-40.761,-56.816,-31.566
Colorado,Alamosa County,2020-04-05,-15.224,9.755,12.033,-41.772,-58.556,-17.689
Colorado,Arapahoe County,2020-02-23,-12.952,-44.022,2.474,-6.329,-6.72,-1.967
Colorado,Arapahoe County,2020-02-24,-4.577,-5.945,-0.97,0.405,3.403,9.014
Colorado,Arapahoe County,2020-02-25,-12.341,-30.436,1.944,-2.294,-7.113,1.748
Colorado,Arapahoe County,2020-02-26,0.075,0.223,-0.696,6.178,8.048,2.912
Colorado,Arapahoe County,2020-02-27,0.972,19.246,-1.084,7.471,11.587,3.311
Colorado,Arapahoe County,2020-02-28,2.842,44.899,-1.385,7.453,11.317,2.272
Colorado,Arapahoe County,2020-02-29,1.441,11.771,-1.149,6.27,13.039,4.228
Colorado,Arapahoe County,2020-03-01,1.067,-4.71,-0.04,7.139,4.854,2.312
Colorado,Arapahoe County,2020-03-02,1.664,8.53,-0.832,3.67,5.105,8.14
Colorado,Arapahoe County,2020-03-03,7.615,25.934,-1.291,10.035,8.604,4.017
Colorado,Arapahoe County,2020-03-04,3.391,31.384,-0.963,6.835,8.048,3.636
Colorado,Arapahoe County,2020-03-05,4.373,47.392,-0.783,9.208,13.26,1.235
Colorado,Arapahoe County,2020-03-06,5.582,63.308,-0.528,5.058,11.664,-0.404
Colorado,Arapahoe County,2020-03-07,6.355,79.657,-1.602,4.949,15.731,3.613
Colorado,Arapahoe County,2020-03-08,0.809,80.254,-0.343,6.614,12.507,1.672
Colorado,Arapahoe County,2020-03-09,6.77,55.831,-1.249,5.299,10.696,8.355
Colorado,Arapahoe County,2020-03-10,7.277,35.365,0.01,6.071,7.342,2.185
Colorado,Arapahoe County,2020-03-11,12.038,61.209,-0.265,6.474,9.543,0.989
Colorado,Arapahoe County,2020-03-12,26.462,27.184,0.886,7.637,4.062,-0.814
Colorado,Arapahoe County,2020-03-13,27.877,-17.511,6.26,-0.32,-11.433,-11.018
Colorado,Arapahoe County,2020-03-14,15.789,7.901,4.539,-10.147,-3.401,-4.267
Colorado,Arapahoe County,2020-03-15,3.128,42.391,4.623,-13.067,-2.053,-9.099
