state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
DK,Capital Region of Denmark,grocery/pharmacy,-1.548,-0.739,-2.257,-2.212,1.995,-1.609,-7.562,-9.236,-7.551,-6.33,-7.402,-5.513,-5.641,-4.027,-8.612,-9.142,-4.212,7.673,22.635,-8.187,-10.314,-26.285,-16.939,-2.723,-24.507,-21.627,-23.888,-23.581,-28.432,-23.28,-20.852,-20.987,-19.61,-19.774,-18.323,-24.737,-21.846,-9.705,-17.85,-17.884,-12.524,-11.186,-14.877
DK,Capital Region of Denmark,parks,-8.181,15.152,1.952,0.425,25.655,24.366,-19.115,4.091,33.854,14.149,10.417,31.184,14.417,43.267,9.058,3.078,-4.147,26.998,-20.126,-15.026,78.236,-16.801,35.038,41.228,-1.913,104.609,44.266,56.454,20.015,41.193,55.377,52.083,71.435,79.8,50.379,13.149,42.14,73.917,-1.913,-3.096,14.62,47.86,93.209
DK,Capital Region of Denmark,residential,0.516,0.434,0.605,0.715,0.01,-0.472,0.301,-0.438,0.183,0.289,0.639,-0.005,0.778,-0.331,0.046,1.633,2.307,2.886,14.669,20.564,8.482,9.153,20.802,21.486,24.711,23.523,25.671,12.55,10.47,23.031,23.421,23.718,23.563,24.18,11.809,10.283,22.54,21.645,23.57,24.115,24.457,11.073,7.746
DK,Capital Region of Denmark,retail/recreation,-0.189,-0.118,-2.537,0.36,2.699,12.67,5.587,20.905,12.054,7.386,8.361,7.977,2.153,5.427,9.56,3.287,-0.905,3.977,-17.462,-35.745,-37.009,-41.674,-30.311,-31.016,-49.711,-46.7,-53.611,-58.307,-52.916,-44.742,-45.74,-45.265,-45.629,-49.917,-55.229,-50.238,-41.067,-34.006,-41.883,-44.619,-48.578,-51.175,-37.777
DK,Capital Region of Denmark,transitstations,1.493,1.727,2.912,0.058,2.769,3.595,2.254,4.754,-0.117,-3.182,-1.097,-3.448,-3.988,2.004,-1.886,-5.27,-9.906,-14.782,-36.653,-51.349,-42.797,-54.382,-58.261,-60.369,-67.472,-63.642,-68.745,-63.91,-68.606,-67.337,-66.973,-67.529,-67.118,-68.063,-65.091,-69.746,-66.312,-60.999,-66.894,-68.785,-68.299,-62.622,-60.315
DK,Capital Region of Denmark,workplace,1.616,2.416,2.473,2.615,1.933,2.333,0.583,2.381,2.28,2.305,1.969,1.795,1.422,1.021,-1.446,-0.289,-0.672,-3.031,-34.098,-52.067,-18.807,-24.15,-60.29,-62.5,-65.014,-65.973,-66.099,-34.771,-34.609,-65.959,-66.361,-65.737,-65.881,-65.3,-34.552,-34.524,-64.88,-64.469,-64.921,-65.328,-64.677,-32.147,-29.082
DK,Central Denmark Region,grocery/pharmacy,-0.478,-0.141,-3.592,-2.111,1.41,-0.819,-3.532,-8.578,-7.461,-7.763,-6.56,-4.864,-4.708,-2.06,-10.462,-6.813,-4.809,3.547,22.11,-10.348,-11.88,-27.648,-16.385,-8.227,-21.959,-23.354,-26.519,-23.547,-27.708,-22.325,-21.407,-19.961,-19.429,-21.152,-16.001,-23.733,-21.227,-6.431,-13.373,-14.869,-12.941,-9.098,-12.165
DK,Central Denmark Region,parks,0.641,12.766,-12.401,-4.814,23.63,25.188,-20.591,-9.936,28.595,,20.133,32.793,16.223,49.055,-22.436,28.595,-7.44,29.762,-15.914,25.188,107.8,6.41,92.422,45.635,36.327,137.924,102.459,114.765,100.321,78.125,79.861,96.289,127.315,132.343,106.286,74.038,81.699,69.94,28.887,29.417,53.791,80.245,172.756
DK,Central Denmark Region,residential,0.441,0.3,1.026,0.664,0.207,-1.059,-0.357,-0.334,-0.1,0.326,0.095,-0.156,0.198,-0.954,0.613,0.897,1.657,1.719,12.229,16.408,8.187,8.734,17.029,18.462,20.513,20.374,20.989,11.35,9.155,19.092,19.742,19.423,19.648,19.658,10.483,9.168,18.366,18.075,18.846,20.19,19.619,9.861,6.863
DK,Central Denmark Region,retail/recreation,1.28,-2.584,-7.307,-4.63,2.027,18.01,11.519,17.556,11.639,8.255,10.772,11.742,9.743,11.479,9.599,6.421,3.99,5.518,-8.783,-27.121,-33.498,-35.306,-24.456,-26.784,-41.671,-40.003,-43.961,-48.131,-35.668,-34.79,-36.983,-37.449,-36.019,-38.974,-43.04,-35.696,-31.849,-24.614,-32.579,-33.876,-36.174,-39.307,-22.119
