state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Delaware,Overall,2020-02-23,5.488,60.012,-1.156,5.824,11.023,1.654
Delaware,Overall,2020-02-24,0.621,19.51,-0.754,2.224,2.652,3.601
Delaware,Overall,2020-02-25,-2.975,-10.09,0.757,1.274,-3.616,2.446
Delaware,Overall,2020-02-26,2.4,,-0.746,6.824,3.208,2.236
Delaware,Overall,2020-02-27,2.803,-2.177,-0.43,6.328,1.776,1.777
Delaware,Overall,2020-02-28,2.769,-2.87,-0.866,6.7,1.366,2.52
Delaware,Overall,2020-02-29,3.965,8.966,-1.408,11.594,10.07,6.215
Delaware,Overall,2020-03-01,6.599,6.949,-1.191,11.939,1.225,3.458
Delaware,Overall,2020-03-02,4.215,32.761,-1.336,9.528,3.978,3.895
Delaware,Overall,2020-03-03,6.181,17.852,-1.115,10.826,4.52,3.134
Delaware,Overall,2020-03-04,4.411,37.137,-1.22,10.33,7.103,1.305
Delaware,Overall,2020-03-05,5.283,27.208,-1.153,9.43,8.436,1.964
Delaware,Overall,2020-03-06,-2.714,-17.857,1.317,0.809,-1.366,1.136
Delaware,Overall,2020-03-07,6.818,38.854,-1.237,11.718,14.673,5.838
Delaware,Overall,2020-03-08,8.181,71.382,-1.488,9.563,14.391,1.954
Delaware,Overall,2020-03-09,5.098,83.192,-1.23,10.374,3.757,1.739
Delaware,Overall,2020-03-10,5.785,27.942,-0.27,8.491,2.26,1.306
Delaware,Overall,2020-03-11,6.617,24.03,-0.272,6.572,1.146,0.606
Delaware,Overall,2020-03-12,18.427,16.688,0.48,9.185,0.222,-1.824
Delaware,Overall,2020-03-13,18.342,34.438,2.759,5.588,-8.978,-4.99
Delaware,Overall,2020-03-14,10.954,83.687,2.254,-0.728,-2.877,0.251
Delaware,Overall,2020-03-15,5.858,38.534,3.501,-6.774,-16.228,-8.344
Delaware,Overall,2020-03-16,15.163,8.835,7.001,-0.249,-15.472,-19.28
Delaware,Overall,2020-03-17,4.066,36.092,10.611,-17.406,-21.245,-26.545
Delaware,Overall,2020-03-18,0.714,38.958,11.95,-22.767,-24.057,-30.471
Delaware,Overall,2020-03-19,-0.29,13.423,14.25,-25.68,-39.295,-32.993
Delaware,Overall,2020-03-20,0.685,75.253,14.647,-25.044,-36.888,-34.511
Delaware,Overall,2020-03-21,-6.789,55.667,10.555,-33.844,-37.691,-20.841
Delaware,Overall,2020-03-22,-13.197,-4.738,9.771,-38.346,-52.665,-29.09
Delaware,Overall,2020-03-23,-9.444,-46.381,16.704,-30.824,-49.952,-39.491
Delaware,Overall,2020-03-24,-21.717,23.673,18.345,-42.307,-46.107,-43.759
Delaware,Overall,2020-03-25,-28.802,-44.419,21.292,-47.547,-50.406,-46.452
Delaware,Overall,2020-03-26,-18.427,51.514,18.462,-37.645,-40.627,-44.918
Delaware,Overall,2020-03-27,-22.098,28.698,20.155,-39.962,-48.404,-44.269
Delaware,Overall,2020-03-28,-31.92,-44.832,15.609,-50.624,-54.954,-34.024
Delaware,Overall,2020-03-29,-28.415,-6.317,11.878,-47.526,-57.564,-36.607
Delaware,Overall,2020-03-30,-23.201,12.516,17.217,-36.651,-47.079,-44.636
Delaware,Overall,2020-03-31,-22.709,-18.24,19.7,-39.449,-49.271,-46.893
Delaware,Overall,2020-04-01,-16.833,13.107,19.163,-36.383,-43.762,-47.453
Delaware,Overall,2020-04-02,-16.977,9.432,19.868,-36.877,-46.399,-48.075
Delaware,Overall,2020-04-03,-18.863,-14.987,21.89,-40.24,-51.721,-47.407
Delaware,Overall,2020-04-04,-25.046,6.725,14.655,-47.192,-49.775,-35.593
Delaware,Overall,2020-04-05,-27.304,37.271,11.602,-47.036,-56.033,-38.562
