state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Delaware,Kent County,grocery/pharmacy,5.685,-0.342,-3.546,1.016,0.801,-0.118,1.136,4.725,-0.89,4.52,1.084,0.601,-6.218,6.562,5.463,1.644,1.252,2.641,13.288,15.812,10.915,1.476,14.04,3.199,-0.813,-2.003,-2.961,-6.435,-12.993,-9.52,-24.547,-32.374,-22.302,-24.339,-31.483,-33.664,-28.216,-26.772,-18.761,-18.83,-17.825,-24.796,-30.342
Delaware,Kent County,parks,60.012,19.51,-10.09,,-2.177,-2.87,8.966,6.949,32.761,17.852,37.137,27.208,-17.857,38.854,71.382,83.192,27.942,24.03,16.688,34.438,83.687,38.534,8.835,36.092,38.958,13.423,75.253,55.667,-4.738,-46.381,23.673,-44.419,51.514,28.698,-44.832,-6.317,12.516,-18.24,13.107,9.432,-14.987,6.725,37.271
Delaware,Kent County,residential,-0.983,-0.859,0.781,-1.079,-0.195,-1.726,-1.324,-1.291,-1.711,-1.43,-1.156,-0.792,0.41,-1.046,-1.229,-1.749,-0.436,-0.743,0.054,1.372,2.049,3.565,5.726,8.523,10.415,12.86,12.568,10.432,9.515,15.121,17.34,20.075,17.329,18.63,15.553,11.516,16.002,18.823,17.697,18.685,19.613,14.576,11.5
Delaware,Kent County,retail/recreation,5.927,3.224,6.222,9.332,11.003,9.879,14.337,15.883,13.806,17.265,13.103,14.109,4.443,15.22,10.769,11.326,11.743,6.493,10.543,7.207,-0.365,-8.329,2.563,-14.051,-20.219,-22.428,-24.729,-34.093,-36.569,-27.364,-41.823,-47.554,-36.614,-41.07,-51.048,-46.718,-33.441,-36.096,-33.595,-33.777,-36.752,-44.96,-43.968
Delaware,Kent County,transitstations,11.023,2.652,-3.616,3.208,1.776,1.366,10.07,1.225,3.978,4.52,7.103,8.436,-1.366,14.673,14.391,3.757,2.26,1.146,0.222,-8.978,-2.877,-16.228,-15.472,-21.245,-24.057,-39.295,-36.888,-37.691,-52.665,-49.952,-46.107,-50.406,-40.627,-48.404,-54.954,-57.564,-47.079,-49.271,-43.762,-46.399,-51.721,-49.775,-56.033
Delaware,Kent County,workplace,0.384,3.193,2.651,1.955,1.012,3.109,3.586,1.151,4.324,3.168,,0.822,1.96,7.01,1.343,1.796,0.97,-0.126,-1.834,-3.38,-3.26,-9.784,-17.627,-21.92,-25.979,-29.536,-30.892,-18.421,-28.967,-36.119,-40.93,-43.445,-42.249,-41.572,-33.255,-36.257,-42.638,-44.292,-44.265,-45.348,-44.276,-34.885,-38.943
Delaware,New Castle County,grocery/pharmacy,5.258,0.743,-1.009,3.915,2.602,4.548,5.459,6.678,7.272,7.392,6.27,6.144,-1.171,7.372,9.226,7.369,7.62,8.784,20.313,19.717,8.807,2.097,11.377,0.944,-2.482,-6.144,-0.408,-9.117,-19.42,-12.055,-25.171,-30.362,-22.633,-23.339,-36.017,-32.453,-25.759,-25.985,-19.318,-20.909,-21.841,-27.885,-30.969
Delaware,New Castle County,parks,86.806,18.652,-8.98,3.131,-0.847,-6.275,2.177,23.757,33.574,12.572,37.568,29.359,-16.064,36.381,99.293,77.192,24.844,21.346,12.421,22.841,69.03,70.054,6.313,19.157,39.845,1.694,51.205,81.468,17.361,-50.792,29.933,-42.691,56.177,34.639,-55.659,5.178,9.757,-20.055,24.476,13.268,-13.805,18.968,78.886
Delaware,New Castle County,residential,-1.325,-1.06,0.406,-0.767,-0.542,-0.923,-1.478,-1.321,-1.528,-1.033,-1.356,-1.306,1.131,-1.436,-1.753,-1.219,-0.188,-0.101,1.0,3.617,3.055,3.874,9.095,13.646,14.872,17.619,18.061,11.578,10.758,19.559,21.606,24.391,22.106,23.67,17.22,13.136,20.584,23.114,22.427,23.465,25.535,15.849,12.497
Delaware,New Castle County,retail/recreation,5.586,1.658,-0.288,5.689,5.633,6.011,8.217,12.277,8.316,8.625,8.772,8.17,-0.41,7.683,9.175,9.525,6.732,6.42,8.339,2.978,-7.21,-8.07,-2.908,-19.649,-25.161,-28.946,-26.881,-36.318,-39.853,-32.69,-44.672,-49.086,-39.341,-40.985,-54.405,-49.658,-40.29,-41.944,-38.373,-39.015,-42.776,-51.169,-49.829
Delaware,New Castle County,transitstations,12.507,2.664,-3.985,3.755,2.148,2.143,11.634,3.547,3.197,3.71,7.51,8.591,,17.898,15.308,1.732,1.786,0.974,0.134,-10.357,-4.296,-17.921,-19.182,-24.324,-26.841,-43.895,-40.952,-41.166,-57.87,-54.481,-49.747,-53.822,-44.029,-51.31,-57.99,-62.164,-51.551,-52.77,-47.007,-50.741,-55.833,-53.694,-58.804
Delaware,New Castle County,workplace,1.368,3.318,2.592,2.158,1.504,1.942,6.06,3.899,3.422,2.753,1.445,1.504,0.612,5.309,1.641,0.705,0.764,0.218,-3.247,-6.944,,-9.097,-24.118,-33.336,-37.533,-40.245,-41.477,-25.566,-31.12,-46.557,-51.239,-53.152,-52.499,-51.566,-37.8,-38.575,-52.094,-54.434,-54.637,-55.429,-54.627,-39.07,-40.08
Delaware,Sussex County,grocery/pharmacy,1.759,1.01,-5.67,-0.206,2.506,1.931,2.593,3.72,2.02,7.63,3.906,5.825,-4.038,6.422,5.208,4.848,8.191,6.442,20.251,24.696,20.376,14.61,29.695,17.011,11.582,12.462,12.465,4.816,-5.208,-5.319,-12.601,-26.727,-11.04,-17.322,-24.328,-23.742,-15.487,-13.931,-12.061,-12.123,-16.093,-21.92,-27.327
Delaware,Sussex County,parks,59.939,20.529,-15.462,-0.814,-5.362,4.586,-1.164,5.819,29.653,31.738,52.897,25.276,-24.24,25.023,85.545,96.563,30.111,38.249,23.744,68.134,89.036,22.114,9.124,73.242,53.711,45.956,150.681,-6.401,-19.204,-44.86,6.51,-52.083,35.233,12.448,-46.555,-5.237,12.165,-20.345,-9.766,-2.298,-21.619,-32.588,2.91
Delaware,Sussex County,residential,-0.925,0.243,1.717,-0.533,-0.272,-0.703,-1.532,-0.934,-0.477,-1.168,-1.183,-1.101,2.0,-1.168,-1.109,-0.775,-0.282,-0.439,-0.179,1.563,0.946,3.121,4.381,6.557,8.089,9.782,9.92,9.935,9.237,14.252,14.336,18.292,14.057,15.748,14.513,11.402,13.199,15.587,15.79,16.096,18.058,14.275,11.642
Delaware,Sussex County,retail/recreation,10.266,1.784,1.771,9.503,5.14,7.402,14.827,12.551,8.111,13.955,14.234,10.279,0.83,16.244,14.178,11.89,13.307,8.228,12.359,13.24,14.166,2.402,7.856,-13.566,-20.035,-23.07,-22.269,-35.226,-38.932,-33.08,-40.699,-49.903,-37.704,-40.678,-49.99,-47.764,-34.609,-39.964,-38.795,-38.763,-42.209,-50.053,-49.623
Delaware,Sussex County,transitstations,14.423,6.593,-1.371,1.389,1.371,-1.132,-1.319,1.603,9.23,10.965,11.111,13.706,-3.397,,28.846,19.778,12.336,6.944,4.112,4.529,2.637,-6.41,1.319,-6.853,-8.333,-15.077,-15.851,-32.964,-32.051,-36.92,-39.748,-43.056,-26.042,-40.761,-52.743,-41.667,-26.371,-35.636,-36.111,-23.3,-40.761,-43.513,-49.679
Delaware,Sussex County,workplace,3.745,5.698,1.106,3.454,2.175,4.945,7.786,4.766,5.442,3.872,2.969,3.263,3.067,5.638,4.085,5.314,2.95,3.151,0.785,-1.064,2.55,-6.468,-9.668,-16.163,-18.967,-22.054,-23.788,-16.511,-29.105,-29.003,-32.571,-37.752,-34.259,-34.054,-32.485,-37.956,-32.716,-36.382,-37.752,-38.73,-37.936,-35.035,-40.679
