state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
EE,Harju County,grocery/pharmacy,9.327,-8.693,-0.834,-7.578,-1.192,-0.572,-1.641,-0.314,0.733,-0.294,-2.414,4.436,8.802,11.123,24.522,1.172,4.463,2.655,18.172,25.613,-5.334,-4.611,-6.007,-17.41,-23.749,-17.647,-17.295,-20.879,-15.091,-21.976,-21.775,-21.528,-25.469,-25.965,-27.443,-29.71,-33.062,-29.72,-27.031,-30.43,-27.901,-26.349,-24.208
EE,Harju County,parks,38.76,191.667,25.773,3.434,15.783,12.878,12.654,-6.998,12.121,-13.245,-9.921,4.91,24.038,23.5,106.858,12.121,-7.875,-12.592,-3.507,-13.736,-5.197,48.18,-25.758,12.529,-35.104,50.856,16.026,3.163,77.25,18.182,-0.716,3.434,16.835,-10.875,18.529,1.615,-24.242,-30.069,-3.053,-18.238,-45.215,5.875,43.335
EE,Harju County,residential,-2.647,16.198,1.658,2.472,2.97,3.64,0.737,0.795,0.926,0.791,1.025,0.225,-0.664,-0.79,-3.328,1.188,1.089,1.812,2.431,7.805,7.67,5.915,18.512,20.491,22.934,20.901,22.672,11.909,8.031,20.867,21.993,21.884,22.492,25.177,11.754,10.975,23.996,24.278,23.605,24.962,27.188,13.178,9.83
EE,Harju County,retail/recreation,8.305,-19.643,-0.263,-3.387,-1.68,-3.625,-10.17,-6.133,-1.811,-2.75,-2.16,3.587,6.387,4.276,22.105,1.166,-0.205,-0.876,-1.822,-16.128,-37.927,-37.118,-36.461,-43.89,-47.471,-42.931,-47.225,-54.644,-46.445,-44.134,-46.992,-44.814,-47.628,-59.358,-65.781,-64.046,-57.055,-56.911,-55.12,-57.364,-59.112,-62.713,-58.137
EE,Harju County,transitstations,5.633,-16.152,0.987,-1.968,-0.548,-6.198,-5.384,-3.047,-0.205,-2.821,-3.233,2.122,2.403,2.447,15.052,-1.3,-2.186,-5.482,-6.707,-21.44,-31.894,-29.458,-42.365,-45.701,-54.122,-45.787,-49.648,-48.453,-42.295,-51.125,-51.272,-52.435,-52.015,-56.605,-51.553,-58.917,-60.57,-59.242,-56.863,-59.064,-63.563,-52.532,-51.068
EE,Harju County,workplace,-0.157,-81.048,-17.268,-17.401,-17.793,-17.547,-0.256,0.157,-0.734,0.029,0.444,0.655,0.714,4.991,3.934,-0.911,-0.441,-1.628,-2.916,-13.075,-9.598,-14.004,-42.801,-48.721,-50.545,-50.492,-49.661,-25.978,-27.064,-50.526,-52.392,-52.853,-53.943,-54.847,-33.144,-35.719,-56.108,-56.415,-55.99,-56.68,-56.4,-35.703,-36.191
EE,Jõgeva County,grocery/pharmacy,24.718,-4.96,-1.555,-7.774,,2.604,1.335,1.766,6.614,-1.555,-1.555,7.774,22.135,18.697,42.373,8.267,1.555,,17.102,27.344,,8.828,4.96,-9.328,-9.328,-15.547,-19.531,-12.019,-17.655,-8.267,-21.766,-20.211,-17.102,-20.833,-20.032,-24.718,-19.841,-20.211,-24.876,-26.43,-27.344,-17.361,-14.124
EE,Jõgeva County,parks,33.117,154.719,26.915,7.719,12.142,11.868,14.758,-4.178,13.262,-3.445,-6.837,2.588,21.73,18.066,91.149,17.24,-0.861,-9.704,-4.578,-11.366,-4.453,50.604,-21.44,20.456,-27.126,51.754,19.056,13.358,74.9,26.744,12.273,13.232,23.489,7.522,27.862,3.559,-8.62,-11.197,4.411,-14.73,-39.615,7.252,48.592
EE,Jõgeva County,residential,-2.314,15.734,1.719,2.625,3.231,3.733,0.254,0.404,0.724,0.46,1.145,0.126,-0.901,-1.312,-3.546,0.682,0.522,1.222,1.758,6.704,6.799,5.053,16.371,17.355,20.045,18.056,19.778,10.295,7.062,17.84,18.786,18.896,19.235,21.282,10.014,9.698,20.547,20.447,20.398,21.744,23.986,11.615,8.318
EE,Jõgeva County,retail/recreation,12.378,-21.569,2.123,-0.645,-0.094,-2.581,-5.869,-2.256,0.895,0.278,-0.339,5.813,8.352,9.962,28.652,5.016,3.739,2.322,1.003,-12.96,-34.753,-33.499,-34.355,-40.282,-44.765,-40.316,-44.339,-50.259,-43.1,-40.435,-43.107,-40.637,-44.202,-54.732,-61.739,-60.269,-53.137,-52.593,-51.877,-54.262,-55.786,-59.069,-54.415
EE,Jõgeva County,transitstations,6.855,-13.12,4.032,1.643,0.922,-3.16,-0.102,0.644,2.438,0.091,-0.456,3.775,6.64,7.276,21.794,3.014,1.54,-1.643,-3.16,-16.881,-25.569,-22.966,-38.251,-38.736,-46.959,-38.321,-43.122,-39.046,-35.269,-42.594,-43.901,-43.719,-44.334,-48.322,-41.3,-51.205,-51.991,-50.878,-48.967,-52.367,-57.123,-43.657,-43.003
EE,Jõgeva County,workplace,-0.741,-76.746,-17.534,-17.927,-17.999,-18.539,-0.243,1.705,0.151,1.086,0.59,1.1,0.78,4.253,5.781,-0.437,0.377,-0.666,-1.711,-12.301,-10.571,-14.378,-39.698,-44.748,-46.663,-46.189,-45.273,-23.998,-24.457,-46.216,-47.688,-48.314,-49.046,-49.633,-30.195,-31.794,-50.793,-50.99,-50.948,-51.445,-51.208,-31.714,-31.201
EE,Lääne County,grocery/pharmacy,13.889,-8.538,-3.36,-6.831,-3.255,-2.815,-2.894,-6.944,-1.708,-10.081,-6.831,6.51,9.854,24.595,17.361,1.708,,-3.415,11.393,21.115,-1.447,-1.736,-6.831,-18.481,-23.907,-14.648,-12.669,-18.808,-12.153,-20.492,-20.161,-17.077,-22.786,-28.153,-24.595,-32.986,-34.153,-30.242,-25.615,-26.042,-23.93,-21.701,-29.514
EE,Lääne County,parks,33.117,154.719,26.915,7.719,12.142,11.868,14.758,-4.178,13.262,-3.445,-6.837,2.588,21.73,18.066,91.149,17.24,-0.861,-9.704,-4.578,-11.366,-4.453,50.604,-21.44,20.456,-27.126,51.754,19.056,13.358,74.9,26.744,12.273,13.232,23.489,7.522,27.862,3.559,-8.62,-11.197,4.411,-14.73,-39.615,7.252,48.592
EE,Lääne County,residential,-2.314,15.734,1.719,2.625,3.231,3.733,0.254,0.404,0.724,0.46,1.145,0.126,-0.901,-1.312,-3.546,0.682,0.522,1.222,1.758,6.704,6.799,5.053,16.371,17.355,20.045,18.056,19.778,10.295,7.062,17.84,18.786,18.896,19.235,21.282,10.014,9.698,20.547,20.447,20.398,21.744,23.986,11.615,8.318
