state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
FR,Auvergne-Rhône-Alpes,grocery/pharmacy,22.959,9.551,7.804,1.265,3.502,4.911,-0.595,8.905,-0.203,4.396,0.373,-0.736,0.219,-0.287,10.011,4.201,2.742,3.346,7.68,23.437,3.659,27.584,48.045,-15.724,-47.181,-42.019,-43.202,-57.683,-68.271,-43.762,-47.055,-51.332,-47.723,-48.133,-60.06,-76.88,-50.453,-38.724,-41.176,-36.629,-39.216,-50.156,-66.5
FR,Auvergne-Rhône-Alpes,parks,105.69,111.395,47.306,15.567,7.895,44.59,-12.229,7.992,-16.991,28.908,22.743,-23.388,5.398,3.782,46.324,-0.063,-0.493,40.994,12.098,8.874,27.069,36.871,-8.542,-36.119,-52.323,-57.903,-64.704,-76.58,-80.358,-67.525,-66.722,-68.908,-69.382,-70.348,-76.56,-83.154,-70.498,-60.651,-60.969,-62.592,-66.035,-73.239,-70.404
FR,Auvergne-Rhône-Alpes,residential,-3.209,3.069,4.592,3.239,5.43,4.03,1.375,-1.695,6.589,4.831,2.662,6.237,5.325,0.94,-0.996,1.763,1.984,0.697,1.246,2.204,4.477,3.158,14.083,24.944,30.582,34.834,38.348,26.345,19.878,34.826,36.837,34.152,37.29,39.997,26.603,20.056,35.579,36.227,33.102,36.338,39.045,25.941,19.142
FR,Auvergne-Rhône-Alpes,retail/recreation,25.552,14.261,6.669,-1.765,-1.599,4.114,-12.107,6.181,-6.561,0.903,-2.781,-7.073,-2.852,-8.124,8.625,-3.162,-5.068,-1.52,-4.851,-4.466,-18.498,-33.818,-44.125,-70.562,-85.868,-85.778,-86.778,-91.802,-89.179,-85.263,-86.555,-88.022,-87.415,-87.597,-91.644,-91.086,-87.741,-93.309,-93.755,-93.103,-89.104,-92.538,-88.025
FR,Auvergne-Rhône-Alpes,transitstations,29.706,6.535,0.618,-3.024,-7.141,2.487,8.787,9.65,-15.478,-9.864,-8.503,-18.308,-9.482,5.345,11.902,-2.16,-3.625,1.547,-3.731,-3.682,-4.051,-15.63,-34.782,-56.826,-77.99,-83.103,-86.102,-87.689,-90.284,-86.955,-86.672,-87.004,-88.159,-89.266,-89.958,-92.983,-88.592,-85.562,-84.847,-85.939,-87.148,-87.384,-88.614
FR,Auvergne-Rhône-Alpes,workplace,3.473,-19.256,-18.511,-15.859,-19.794,-20.299,-5.494,3.332,-23.443,-21.205,-17.701,-22.127,-22.152,-5.028,2.003,-0.176,0.131,0.714,0.352,-1.25,-3.95,-6.043,-34.671,-54.762,-68.321,-72.359,-73.21,-59.693,-57.045,-75.566,-76.517,-75.457,-76.448,-75.812,-60.854,-58.747,-76.281,-75.866,-73.496,-75.057,-74.284,-58.894,-54.245
FR,Bourgogne-Franche-Comté,grocery/pharmacy,14.417,4.899,2.389,-4.811,-1.557,2.487,-2.917,10.539,1.869,5.092,-1.251,-1.114,0.414,-1.527,11.635,3.627,1.304,0.983,3.206,15.878,-0.513,33.64,52.382,-13.594,-50.75,-44.604,-45.174,-59.984,-72.719,-42.364,-48.154,-53.729,-49.488,-48.956,-61.99,-80.011,-50.168,-42.056,-45.03,-40.848,-41.573,-51.667,-69.725
FR,Bourgogne-Franche-Comté,parks,74.487,67.402,10.877,1.584,-13.184,29.695,-11.554,-1.638,-17.527,15.897,16.326,-25.062,5.261,12.918,25.439,5.272,-7.948,12.305,,21.628,20.742,50.879,,-20.22,-41.179,-45.729,-52.96,-72.234,-74.391,-54.435,-54.524,-59.942,-59.032,-57.52,-69.596,-79.884,-58.852,-49.364,-52.51,-51.668,-54.363,-65.593,-63.695
FR,Bourgogne-Franche-Comté,residential,-1.593,3.918,5.441,3.816,6.02,5.042,1.04,-1.367,6.151,5.207,2.903,6.342,5.789,0.761,0.048,1.592,2.476,1.552,1.845,1.952,4.415,2.3,11.227,20.872,26.122,30.187,34.439,24.596,17.974,30.64,32.617,29.88,32.881,36.082,24.665,18.265,31.321,31.984,28.802,31.923,35.365,24.048,17.353
FR,Bourgogne-Franche-Comté,retail/recreation,15.325,6.195,1.17,-8.573,-5.191,0.149,-12.139,6.895,-3.863,1.05,-4.532,-5.679,-2.046,-6.217,6.222,-2.847,-7.03,-5.725,-5.72,-3.951,-19.923,-28.039,-40.32,-67.134,-84.956,-84.626,-86.465,-92.535,-87.651,-84.126,-85.973,-87.964,-86.509,-86.658,-91.947,-90.128,-86.208,-91.779,-92.446,-91.72,-88.317,-92.602,-86.268
