state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
GB,Overall,2020-02-23,-2.17,-4.555,-0.313,-0.745,2.891,-0.827
GB,Overall,2020-02-24,-0.715,-8.567,1.405,-3.253,-2.182,-2.073
GB,Overall,2020-02-25,4.227,3.412,0.375,-0.775,0.616,0.573
GB,Overall,2020-02-26,-0.277,5.691,0.492,0.547,-0.663,0.669
GB,Overall,2020-02-27,0.886,7.644,0.484,2.213,0.079,0.19
GB,Overall,2020-02-28,0.862,-12.759,1.005,0.548,0.05,-0.674
GB,Overall,2020-02-29,0.922,-14.245,0.488,1.097,-2.323,0.384
GB,Overall,2020-03-01,1.837,14.245,-0.7,6.664,5.363,1.343
GB,Overall,2020-03-02,3.926,13.795,0.124,4.499,-0.004,0.688
GB,Overall,2020-03-03,2.587,11.366,0.138,2.189,-0.99,0.883
GB,Overall,2020-03-04,3.39,1.973,0.579,1.926,-1.61,0.8
GB,Overall,2020-03-05,1.99,1.182,0.708,-0.956,-2.849,0.42
GB,Overall,2020-03-06,5.662,22.266,0.125,4.709,1.189,0.613
GB,Overall,2020-03-07,1.633,6.877,0.022,-0.241,-0.507,1.351
GB,Overall,2020-03-08,2.471,15.354,-0.606,3.888,2.056,1.181
GB,Overall,2020-03-09,3.676,4.197,0.799,0.066,-3.271,0.065
GB,Overall,2020-03-10,4.957,3.561,1.082,-1.646,-3.999,-0.328
GB,Overall,2020-03-11,4.849,9.594,1.275,-0.161,-5.584,-0.339
GB,Overall,2020-03-12,10.747,5.434,1.655,-1.459,-8.139,-1.454
GB,Overall,2020-03-13,11.275,12.494,2.357,-2.188,-9.339,-3.954
GB,Overall,2020-03-14,7.357,0.714,2.435,-10.136,-15.168,-2.18
GB,Overall,2020-03-15,7.003,-1.046,1.871,-10.769,-15.989,-3.981
GB,Overall,2020-03-16,20.087,29.393,3.667,-3.014,-16.483,-8.724
GB,Overall,2020-03-17,20.819,6.355,7.492,-15.284,-27.094,-16.432
GB,Overall,2020-03-18,22.442,-3.187,10.422,-21.114,-33.885,-22.742
GB,Overall,2020-03-19,24.158,2.442,11.469,-21.474,-36.775,-26.914
GB,Overall,2020-03-20,9.906,6.214,12.754,-28.378,-39.581,-28.895
GB,Overall,2020-03-21,1.295,1.691,10.816,-49.794,-46.236,-25.286
GB,Overall,2020-03-22,-13.571,19.626,8.565,-56.504,-46.115,-30.025
GB,Overall,2020-03-23,-8.065,1.421,17.228,-45.196,-52.583,-45.557
GB,Overall,2020-03-24,-23.66,-14.485,23.678,-70.909,-64.264,-58.314
GB,Overall,2020-03-25,-25.886,-11.88,26.222,-73.421,-68.041,-64.089
GB,Overall,2020-03-26,-28.109,-10.992,27.092,-74.363,-69.922,-66.166
GB,Overall,2020-03-27,-28.834,-26.384,28.273,-75.882,-70.771,-66.482
GB,Overall,2020-03-28,-38.819,-54.458,19.718,-83.287,-74.088,-57.252
GB,Overall,2020-03-29,-45.731,-52.445,15.465,-84.897,-74.81,-55.396
GB,Overall,2020-03-30,-32.292,-32.551,26.678,-74.167,-72.657,-69.048
GB,Overall,2020-03-31,-30.083,-20.763,27.285,-74.216,-71.73,-69.608
GB,Overall,2020-04-01,-32.131,-28.553,28.235,-75.48,-73.085,-69.517
GB,Overall,2020-04-02,-31.565,-24.5,28.548,-75.386,-73.584,-69.778
GB,Overall,2020-04-03,-29.978,-24.971,28.967,-75.899,-71.978,-68.754
GB,Overall,2020-04-04,-36.275,-37.712,19.274,-81.51,-71.7,-56.841
GB,Overall,2020-04-05,-41.064,-28.589,14.861,-82.048,-70.511,-53.693
