state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Georgia,Bacon County,grocery/pharmacy,-2.854,1.108,-4.987,21.368,2.264,6.879,23.674,,,4.433,22.703,3.397,-0.983,16.572,2.854,4.433,-4.433,10.684,2.264,11.792,-3.551,5.708,6.649,6.649,18.697,14.719,2.948,11.837,-4.281,1.108,-1.108,16.026,-4.529,-9.827,-16.572,-15.696,-12.19,-33.245,14.022,12.455,-6.879,-28.409,-28.539
Georgia,Bacon County,parks,20.469,-20.873,9.33,5.028,6.209,29.812,40.474,49.052,-9.468,-0.034,-19.316,-29.96,44.475,78.693,57.026,53.188,18.283,38.487,22.819,38.625,50.09,1.909,-4.314,11.525,23.548,27.414,46.2,33.493,-17.914,-39.663,-22.57,19.099,3.136,33.187,13.582,-2.05,1.791,-36.085,-5.245,-15.027,3.825,-17.819,-13.365
Georgia,Bacon County,residential,-0.541,1.45,0.313,-1.112,-0.999,-2.402,-2.524,-1.966,-0.029,0.457,1.28,2.433,-1.753,-2.317,-1.1,-1.117,1.006,-0.336,0.052,1.4,1.578,3.446,7.333,10.553,11.525,12.862,13.167,8.786,9.772,16.272,18.365,16.77,18.042,17.657,11.668,11.097,16.379,20.219,17.725,18.64,20.156,15.524,13.04
Georgia,Bacon County,retail/recreation,2.285,-4.862,4.76,8.729,9.698,8.638,12.56,12.737,4.357,9.927,2.75,1.38,7.068,9.937,7.635,6.729,5.33,6.385,8.035,2.869,-4.327,-11.78,-8.457,-14.115,-18.266,-20.569,-24.341,-31.042,-39.498,-35.19,-35.065,-32.983,-34.343,-34.896,-39.109,-42.312,-33.852,-36.807,-29.7,-28.793,-36.837,-50.463,-50.04
Georgia,Bacon County,transitstations,3.377,-2.066,0.687,4.016,6.071,7.468,12.127,8.384,0.027,-0.154,-1.637,-0.934,5.18,8.953,3.932,-0.228,-2.774,-0.42,-1.948,-4.524,-3.947,-12.669,-19.872,-21.437,-24.164,-28.994,-30.513,-26.925,-41.754,-43.246,-40.325,-39.443,-42.564,-44.574,-43.05,-51.684,-46.721,-46.462,-43.962,-46.006,-50.538,-53.548,-59.514
Georgia,Bacon County,workplace,0.922,1.442,2.128,1.484,1.591,2.001,3.908,2.133,2.385,1.391,-0.307,-1.183,0.699,4.911,1.173,1.844,-0.502,-1.105,-1.498,-7.604,-0.191,-8.972,-19.65,-25.319,-29.272,-30.955,-31.952,-17.887,-29.249,-37.642,-40.901,-41.975,-42.564,-42.396,-28.151,-36.677,-43.996,-46.804,-46.756,-46.893,-47.752,-36.125,-42.223
Georgia,Baldwin County,grocery/pharmacy,-6.127,-11.905,-6.323,,0.32,3.072,1.731,-0.681,3.307,0.666,-4.313,-8.308,-0.559,0.289,-2.042,1.984,-2.995,2.322,9.586,15.639,0.577,4.766,14.55,8.986,5.64,11.503,1.955,-3.463,-10.893,-8.267,-14.31,-10.947,-12.142,-12.846,-15.293,-21.106,-9.921,-12.314,0.995,20.769,-6.144,-29.432,-27.574
Georgia,Baldwin County,parks,20.469,-20.873,9.33,5.028,6.209,29.812,40.474,49.052,-9.468,-0.034,-19.316,-29.96,44.475,78.693,57.026,53.188,18.283,38.487,22.819,38.625,50.09,1.909,-4.314,11.525,23.548,27.414,46.2,33.493,-17.914,-39.663,-22.57,19.099,3.136,33.187,13.582,-2.05,1.791,-36.085,-5.245,-15.027,3.825,-17.819,-13.365
Georgia,Baldwin County,residential,-0.541,1.45,0.313,-1.112,-0.999,-2.402,-2.524,-1.966,-0.029,0.457,1.28,2.433,-1.753,-2.317,-1.1,-1.117,1.006,-0.336,0.052,1.4,1.578,3.446,7.333,10.553,11.525,12.862,13.167,8.786,9.772,16.272,18.365,16.77,18.042,17.657,11.668,11.097,16.379,20.219,17.725,18.64,20.156,15.524,13.04
Georgia,Baldwin County,retail/recreation,7.466,1.018,10.776,14.267,21.868,23.148,27.828,26.664,22.564,22.042,7.21,7.092,15.473,18.051,19.02,14.929,13.388,11.966,13.446,14.376,4.889,6.222,10.009,-2.776,-11.966,-11.082,-19.371,-26.073,-35.73,-29.859,-35.266,-33.29,-32.506,-35.697,-36.352,-35.552,-27.653,-31.348,-23.319,-14.332,-36.915,-55.907,-47.284
