state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
HR,Bjelovar-Bilogora County,2020-02-23,10.568,7.382,-1.948,8.17,13.538,1.031
HR,Bjelovar-Bilogora County,2020-02-24,0.447,4.789,-0.531,9.132,5.146,-2.487
HR,Bjelovar-Bilogora County,2020-02-25,12.056,17.785,0.298,4.492,3.05,-3.031
HR,Bjelovar-Bilogora County,2020-02-26,0.956,,2.209,-1.382,-7.819,-3.298
HR,Bjelovar-Bilogora County,2020-02-27,-1.647,4.682,1.123,4.167,-0.904,-2.205
HR,Bjelovar-Bilogora County,2020-02-28,-4.902,-2.042,1.05,3.299,-1.42,-1.129
HR,Bjelovar-Bilogora County,2020-02-29,2.075,0.868,0.398,5.814,-5.964,1.286
HR,Bjelovar-Bilogora County,2020-03-01,0.755,-12.303,1.589,3.268,-6.487,
HR,Bjelovar-Bilogora County,2020-03-02,,8.381,0.011,7.705,5.167,1.382
HR,Bjelovar-Bilogora County,2020-03-03,,,1.048,3.65,0.881,0.551
HR,Bjelovar-Bilogora County,2020-03-04,,3.765,0.339,2.21,0.845,0.275
HR,Bjelovar-Bilogora County,2020-03-05,0.412,15.215,-0.388,3.906,3.407,0.827
HR,Bjelovar-Bilogora County,2020-03-06,1.634,-6.127,0.833,5.892,0.769,-0.565
HR,Bjelovar-Bilogora County,2020-03-07,7.47,-0.868,-0.533,12.112,-1.596,3.858
HR,Bjelovar-Bilogora County,2020-03-08,15.851,2.461,-1.746,19.608,9.448,8.251
HR,Bjelovar-Bilogora County,2020-03-09,-0.894,3.592,-0.518,9.132,2.84,1.934
HR,Bjelovar-Bilogora County,2020-03-10,5.787,17.785,-0.049,5.615,3.436,3.031
HR,Bjelovar-Bilogora County,2020-03-11,4.778,26.355,-0.689,7.184,3.466,1.099
HR,Bjelovar-Bilogora County,2020-03-12,9.881,23.408,-0.333,5.729,1.451,1.653
HR,Bjelovar-Bilogora County,2020-03-13,26.552,-2.042,2.715,2.592,-10.569,
HR,Bjelovar-Bilogora County,2020-03-14,12.035,1.736,3.689,-3.876,-22.399,-4.501
HR,Bjelovar-Bilogora County,2020-03-15,9.058,0.82,3.656,-6.944,-25.208,-5.157
HR,Bjelovar-Bilogora County,2020-03-16,21.012,14.368,8.607,-2.854,-35.51,-22.381
HR,Bjelovar-Bilogora County,2020-03-17,6.752,27.947,11.053,-14.881,-41.493,-25.353
HR,Bjelovar-Bilogora County,2020-03-18,19.113,20.08,11.801,-16.302,-45.075,-28.859
HR,Bjelovar-Bilogora County,2020-03-19,-10.293,26.919,15.134,-55.729,-51.061,-34.998
HR,Bjelovar-Bilogora County,2020-03-20,-25.735,17.361,18.056,-66.931,-56.707,-40.368
HR,Bjelovar-Bilogora County,2020-03-21,-32.371,-10.417,13.108,-73.341,-61.29,-37.937
HR,Bjelovar-Bilogora County,2020-03-22,-43.025,-41.011,10.889,-84.559,-56.091,-44.348
HR,Bjelovar-Bilogora County,2020-03-23,-42.918,-29.933,21.788,-70.134,-77.085,-51.393
HR,Bjelovar-Bilogora County,2020-03-24,-51.119,-41.921,26.903,-83.67,-81.848,-58.973
HR,Bjelovar-Bilogora County,2020-03-25,-47.305,-43.926,27.334,-80.681,-81.867,-59.642
HR,Bjelovar-Bilogora County,2020-03-26,-51.877,-40.964,27.968,-80.729,-81.703,-58.697
HR,Bjelovar-Bilogora County,2020-03-27,-51.471,-28.595,29.051,-81.307,-79.067,-55.612
HR,Bjelovar-Bilogora County,2020-03-28,-53.536,-16.493,18.152,-81.88,-74.142,-48.868
HR,Bjelovar-Bilogora County,2020-03-29,-60.386,-23.786,14.913,-89.052,-74.494,-47.442
HR,Bjelovar-Bilogora County,2020-03-30,-50.966,-31.13,24.551,-76.769,-78.793,-55.813
HR,Bjelovar-Bilogora County,2020-03-31,-40.027,-16.514,24.938,-74.405,-77.338,-55.115
HR,Bjelovar-Bilogora County,2020-04-01,-44.916,-8.785,23.893,-73.497,-75.95,-54.694
HR,Bjelovar-Bilogora County,2020-04-02,-47.348,,23.704,-72.656,-74.111,-54.012
HR,Bjelovar-Bilogora County,2020-04-03,-43.709,1.021,25.142,-71.88,-73.447,-52.789
HR,Bjelovar-Bilogora County,2020-04-04,-43.991,-15.625,15.718,-75.521,-67.786,-45.653
HR,Bjelovar-Bilogora County,2020-04-05,-43.78,-22.146,13.378,-78.329,-66.35,-46.411
HR,Brod-Posavina County,2020-02-23,17.473,18.282,-1.948,23.304,28.045,1.628
HR,Brod-Posavina County,2020-02-24,6.614,18.59,-0.531,6.692,9.766,1.165
HR,Brod-Posavina County,2020-02-25,12.38,15.589,0.298,7.6,7.757,0.934
HR,Brod-Posavina County,2020-02-26,4.322,-8.741,2.209,-2.02,2.148,0.936
HR,Brod-Posavina County,2020-02-27,-2.148,5.455,1.123,0.819,1.063,0.936
HR,Brod-Posavina County,2020-02-28,-4.006,0.521,1.05,1.496,8.903,0.715
HR,Brod-Posavina County,2020-02-29,5.622,2.045,0.398,0.886,15.432,2.073
HR,Brod-Posavina County,2020-03-01,11.425,-39.111,1.589,0.562,20.032,0.814
HR,Brod-Posavina County,2020-03-02,6.614,4.109,0.011,7.584,3.255,3.496
HR,Brod-Posavina County,2020-03-03,5.55,1.521,1.048,4.471,-1.108,1.635
HR,Brod-Posavina County,2020-03-04,7.348,4.523,0.339,6.51,-3.222,2.107
HR,Brod-Posavina County,2020-03-05,3.222,18.359,-0.388,5.73,2.126,3.043
HR,Brod-Posavina County,2020-03-06,1.457,-8.7,0.833,0.561,10.684,0.953
HR,Brod-Posavina County,2020-03-07,6.944,10.957,-0.533,12.578,11.574,0.518
HR,Brod-Posavina County,2020-03-08,22.177,8.627,-1.746,14.039,21.368,2.441
HR,Brod-Posavina County,2020-03-09,5.374,15.263,-0.518,5.353,-2.17,0.932
HR,Brod-Posavina County,2020-03-10,10.246,18.821,-0.049,4.694,-4.433,1.868
HR,Brod-Posavina County,2020-03-11,14.263,26.712,-0.689,9.653,4.296,1.404
HR,Brod-Posavina County,2020-03-12,10.739,24.87,-0.333,1.842,-4.252,0.234
HR,Brod-Posavina County,2020-03-13,25.131,-5.105,2.715,-2.805,-10.684,
HR,Brod-Posavina County,2020-03-14,11.905,1.169,3.689,-13.287,-18.004,-4.146
HR,Brod-Posavina County,2020-03-15,12.097,2.905,3.656,-16.566,-33.387,-5.697
HR,Brod-Posavina County,2020-03-16,25.215,13.046,8.607,-9.368,-36.892,-20.507
HR,Brod-Posavina County,2020-03-17,6.831,17.363,11.053,-26.824,-46.543,-23.589
HR,Brod-Posavina County,2020-03-18,9.077,13.937,11.801,-26.266,-48.325,-27.856
HR,Brod-Posavina County,2020-03-19,-15.75,13.608,15.134,-54.232,-57.398,-36.283
HR,Brod-Posavina County,2020-03-20,-25.131,4.428,18.056,-62.089,-67.664,-40.522
HR,Brod-Posavina County,2020-03-21,-33.399,-28.44,13.108,-72.81,-70.73,-41.459
HR,Brod-Posavina County,2020-03-22,-56.452,-56.812,10.889,-87.882,-77.457,-50.456
HR,Brod-Posavina County,2020-03-23,-35.549,-51.595,21.788,-68.032,-80.295,-49.636
HR,Brod-Posavina County,2020-03-24,-49.522,-60.138,26.903,-79.801,-86.436,-55.82
HR,Brod-Posavina County,2020-03-25,-48.842,-58.62,27.334,-80.145,-90.206,-56.882
HR,Brod-Posavina County,2020-03-26,-49.757,-59.711,27.968,-77.972,-89.286,-57.35
HR,Brod-Posavina County,2020-03-27,-48.077,-51.886,29.051,-76.489,-89.031,-54.825
HR,Brod-Posavina County,2020-03-28,-50.595,-41.686,18.152,-78.125,-83.591,-48.715
HR,Brod-Posavina County,2020-03-29,-61.828,-44.609,14.913,-83.951,-86.806,-52.897
HR,Brod-Posavina County,2020-03-30,-43.816,-41.159,24.551,-71.378,-81.38,-54.763
