state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
HU,Baranya,grocery/pharmacy,16.674,3.046,6.32,-0.723,10.486,5.989,3.445,,1.289,3.525,5.546,11.062,8.663,13.184,24.563,4.218,11.061,15.553,19.819,19.678,25.774,-76.018,34.566,12.276,3.014,-12.099,-17.646,-27.437,-40.519,-30.231,-36.586,-30.985,-26.503,-6.952,-42.759,-46.436,-32.574,-29.415,-27.488,-19.589,-16.791,-19.954,-27.969
HU,Baranya,parks,22.758,20.958,41.792,0.113,6.528,-4.839,10.467,8.586,14.987,4.315,2.855,18.393,-9.802,11.532,30.988,25.11,32.483,14.652,35.052,-2.854,10.155,38.089,0.395,8.39,4.847,-0.578,-2.699,-45.998,-48.785,-50.181,-37.956,-44.859,-31.924,-8.964,-20.986,-6.893,-41.837,-24.212,-15.066,-17.441,-12.748,-4.467,20.084
HU,Baranya,residential,-2.047,0.879,-0.62,2.29,0.289,0.803,0.104,0.136,0.478,0.392,0.128,-0.995,0.841,-1.175,-2.309,-0.075,-0.402,-0.528,-0.655,2.065,1.043,2.785,7.573,11.696,13.227,14.738,17.127,10.577,10.928,20.596,23.848,23.576,22.271,20.145,13.012,9.826,21.055,20.312,20.135,20.007,19.978,10.246,7.617
HU,Baranya,retail/recreation,74.967,4.7,11.511,-5.375,11.798,2.9,3.733,10.865,1.535,3.208,8.155,12.163,6.819,14.487,33.409,6.714,9.813,8.711,11.798,-2.273,-6.133,-48.756,-7.961,-29.91,-36.051,-41.52,-50.477,-60.705,-72.659,-58.222,-65.387,-63.112,-57.251,-48.282,-72.081,-72.523,-61.004,-58.499,-57.644,-53.592,-53.769,-60.794,-62.337
HU,Baranya,transitstations,98.63,5.29,9.991,-6.858,6.374,-0.858,6.46,7.267,4.743,3.515,7.785,11.473,2.059,9.959,19.726,6.385,8.326,8.341,8.195,-3.261,2.422,-12.112,-17.696,-26.828,-29.841,-34.965,-38.784,-39.298,-54.679,-53.634,-56.801,-57.273,-53.54,-43.589,-48.45,-46.373,-53.999,-50.511,-48.747,-47.166,-45.476,-33.915,-36.337
HU,Baranya,workplace,6.196,-1.157,1.999,0.77,1.557,0.97,4.685,5.421,2.701,2.614,2.003,3.036,0.566,2.48,8.906,1.852,2.614,1.849,0.078,-2.263,1.653,-10.455,-23.38,-31.596,-35.904,-38.381,-39.76,-25.353,-32.141,-46.914,-52.045,-51.236,-48.814,-46.224,-33.62,-31.366,-48.071,-48.355,-48.154,-47.724,-46.871,-28.108,-26.332
HU,Borsod-Abaúj-Zemplén,grocery/pharmacy,2.03,3.523,3.104,2.871,7.03,4.256,4.643,0.508,-1.807,4.93,3.768,15.689,12.46,21.103,29.563,8.583,8.673,19.29,24.348,20.276,26.506,-85.516,35.415,11.32,3.32,-8.402,-16.639,-29.207,-41.489,-27.284,-25.928,-27.545,-24.863,-7.894,-43.642,-48.721,-30.085,-27.662,-28.531,-18.604,-14.627,-19.753,-28.294
HU,Borsod-Abaúj-Zemplén,parks,17.655,17.361,35.569,7.267,17.182,-2.042,15.097,36.194,-6.2,10.163,-9.69,20.404,6.127,21.135,26.483,34.722,43.191,25.436,28.995,11.234,29.438,54.732,7.44,31.758,26.647,27.921,26.552,-55.857,-38.842,-32.242,-15.244,-15.746,-7.517,27.574,-8.303,19.421,-28.522,-3.811,20.591,9.665,19.404,23.4,63.559
HU,Borsod-Abaúj-Zemplén,residential,-0.822,0.305,-0.283,0.922,0.351,0.588,-0.45,-0.725,1.312,0.368,1.144,-0.783,-0.274,-2.041,-2.435,-0.355,-0.653,-0.232,-0.064,1.523,0.266,2.722,6.906,10.209,11.749,13.335,14.532,10.541,8.597,18.264,17.915,18.232,18.287,16.111,10.893,8.456,19.19,17.689,17.274,17.294,17.114,8.061,6.11
HU,Borsod-Abaúj-Zemplén,retail/recreation,4.198,2.778,3.266,-4.244,1.04,1.976,1.214,11.414,-3.038,1.842,-2.722,11.601,9.739,23.747,24.139,8.767,8.29,5.044,10.321,1.553,0.986,-37.915,-0.521,-23.948,-29.785,-34.082,-39.733,-56.142,-59.43,-51.215,-46.975,-51.243,-47.683,-38.321,-64.564,-61.267,-54.948,-50.492,-50.842,-44.243,-42.415,-47.645,-44.343
HU,Borsod-Abaúj-Zemplén,transitstations,8.681,2.555,8.179,-0.301,3.869,4.116,3.669,14.731,-0.601,4.63,-1.503,6.101,5.819,15.492,20.255,6.914,9.259,5.261,8.482,0.851,7.339,-6.576,-15.482,-20.062,-25.403,-26.637,-31.647,-40.158,-41.824,-45.695,-40.123,-42.989,-40.327,-33.208,-40.566,-39.457,-45.695,-39.506,-39.382,-35.119,-34.344,-25.889,-24.2
HU,Borsod-Abaúj-Zemplén,workplace,2.362,2.054,2.262,1.933,0.83,-0.404,3.017,2.126,1.222,2.207,1.16,0.553,0.52,0.887,7.086,1.61,0.938,0.166,-1.494,-1.905,0.355,-18.896,-20.933,-28.635,-31.758,-35.239,-35.569,-21.295,-22.676,-41.256,-42.428,-42.528,-43.094,-41.632,-28.57,-28.817,-44.143,-43.2,-42.86,-43.205,-42.325,-25.554,-24.093
HU,Budapest,grocery/pharmacy,5.144,5.767,9.974,9.284,14.089,8.603,3.516,1.738,2.938,4.227,5.244,7.067,2.709,9.438,18.626,6.767,12.025,21.907,25.041,25.696,18.83,-78.166,30.283,9.426,-0.396,-12.726,-17.945,-29.288,-35.748,-35.527,-29.044,-32.532,-30.436,-12.01,-40.126,-41.855,-37.957,-31.972,-32.319,-28.794,-24.481,-25.589,-29.218
HU,Budapest,parks,16.174,32.847,53.687,8.349,5.535,-2.911,6.849,2.992,20.291,5.896,4.269,17.361,-18.306,3.718,15.889,22.601,30.619,9.202,31.619,-13.634,-16.502,3.135,-13.762,-4.345,-14.136,-23.148,-28.646,-68.944,-66.832,-69.712,-52.652,-61.76,-50.238,-34.467,-51.855,-39.543,-59.165,-42.205,-33.109,-39.587,-36.765,-35.679,-26.647
HU,Budapest,residential,-2.298,-0.165,-1.117,0.251,-0.159,0.175,-0.922,-1.217,0.193,0.315,-0.098,-0.459,1.013,-1.143,-2.694,0.072,-0.236,0.772,1.892,5.528,3.445,4.514,13.405,18.94,21.292,23.275,23.61,14.432,13.381,28.34,28.289,29.215,29.044,25.066,15.836,12.97,29.204,28.253,28.236,28.621,27.655,13.36,10.948
HU,Budapest,retail/recreation,4.144,1.736,3.375,-2.482,1.915,0.303,-0.627,-2.482,-1.753,-1.716,1.665,2.477,-3.113,3.042,7.742,1.435,1.831,-2.133,-5.13,-16.151,-29.023,-60.156,-25.896,-47.32,-52.944,-57.964,-59.969,-70.115,-74.209,-68.339,-66.652,-68.567,-67.032,-59.44,-77.345,-77.007,-70.272,-68.328,-68.115,-67.37,-65.639,-69.067,-69.55
HU,Budapest,transitstations,8.739,1.704,5.245,-0.542,1.794,-0.157,4.434,3.783,1.658,0.117,0.472,3.119,-2.26,2.746,8.328,0.336,1.807,-2.88,-7.21,-19.332,-26.263,-32.221,-40.92,-50.693,-56.536,-59.698,-61.017,-64.942,-69.54,-71.906,-70.454,-72.056,-69.742,-64.541,-69.325,-69.828,-73.297,-71.158,-68.818,-68.976,-67.819,-64.294,-64.626
HU,Budapest,workplace,2.501,2.921,3.264,2.342,1.86,1.572,5.752,2.188,3.386,3.174,3.106,3.184,0.347,4.382,3.814,2.658,2.063,0.332,-3.498,-8.968,-2.511,-20.196,-32.159,-44.238,-49.686,-52.882,-52.81,-31.633,-34.889,-59.729,-61.27,-61.829,-61.485,-58.579,-39.713,-40.516,-62.599,-62.732,-62.371,-62.395,-60.986,-37.202,-37.828
HU,Bács-Kiskun,grocery/pharmacy,7.558,2.51,3.255,2.427,7.414,5.685,5.23,6.047,4.248,5.266,8.155,10.801,11.955,19.149,29.821,9.557,11.297,22.134,24.165,26.501,30.23,-78.606,44.119,17.138,12.426,-4.119,-9.614,-22.784,-35.043,-20.949,-22.212,-23.396,-22.335,-1.254,-41.312,-43.975,-26.066,-24.51,-21.746,-15.744,-9.781,-18.883,-25.148
HU,Bács-Kiskun,parks,22.668,3.834,20.45,4.96,5.451,-7.165,10.841,21.049,6.391,7.669,6.2,19.38,2.205,8.956,23.748,19.172,21.728,17.981,36.943,11.574,21.682,27.526,6.391,16.616,24.802,27.859,26.455,-3.771,-21.589,-29.397,-26.84,-31.622,-10.296,12.125,7.541,10.794,-15.337,-12.781,-3.72,4.845,7.716,8.956,28.605
HU,Bács-Kiskun,residential,-1.684,0.565,-0.726,1.533,0.133,0.946,-0.041,-0.875,0.468,-0.027,0.675,-0.835,0.578,-1.188,-2.761,-0.538,-0.791,-0.388,-0.962,1.255,1.374,3.291,7.639,9.854,11.699,12.73,14.867,10.556,9.441,19.091,19.31,20.035,18.196,16.201,12.497,9.043,19.24,17.761,17.858,17.657,17.908,10.336,7.363
