state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Hawaii,Hawaii County,2020-02-23,-3.847,13.374,-0.605,1.708,5.807,-0.223
Hawaii,Hawaii County,2020-02-24,-0.933,11.238,0.233,0.66,2.629,0.787
Hawaii,Hawaii County,2020-02-25,-3.241,15.532,0.31,0.732,4.326,-0.758
Hawaii,Hawaii County,2020-02-26,1.095,5.603,0.121,2.042,3.265,0.095
Hawaii,Hawaii County,2020-02-27,1.027,17.481,-0.918,2.942,4.852,0.567
Hawaii,Hawaii County,2020-02-28,-1.754,0.209,0.241,4.34,2.126,1.382
Hawaii,Hawaii County,2020-02-29,,3.085,0.537,2.286,6.224,1.13
Hawaii,Hawaii County,2020-03-01,-8.122,-8.1,0.906,1.423,1.089,-0.89
Hawaii,Hawaii County,2020-03-02,-2.332,6.7,0.155,2.507,4.929,2.066
Hawaii,Hawaii County,2020-03-03,-3.536,-15.118,2.319,0.129,-4.659,-0.189
Hawaii,Hawaii County,2020-03-04,1.643,-0.207,0.695,-0.425,-4.245,-0.095
Hawaii,Hawaii County,2020-03-05,7.336,11.973,-1.094,2.473,-1.941,1.229
Hawaii,Hawaii County,2020-03-06,5.667,-6.484,0.624,1.76,,1.481
Hawaii,Hawaii County,2020-03-07,2.508,-6.352,0.623,,-6.224,-0.565
Hawaii,Hawaii County,2020-03-08,-3.99,-6.593,0.054,-2.277,-5.807,1.335
Hawaii,Hawaii County,2020-03-09,1.71,-7.132,0.846,-2.024,-0.329,0.393
Hawaii,Hawaii County,2020-03-10,-1.768,1.864,1.119,-3.1,-0.333,0.095
Hawaii,Hawaii County,2020-03-11,2.19,1.453,0.571,-1.361,-1.959,0.095
Hawaii,Hawaii County,2020-03-12,3.521,12.452,0.672,-0.384,-6.47,-2.741
Hawaii,Hawaii County,2020-03-13,7.961,-7.112,1.941,-1.72,-0.607,-2.666
Hawaii,Hawaii County,2020-03-14,-0.396,-16.151,3.651,-8.383,1.31,-5.086
Hawaii,Hawaii County,2020-03-15,-6.27,-5.274,1.962,-5.929,-7.985,-4.452
Hawaii,Hawaii County,2020-03-16,6.219,-9.725,4.657,-4.663,1.314,-17.902
Hawaii,Hawaii County,2020-03-17,-0.737,-24.023,7.723,-12.962,-10.65,-21.496
Hawaii,Hawaii County,2020-03-18,-5.338,-23.448,9.072,-19.949,-19.919,-24.404
Hawaii,Hawaii County,2020-03-19,-5.282,-13.889,9.661,-24.901,-27.821,-28.736
Hawaii,Hawaii County,2020-03-20,-2.699,-28.238,12.307,-29.092,-36.747,-28.14
Hawaii,Hawaii County,2020-03-21,-20.596,-56.076,11.286,-41.394,-47.17,-22.604
Hawaii,Hawaii County,2020-03-22,-27.645,-59.901,9.418,-44.684,-51.902,-25.151
Hawaii,Hawaii County,2020-03-23,-14.303,-68.724,13.458,-39.678,-50.605,-34.132
Hawaii,Hawaii County,2020-03-24,-10.608,-60.678,13.387,-37.593,-55.245,-35.701
Hawaii,Hawaii County,2020-03-25,-35.863,-81.549,18.946,-55.677,-64.329,-43.965
Hawaii,Hawaii County,2020-03-26,-38.439,-78.544,20.446,-58.159,-76.346,-51.611
Hawaii,Hawaii County,2020-03-27,-34.138,-78.439,20.677,-55.642,-76.834,-44.135
Hawaii,Hawaii County,2020-03-28,-40.135,-74.042,16.923,-61.85,-84.185,-40.31
Hawaii,Hawaii County,2020-03-29,-48.877,-80.244,15.298,-63.325,-87.471,-42.512
Hawaii,Hawaii County,2020-03-30,-28.762,-78.449,17.488,-51.643,-77.221,-45.05
Hawaii,Hawaii County,2020-03-31,-36.097,-80.972,19.029,-53.741,-75.546,-46.307
Hawaii,Hawaii County,2020-04-01,-34.905,-72.211,18.162,-51.339,-81.309,-45.579
Hawaii,Hawaii County,2020-04-02,-32.424,-68.487,17.745,-54.62,-84.433,-47.263
Hawaii,Hawaii County,2020-04-03,-21.049,-73.0,19.03,-50.05,-82.301,-44.431
Hawaii,Hawaii County,2020-04-04,-35.778,-76.22,16.723,-59.123,-90.736,-41.817
Hawaii,Hawaii County,2020-04-05,-34.342,-82.316,14.141,-60.005,-91.463,-44.293
Hawaii,Honolulu County,2020-02-23,0.774,20.387,-0.098,1.745,2.008,2.144
Hawaii,Honolulu County,2020-02-24,0.668,4.617,-0.746,-0.023,4.234,2.12
Hawaii,Honolulu County,2020-02-25,-0.298,2.861,0.733,1.526,-0.753,-0.083
Hawaii,Honolulu County,2020-02-26,2.909,7.761,-0.089,0.965,-2.186,0.484
Hawaii,Honolulu County,2020-02-27,3.826,0.141,0.118,3.218,-2.342,0.557
Hawaii,Honolulu County,2020-02-28,2.74,-5.219,-0.472,1.809,-2.002,2.296
Hawaii,Honolulu County,2020-02-29,2.841,-0.21,-0.49,0.658,-3.596,1.227
Hawaii,Honolulu County,2020-03-01,5.353,-2.409,0.764,1.535,-2.303,2.858
Hawaii,Honolulu County,2020-03-02,3.139,-11.787,-0.161,-0.48,-4.523,2.264
Hawaii,Honolulu County,2020-03-03,7.09,0.582,0.345,1.79,-4.898,1.289
Hawaii,Honolulu County,2020-03-04,2.413,6.689,0.14,-1.673,-8.045,0.802
Hawaii,Honolulu County,2020-03-05,5.511,-6.988,0.598,0.301,-6.246,1.114
Hawaii,Honolulu County,2020-03-06,-0.422,-15.614,0.212,-2.545,-4.806,2.603
Hawaii,Honolulu County,2020-03-07,3.746,4.358,-0.419,-0.761,-5.764,2.999
Hawaii,Honolulu County,2020-03-08,3.266,8.208,0.478,-1.296,-5.964,1.681
Hawaii,Honolulu County,2020-03-09,2.505,-9.282,0.379,-2.956,-6.255,1.39
Hawaii,Honolulu County,2020-03-10,-0.464,-0.63,1.298,-2.175,-8.053,-0.083
Hawaii,Honolulu County,2020-03-11,1.455,3.37,1.004,-2.63,-7.999,-0.553
Hawaii,Honolulu County,2020-03-12,5.22,-19.276,2.575,-2.498,-12.217,-1.1
Hawaii,Honolulu County,2020-03-13,11.022,-11.961,2.087,-4.025,-11.48,-0.117
