state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Illinois,Overall,2020-02-23,9.057,103.746,-1.764,10.558,7.218,4.088
Illinois,Overall,2020-02-24,5.83,-1.874,0.016,0.818,-0.49,2.253
Illinois,Overall,2020-02-25,-1.251,-3.26,1.037,-0.61,-2.69,0.984
Illinois,Overall,2020-02-26,-0.731,-3.32,1.437,0.054,-0.901,-1.224
Illinois,Overall,2020-02-27,4.346,3.688,-0.402,5.526,2.423,2.499
Illinois,Overall,2020-02-28,3.548,4.731,-0.948,6.365,6.842,0.265
Illinois,Overall,2020-02-29,11.27,25.984,-3.041,14.176,10.357,5.782
Illinois,Overall,2020-03-01,14.52,118.31,-2.724,16.853,11.76,4.358
Illinois,Overall,2020-03-02,7.712,20.346,-0.014,7.755,0.022,-0.889
Illinois,Overall,2020-03-03,9.531,20.629,-0.915,10.096,2.019,1.957
Illinois,Overall,2020-03-04,9.63,27.625,-0.808,8.955,3.661,1.832
Illinois,Overall,2020-03-05,8.489,20.901,-0.691,6.79,1.933,2.795
Illinois,Overall,2020-03-06,4.566,16.908,-0.957,5.531,3.769,1.84
Illinois,Overall,2020-03-07,14.23,75.202,-2.952,14.46,13.319,6.755
Illinois,Overall,2020-03-08,14.252,164.969,-2.315,14.686,10.263,2.905
Illinois,Overall,2020-03-09,2.745,-5.161,1.103,-0.556,-5.15,-0.363
Illinois,Overall,2020-03-10,10.092,20.282,0.077,6.885,-1.975,-0.082
Illinois,Overall,2020-03-11,12.746,14.811,0.399,5.889,-1.589,-0.525
Illinois,Overall,2020-03-12,32.171,18.596,0.792,6.558,-5.117,-0.778
Illinois,Overall,2020-03-13,42.809,18.949,0.808,4.901,-5.963,-3.631
Illinois,Overall,2020-03-14,30.818,-12.618,2.773,-7.111,-7.661,0.455
Illinois,Overall,2020-03-15,24.719,24.718,3.264,-8.45,-12.834,-5.247
Illinois,Overall,2020-03-16,30.504,-18.77,7.866,-10.292,-26.996,-19.198
Illinois,Overall,2020-03-17,17.25,44.224,11.545,-23.001,-30.525,-30.948
Illinois,Overall,2020-03-18,8.16,-33.928,15.645,-33.56,-39.037,-34.875
Illinois,Overall,2020-03-19,16.153,-31.095,16.875,-34.141,-42.888,-36.721
Illinois,Overall,2020-03-20,25.856,-27.763,16.962,-32.893,-40.911,-37.926
Illinois,Overall,2020-03-21,3.217,-21.569,12.566,-46.103,-39.463,-25.049
Illinois,Overall,2020-03-22,-34.496,-38.683,13.758,-62.931,-54.13,-37.902
Illinois,Overall,2020-03-23,-21.228,-29.364,21.047,-50.453,-55.36,-49.593
Illinois,Overall,2020-03-24,-16.732,-11.223,21.713,-46.609,-52.799,-50.499
Illinois,Overall,2020-03-25,-12.772,29.519,20.996,-43.399,-49.718,-50.517
Illinois,Overall,2020-03-26,-15.011,-28.227,22.502,-47.191,-54.728,-50.512
Illinois,Overall,2020-03-27,-14.229,-27.475,23.121,-47.741,-53.167,-49.945
Illinois,Overall,2020-03-28,-16.634,-34.597,15.275,-52.824,-50.238,-34.963
Illinois,Overall,2020-03-29,-23.81,-28.584,13.155,-53.274,-54.804,-39.196
Illinois,Overall,2020-03-30,-15.162,-5.351,19.875,-42.568,-54.157,-50.425
Illinois,Overall,2020-03-31,-15.438,-30.142,21.685,-44.009,-53.783,-51.685
Illinois,Overall,2020-04-01,-7.084,4.384,21.169,-40.552,-49.909,-51.816
Illinois,Overall,2020-04-02,-7.664,14.574,21.744,-42.364,-51.921,-51.602
Illinois,Overall,2020-04-03,-7.371,13.305,22.127,-42.899,-48.85,-51.102
Illinois,Overall,2020-04-04,-9.797,-23.161,15.042,-50.687,-48.681,-35.965
Illinois,Overall,2020-04-05,-16.487,24.446,12.097,-50.018,-52.286,-39.465
