state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Indiana,Cass County,2020-02-23,4.085,83.494,-1.456,12.612,7.513,5.682
Indiana,Cass County,2020-02-24,-5.454,-8.265,1.043,3.673,0.633,2.885
Indiana,Cass County,2020-02-25,4.655,-4.194,0.191,6.574,2.67,0.556
Indiana,Cass County,2020-02-26,-11.824,-7.414,1.843,-3.295,1.771,-3.889
Indiana,Cass County,2020-02-27,-1.079,0.145,0.953,12.605,5.83,-2.271
Indiana,Cass County,2020-02-28,-1.796,7.645,-0.793,8.587,8.586,5.687
Indiana,Cass County,2020-02-29,14.401,27.228,-2.719,18.553,15.57,-9.594
Indiana,Cass County,2020-03-01,13.276,88.159,-2.276,22.188,14.171,5.682
Indiana,Cass County,2020-03-02,4.908,6.525,0.177,18.892,4.844,4.328
Indiana,Cass County,2020-03-03,19.204,34.849,-1.442,20.985,8.89,1.389
Indiana,Cass County,2020-03-04,14.077,41.914,-1.032,23.571,7.727,3.056
Indiana,Cass County,2020-03-05,10.255,42.797,-1.056,17.361,7.843,4.825
Indiana,Cass County,2020-03-06,-3.143,9.877,-0.252,4.107,7.683,3.293
Indiana,Cass County,2020-03-07,14.881,85.572,-3.031,23.771,19.103,11.65
Indiana,Cass County,2020-03-08,14.297,160.903,-2.273,22.188,16.806,7.576
Indiana,Cass County,2020-03-09,6.545,24.506,0.374,12.07,5.202,2.885
Indiana,Cass County,2020-03-10,8.147,14.565,0.308,9.102,5.229,0.278
Indiana,Cass County,2020-03-11,11.824,22.389,0.216,10.391,6.117,-0.278
Indiana,Cass County,2020-03-12,26.446,31.825,0.577,15.221,4.627,2.554
Indiana,Cass County,2020-03-13,30.981,37.006,1.18,13.441,4.595,3.891
Indiana,Cass County,2020-03-14,30.722,0.738,3.02,8.31,1.112,-9.594
Indiana,Cass County,2020-03-15,19.914,36.643,2.482,,0.142,
Indiana,Cass County,2020-03-16,38.176,4.278,6.217,-3.411,-3.0,-7.791
Indiana,Cass County,2020-03-17,29.679,52.388,8.285,-16.181,-2.642,-13.611
Indiana,Cass County,2020-03-18,19.707,-10.497,11.635,-21.29,-8.88,-19.722
Indiana,Cass County,2020-03-19,34.542,-4.214,12.8,-15.696,-12.705,-17.314
Indiana,Cass County,2020-03-20,24.695,18.604,13.963,-22.215,-14.637,-21.552
Indiana,Cass County,2020-03-21,9.601,9.791,9.855,-29.955,-13.411,-8.909
Indiana,Cass County,2020-03-22,-11.234,-4.935,9.413,-36.435,-26.491,-28.409
Indiana,Cass County,2020-03-23,15.271,6.163,14.397,-24.927,-20.834,-28.278
Indiana,Cass County,2020-03-24,18.04,11.057,16.08,-23.766,-19.293,-31.667
Indiana,Cass County,2020-03-25,-13.514,60.78,19.015,-40.805,-23.046,-34.722
Indiana,Cass County,2020-03-26,-17.811,37.565,19.836,-35.911,-26.848,-34.06
Indiana,Cass County,2020-03-27,-10.327,13.869,21.714,-37.149,-32.162,-33.525
Indiana,Cass County,2020-03-28,-3.84,28.703,13.358,-34.98,-30.649,-30.839
Indiana,Cass County,2020-03-29,-17.872,24.068,10.955,-39.938,-33.79,-35.038
Indiana,Cass County,2020-03-30,-7.09,24.868,18.119,-31.224,-27.247,-32.895
Indiana,Cass County,2020-03-31,5.237,-0.153,19.284,-31.604,-24.797,-35.833
Indiana,Cass County,2020-04-01,-1.126,24.15,19.325,-21.796,-23.958,-34.722
Indiana,Cass County,2020-04-02,5.397,80.144,19.111,-21.88,-25.724,-34.06
Indiana,Cass County,2020-04-03,1.796,89.368,19.636,-25.762,-27.366,-35.62
Indiana,Cass County,2020-04-04,9.121,40.841,12.959,-29.955,-30.551,-34.951
Indiana,Cass County,2020-04-05,1.532,54.153,10.222,-31.997,-35.143,-35.985
Indiana,Clark County,2020-02-23,14.094,83.494,-0.982,3.161,6.701,4.612
Indiana,Clark County,2020-02-24,11.773,-8.265,1.781,0.05,4.281,1.103
Indiana,Clark County,2020-02-25,16.697,-4.194,0.505,6.196,,2.343
Indiana,Clark County,2020-02-26,18.021,-7.414,0.08,12.715,-0.423,2.815
Indiana,Clark County,2020-02-27,19.089,0.145,0.283,12.607,-0.413,2.919
Indiana,Clark County,2020-02-28,20.948,7.645,-0.735,9.631,8.538,2.295
Indiana,Clark County,2020-02-29,22.926,27.228,-2.333,17.642,12.35,4.95
Indiana,Clark County,2020-03-01,24.472,88.159,-2.465,17.429,33.504,5.968
Indiana,Clark County,2020-03-02,17.66,6.525,1.149,8.059,8.562,2.375
Indiana,Clark County,2020-03-03,26.202,34.849,-0.762,17.73,1.708,3.514
Indiana,Clark County,2020-03-04,22.623,41.914,-1.001,15.894,-0.423,3.643
Indiana,Clark County,2020-03-05,25.662,42.797,-0.829,14.263,-6.2,3.419
Indiana,Clark County,2020-03-06,18.887,9.877,-0.281,5.149,4.696,3.09
Indiana,Clark County,2020-03-07,26.336,85.572,-2.657,15.285,16.108,8.999
Indiana,Clark County,2020-03-08,24.985,160.903,-1.695,13.004,32.286,8.409
Indiana,Clark County,2020-03-09,25.082,24.506,0.016,7.404,6.659,1.866
Indiana,Clark County,2020-03-10,20.422,14.565,1.188,8.009,1.281,1.339
Indiana,Clark County,2020-03-11,24.668,22.389,-0.431,12.568,3.388,1.739
Indiana,Clark County,2020-03-12,33.247,31.825,2.499,1.656,1.24,0.751
Indiana,Clark County,2020-03-13,45.673,37.006,0.343,5.408,10.246,-0.618
Indiana,Clark County,2020-03-14,23.396,0.738,4.165,-9.797,3.222,1.125
Indiana,Clark County,2020-03-15,23.831,36.643,3.351,-11.153,17.666,-1.899
Indiana,Clark County,2020-03-16,41.462,4.278,6.933,-9.621,9.513,-13.827
Indiana,Clark County,2020-03-17,30.569,52.388,8.904,-19.493,7.684,-19.076
Indiana,Clark County,2020-03-18,26.074,-10.497,11.629,-29.392,6.352,-23.019
Indiana,Clark County,2020-03-19,25.283,-4.214,14.387,-33.081,0.827,-26.104
Indiana,Clark County,2020-03-20,25.183,18.604,14.547,-34.228,-1.708,-29.573
Indiana,Clark County,2020-03-21,10.464,9.791,11.404,-46.326,1.611,-24.523
Indiana,Clark County,2020-03-22,-3.203,-4.935,9.613,-49.397,-7.919,-28.754
Indiana,Clark County,2020-03-23,14.333,6.163,13.898,-29.719,-8.562,-35.203
Indiana,Clark County,2020-03-24,1.927,11.057,18.076,-38.836,-6.831,-39.575
Indiana,Clark County,2020-03-25,-6.263,60.78,18.91,-45.726,-11.433,-43.72
Indiana,Clark County,2020-03-26,-3.413,37.565,19.366,-44.63,-16.948,-44.202
Indiana,Clark County,2020-03-27,-4.464,13.869,20.301,-45.49,-17.077,-45.021
Indiana,Clark County,2020-03-28,-5.173,28.703,11.845,-51.646,-20.941,-36.447
Indiana,Clark County,2020-03-29,-10.634,24.068,10.211,-50.3,-14.62,-37.977
Indiana,Clark County,2020-03-30,-6.526,24.868,17.9,-40.246,-19.977,-45.637
Indiana,Clark County,2020-03-31,-10.918,-0.153,20.322,-46.442,-17.93,-46.77
Indiana,Clark County,2020-04-01,-7.541,24.15,20.011,-46.215,-16.514,-48.192
Indiana,Clark County,2020-04-02,-3.919,80.144,20.409,-42.651,-19.428,-47.621
Indiana,Clark County,2020-04-03,3.091,89.368,20.177,-42.156,-29.03,-47.316
Indiana,Clark County,2020-04-04,-3.527,40.841,12.701,-51.444,-27.384,-39.822
Indiana,Clark County,2020-04-05,-8.2,54.153,10.407,-50.21,-18.884,-40.69
Indiana,Clay County,2020-02-23,-7.022,83.494,-1.456,9.429,22.817,2.706
Indiana,Clay County,2020-02-24,-8.333,-8.265,1.043,5.812,21.034,-0.457
Indiana,Clay County,2020-02-25,-7.219,-4.194,0.191,5.904,9.793,0.89
Indiana,Clay County,2020-02-26,-6.068,-7.414,1.843,6.811,1.694,-2.161
Indiana,Clay County,2020-02-27,,0.145,0.953,12.16,14.881,2.188
Indiana,Clay County,2020-02-28,-4.34,7.645,-0.793,9.03,16.534,0.93
Indiana,Clay County,2020-02-29,7.365,27.228,-2.719,19.371,31.981,
Indiana,Clay County,2020-03-01,23.408,88.159,-2.276,27.838,32.738,2.706
Indiana,Clay County,2020-03-02,-11.458,6.525,0.177,10.73,22.035,3.655
Indiana,Clay County,2020-03-03,9.282,34.849,-1.442,20.243,16.916,2.226
Indiana,Clay County,2020-03-04,7.079,41.914,-1.032,12.019,11.009,0.432
Indiana,Clay County,2020-03-05,2.003,42.797,-1.056,19.455,25.385,2.188
Indiana,Clay County,2020-03-06,-1.736,9.877,-0.252,7.74,19.841,2.325
Indiana,Clay County,2020-03-07,11.574,85.572,-3.031,25.95,16.447,-2.315
Indiana,Clay County,2020-03-08,16.386,160.903,-2.273,25.144,36.706,1.353
Indiana,Clay County,2020-03-09,-7.292,24.506,0.374,10.283,22.035,0.914
Indiana,Clay County,2020-03-10,-2.063,14.565,0.308,8.013,11.574,-1.335
Indiana,Clay County,2020-03-11,2.023,22.389,0.216,12.821,17.785,-2.161
Indiana,Clay County,2020-03-12,9.014,31.825,0.577,18.645,15.756,-0.438
Indiana,Clay County,2020-03-13,6.076,37.006,1.18,12.255,23.148,0.93
Indiana,Clay County,2020-03-14,9.47,0.738,3.02,3.289,7.31,-11.574
Indiana,Clay County,2020-03-15,12.875,36.643,2.482,3.143,12.897,-1.353
Indiana,Clay County,2020-03-16,17.708,4.278,6.217,12.518,14.022,-13.249
Indiana,Clay County,2020-03-17,11.345,52.388,8.285,-7.169,7.123,-19.587
