state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
JP,Aichi,2020-02-23,2.251,-3.357,0.56,-2.005,-5.304,-1.501
JP,Aichi,2020-02-24,2.33,54.972,11.79,17.938,-26.333,-45.586
JP,Aichi,2020-02-25,5.727,-0.834,0.941,-2.354,-4.035,1.046
JP,Aichi,2020-02-26,4.224,5.462,1.004,-1.565,-5.973,1.189
JP,Aichi,2020-02-27,5.84,-1.249,1.565,-2.011,-9.849,0.664
JP,Aichi,2020-02-28,14.129,0.338,2.162,-1.87,-13.942,0.735
JP,Aichi,2020-02-29,9.841,-32.688,5.065,-9.879,-30.48,1.829
JP,Aichi,2020-03-01,10.455,8.091,3.959,-10.289,-30.162,0.796
JP,Aichi,2020-03-02,6.524,8.416,3.136,-7.064,-17.72,-0.743
JP,Aichi,2020-03-03,7.92,19.491,3.42,-2.636,-21.575,-3.092
JP,Aichi,2020-03-04,-1.637,-20.733,5.06,-13.703,-22.026,-2.773
JP,Aichi,2020-03-05,3.333,-8.814,4.405,-8.57,-22.47,-3.132
JP,Aichi,2020-03-06,2.165,5.673,5.092,-11.175,-24.321,-3.196
JP,Aichi,2020-03-07,4.664,9.979,5.435,-12.519,-34.339,-3.387
JP,Aichi,2020-03-08,-10.783,-59.679,7.928,-23.526,-43.681,-8.094
JP,Aichi,2020-03-09,2.591,25.86,3.513,-5.878,-18.457,-2.635
JP,Aichi,2020-03-10,-4.75,-33.294,5.952,-12.884,-23.58,-4.855
JP,Aichi,2020-03-11,3.999,10.097,3.87,-4.661,-20.745,-3.452
JP,Aichi,2020-03-12,5.22,24.159,3.547,-2.871,-20.467,-3.574
JP,Aichi,2020-03-13,3.23,20.158,4.56,-6.814,-22.343,-3.777
JP,Aichi,2020-03-14,-2.057,-40.991,7.094,-12.73,-36.232,-6.75
JP,Aichi,2020-03-15,2.855,13.139,4.157,-10.426,-32.492,-3.407
JP,Aichi,2020-03-16,-0.332,-4.629,4.086,-8.246,-18.541,-2.703
JP,Aichi,2020-03-17,2.525,22.487,3.475,-5.158,-19.709,-2.888
JP,Aichi,2020-03-18,3.769,23.104,3.236,-4.438,-17.015,-2.55
JP,Aichi,2020-03-19,4.166,19.163,2.674,4.296,-14.956,-5.016
JP,Aichi,2020-03-20,2.547,18.2,15.53,1.901,-42.233,-45.117
JP,Aichi,2020-03-21,3.623,31.237,3.797,-9.27,-28.798,-6.502
JP,Aichi,2020-03-22,1.114,22.051,3.357,-11.106,-27.134,-3.799
JP,Aichi,2020-03-23,0.529,19.586,3.293,-4.74,-14.561,-3.673
JP,Aichi,2020-03-24,2.349,11.035,3.863,-3.481,-18.203,-4.259
JP,Aichi,2020-03-25,6.249,31.728,3.128,-0.381,-15.076,-4.386
JP,Aichi,2020-03-26,10.393,40.717,2.924,0.688,-15.643,-4.804
JP,Aichi,2020-03-27,-2.721,-34.204,6.999,-12.529,-22.169,-6.984
JP,Aichi,2020-03-28,3.041,-11.655,6.526,-13.047,-33.182,-5.727
JP,Aichi,2020-03-29,0.594,-11.255,5.895,-15.007,-36.959,-4.974
