state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
KH,Overall,2020-02-23,-0.859,0.649,1.926,-0.396,-19.379,3.787
KH,Overall,2020-02-24,-1.659,-2.88,2.13,-2.543,-21.331,6.091
KH,Overall,2020-02-25,0.427,-2.64,0.765,-1.752,-19.559,5.208
KH,Overall,2020-02-26,-1.462,0.721,1.693,-1.274,-21.307,5.566
KH,Overall,2020-02-27,-1.359,-0.469,1.801,-1.047,-21.554,5.011
KH,Overall,2020-02-28,-1.628,0.091,1.284,-0.228,-21.631,4.847
KH,Overall,2020-02-29,-0.778,-0.923,0.177,0.927,-20.695,5.479
KH,Overall,2020-03-01,1.771,1.107,1.188,1.015,-19.503,4.789
KH,Overall,2020-03-02,1.426,-2.208,1.097,-0.538,-18.781,5.759
KH,Overall,2020-03-03,1.296,-0.849,-0.065,-0.381,-19.818,4.953
KH,Overall,2020-03-04,1.013,2.259,0.992,1.487,-21.307,5.679
KH,Overall,2020-03-05,1.96,1.594,1.058,1.399,-20.05,5.498
KH,Overall,2020-03-06,2.709,-0.227,0.748,-0.416,-20.672,3.011
KH,Overall,2020-03-07,2.226,-2.206,0.446,-1.635,-21.425,2.192
KH,Overall,2020-03-08,0.317,0.916,2.322,-4.424,-23.106,-0.109
KH,Overall,2020-03-09,-1.062,-2.928,6.01,-6.512,-23.01,-19.73
KH,Overall,2020-03-10,1.428,-6.741,0.833,-5.925,-23.315,3.974
KH,Overall,2020-03-11,-0.622,-5.239,2.599,-5.071,-25.895,4.553
KH,Overall,2020-03-12,-2.976,-5.299,2.239,-5.235,-27.506,4.276
KH,Overall,2020-03-13,-3.172,-4.902,2.656,-5.43,-27.503,4.805
KH,Overall,2020-03-14,-3.823,-12.235,3.642,-11.205,-27.329,3.343
KH,Overall,2020-03-15,-5.075,-14.767,4.81,-13.073,-28.013,2.285
KH,Overall,2020-03-16,-3.595,-14.976,5.333,-13.392,-27.426,-2.713
KH,Overall,2020-03-17,-6.125,-18.526,5.887,-19.062,-29.921,-10.609
KH,Overall,2020-03-18,-10.552,-17.593,8.245,-22.808,-34.695,-13.19
KH,Overall,2020-03-19,-14.363,-19.275,9.122,-26.451,-38.972,-13.895
KH,Overall,2020-03-20,-14.332,-21.468,10.0,-28.081,-41.045,-14.75
KH,Overall,2020-03-21,-18.214,-27.197,10.012,-32.705,-44.25,-14.51
KH,Overall,2020-03-22,-22.758,-27.931,10.151,-35.951,-48.944,-9.425
KH,Overall,2020-03-23,-20.636,-26.207,11.342,-34.652,-47.761,-17.744
KH,Overall,2020-03-24,-21.748,-27.813,10.895,-35.576,-50.062,-19.913
KH,Overall,2020-03-25,-21.727,-25.957,12.216,-35.635,-50.911,-20.557
KH,Overall,2020-03-26,-24.148,-27.06,12.739,-37.197,-52.694,-20.574
KH,Overall,2020-03-27,-25.365,-26.96,13.285,-38.33,-53.508,-21.653
KH,Overall,2020-03-28,-26.557,-32.011,12.363,-40.586,-55.267,-19.809
KH,Overall,2020-03-29,-29.128,-31.327,12.001,-42.785,-57.143,-15.041
KH,Overall,2020-03-30,-26.137,-28.751,12.778,-38.613,-55.162,-22.828
KH,Overall,2020-03-31,-23.927,-27.907,10.709,-37.836,-54.272,-24.285
KH,Overall,2020-04-01,-24.145,-25.668,11.548,-36.773,-53.174,-26.594
KH,Overall,2020-04-02,-23.876,-25.981,11.883,-36.837,-55.576,-27.221
KH,Overall,2020-04-03,-22.136,-24.373,11.909,-36.976,-54.766,-27.318
KH,Overall,2020-04-04,-25.699,-27.157,10.494,-40.687,-55.936,-27.868
KH,Overall,2020-04-05,-26.564,-30.259,10.981,-41.247,-57.64,-20.134
