state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
LA,Overall,2020-02-23,3.868,-2.685,1.253,1.605,-11.754,5.962
LA,Overall,2020-02-24,2.765,-0.503,0.809,1.006,-6.24,9.154
LA,Overall,2020-02-25,4.097,2.58,0.588,2.578,-4.531,8.667
LA,Overall,2020-02-26,0.655,1.208,1.123,-0.023,-4.178,7.605
LA,Overall,2020-02-27,3.093,1.962,0.679,0.821,-5.958,10.123
LA,Overall,2020-02-28,5.04,1.741,0.326,3.584,-2.845,14.217
LA,Overall,2020-02-29,4.842,-3.276,0.202,1.2,-7.231,6.57
LA,Overall,2020-03-01,5.494,-5.786,0.887,1.399,-7.11,6.02
LA,Overall,2020-03-02,5.267,-2.29,0.417,1.246,-3.483,11.185
LA,Overall,2020-03-03,4.457,-0.954,0.307,2.053,-3.624,10.211
LA,Overall,2020-03-04,0.524,-2.691,1.389,-1.55,-4.327,6.837
LA,Overall,2020-03-05,3.565,0.763,0.076,-0.548,-5.522,9.623
LA,Overall,2020-03-06,3.318,2.561,1.392,-0.108,-6.368,7.557
LA,Overall,2020-03-07,6.105,-0.231,0.913,0.514,-11.264,5.094
LA,Overall,2020-03-08,6.593,8.008,-0.506,5.663,-10.593,2.163
LA,Overall,2020-03-09,2.546,4.914,5.004,-0.383,-4.208,-41.32
LA,Overall,2020-03-10,6.663,1.178,0.213,0.74,-3.624,12.525
LA,Overall,2020-03-11,1.485,-0.22,1.611,-1.504,-8.356,10.601
LA,Overall,2020-03-12,1.632,-0.545,1.291,-1.917,-9.446,14.645
LA,Overall,2020-03-13,2.058,-1.793,1.505,-1.857,-11.787,21.455
LA,Overall,2020-03-14,1.305,-6.275,2.519,-5.164,-17.939,10.141
LA,Overall,2020-03-15,0.879,-5.37,2.847,-5.755,-17.268,10.346
LA,Overall,2020-03-16,3.512,-3.295,1.558,-3.042,-11.464,13.319
LA,Overall,2020-03-17,3.196,-2.805,1.705,-6.707,-14.649,12.088
LA,Overall,2020-03-18,-1.791,-4.778,3.645,-10.688,-15.966,9.167
LA,Overall,2020-03-19,0.43,-3.27,3.507,-11.409,-12.497,5.863
LA,Overall,2020-03-20,-0.252,-5.634,5.583,-14.011,-9.213,1.506
LA,Overall,2020-03-21,-5.768,-13.242,4.8,-19.369,-17.8,3.761
LA,Overall,2020-03-22,-9.845,-13.285,5.77,-23.914,-26.41,1.637
LA,Overall,2020-03-23,-8.208,-5.808,5.685,-19.594,-21.476,-10.336
LA,Overall,2020-03-24,-6.573,-5.441,6.104,-23.915,-25.069,-11.857
LA,Overall,2020-03-25,-11.358,-7.415,8.539,-30.005,-28.948,-15.774
LA,Overall,2020-03-26,-15.592,-7.576,8.938,-33.885,-33.714,-15.671
LA,Overall,2020-03-27,-19.193,-12.394,12.212,-38.664,-39.427,-12.827
LA,Overall,2020-03-28,-23.326,-19.194,11.024,-43.303,-46.03,-7.999
LA,Overall,2020-03-29,-22.724,-18.007,11.184,-45.053,-46.725,-8.709
LA,Overall,2020-03-30,-25.108,-14.24,12.773,-42.254,-41.646,-26.638
LA,Overall,2020-03-31,-19.134,-8.638,10.234,-40.193,-36.395,-29.757
LA,Overall,2020-04-01,-35.909,-13.182,15.832,-52.839,-58.195,-44.762
LA,Overall,2020-04-02,-38.401,-14.008,17.007,-54.763,-62.342,-45.409
LA,Overall,2020-04-03,-38.345,-16.594,19.596,-56.496,-65.305,-41.26
LA,Overall,2020-04-04,-40.378,-24.501,16.363,-58.858,-67.863,-26.471
LA,Overall,2020-04-05,-41.492,-23.284,15.42,-59.085,-67.04,-18.762
