state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
LK,Overall,2020-02-23,1.448,4.762,1.327,0.789,5.556,2.926
LK,Overall,2020-02-24,1.44,4.358,1.4,-1.298,4.14,6.521
LK,Overall,2020-02-25,7.765,3.674,0.632,3.028,6.419,7.919
LK,Overall,2020-02-26,7.001,5.508,1.256,1.604,5.978,4.688
LK,Overall,2020-02-27,5.251,3.588,1.403,3.202,4.255,7.418
LK,Overall,2020-02-28,9.35,4.803,1.278,5.492,6.518,7.313
LK,Overall,2020-02-29,5.442,5.663,0.471,5.315,6.669,7.889
LK,Overall,2020-03-01,6.702,1.436,1.631,4.376,6.717,5.965
LK,Overall,2020-03-02,3.505,1.944,1.78,-0.028,3.513,7.291
LK,Overall,2020-03-03,3.346,1.345,1.214,0.484,3.76,8.41
LK,Overall,2020-03-04,4.922,2.999,1.535,2.156,5.052,6.487
LK,Overall,2020-03-05,3.847,4.001,1.598,4.084,4.962,6.712
LK,Overall,2020-03-06,9.046,7.668,1.262,5.859,8.985,4.952
LK,Overall,2020-03-07,5.407,12.891,-0.038,5.279,9.049,1.437
LK,Overall,2020-03-08,7.651,24.389,-0.379,9.289,9.294,2.36
LK,Overall,2020-03-09,-9.346,31.509,14.892,-14.427,-16.219,-60.414
LK,Overall,2020-03-10,11.387,3.248,-1.18,2.397,12.341,8.062
LK,Overall,2020-03-11,12.27,6.193,0.235,2.874,8.748,5.644
LK,Overall,2020-03-12,29.834,2.89,1.079,3.319,6.939,7.309
LK,Overall,2020-03-13,17.857,-1.73,5.037,-3.37,2.117,2.268
LK,Overall,2020-03-14,-1.275,-6.054,5.566,-10.124,-4.906,1.846
LK,Overall,2020-03-15,-0.192,-12.673,8.544,-19.892,-12.696,-1.484
LK,Overall,2020-03-16,-17.441,-13.676,24.428,-36.898,-32.954,-53.762
LK,Overall,2020-03-17,-2.341,-16.698,17.789,-33.419,-23.553,-33.639
LK,Overall,2020-03-18,-10.828,-18.382,23.046,-40.872,-31.764,-45.931
LK,Overall,2020-03-19,-14.201,-23.626,25.375,-46.106,-37.499,-48.286
LK,Overall,2020-03-20,0.621,-28.224,27.252,-52.201,-36.106,-52.746
LK,Overall,2020-03-21,-92.569,-56.338,39.76,-89.459,-81.145,-69.776
LK,Overall,2020-03-22,-91.808,-58.73,34.325,-88.434,-80.397,-56.239
LK,Overall,2020-03-23,-66.995,-40.895,42.665,-78.647,-63.981,-74.826
LK,Overall,2020-03-24,-30.69,-35.496,33.58,-64.463,-56.931,-72.581
LK,Overall,2020-03-25,-84.57,-49.215,44.626,-86.501,-78.981,-79.366
LK,Overall,2020-03-26,-56.846,-37.598,37.956,-73.859,-56.968,-71.659
LK,Overall,2020-03-27,-76.454,-47.139,44.886,-82.562,-75.278,-74.487
LK,Overall,2020-03-28,-88.85,-55.842,37.756,-87.753,-80.136,-65.265
LK,Overall,2020-03-29,-86.631,-57.142,31.822,-85.923,-78.489,-50.444
LK,Overall,2020-03-30,-65.731,-38.783,38.385,-75.824,-61.62,-70.496
LK,Overall,2020-03-31,-83.589,-47.044,41.925,-84.754,-77.844,-74.987
LK,Overall,2020-04-01,-68.28,-41.197,39.03,-78.004,-65.133,-71.058
LK,Overall,2020-04-02,-80.2,-48.364,44.648,-84.017,-77.52,-74.633
LK,Overall,2020-04-03,-77.904,-50.54,46.775,-83.85,-76.963,-73.848
LK,Overall,2020-04-04,-85.037,-55.555,36.928,-86.192,-78.873,-61.858
LK,Overall,2020-04-05,-83.824,-54.774,31.321,-84.153,-77.073,-45.54
