state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
LV,Overall,2020-02-23,7.292,9.593,-0.682,7.004,5.281,1.376
LV,Overall,2020-02-24,0.113,8.479,0.538,0.664,3.85,1.943
LV,Overall,2020-02-25,0.315,-0.258,0.373,-1.443,-1.313,2.541
LV,Overall,2020-02-26,2.125,8.861,-0.258,2.783,1.85,2.466
LV,Overall,2020-02-27,-0.416,-6.583,0.621,-1.791,0.148,2.075
LV,Overall,2020-02-28,1.696,0.207,0.344,1.979,-0.346,0.532
LV,Overall,2020-02-29,3.879,15.435,-0.237,1.257,8.126,3.589
LV,Overall,2020-03-01,8.093,37.712,-1.037,3.902,9.395,2.991
LV,Overall,2020-03-02,-0.339,6.359,0.652,-1.577,2.13,2.241
LV,Overall,2020-03-03,1.798,6.976,0.104,-0.577,-0.6,2.409
LV,Overall,2020-03-04,-0.553,-0.506,0.759,-1.46,-0.793,1.484
LV,Overall,2020-03-05,4.34,7.045,0.197,1.515,2.4,2.087
LV,Overall,2020-03-06,7.364,25.885,-0.88,7.01,5.328,1.659
LV,Overall,2020-03-07,11.259,5.738,-0.903,7.995,7.719,3.407
LV,Overall,2020-03-08,31.46,83.364,-3.73,25.495,25.684,7.297
LV,Overall,2020-03-09,2.147,14.09,0.546,1.968,2.953,1.276
LV,Overall,2020-03-10,5.214,8.139,-0.08,3.509,-0.262,1.861
LV,Overall,2020-03-11,2.988,-1.139,0.702,2.053,-0.944,0.335
LV,Overall,2020-03-12,14.269,-7.16,0.573,2.875,-2.695,0.144
LV,Overall,2020-03-13,12.174,-11.7,7.16,-7.764,-17.748,-19.0
LV,Overall,2020-03-14,1.033,-21.738,5.759,-24.569,-21.172,-8.586
LV,Overall,2020-03-15,11.518,56.238,2.184,-16.554,-5.782,-7.835
LV,Overall,2020-03-16,-6.622,-17.706,11.562,-24.186,-27.358,-29.767
LV,Overall,2020-03-17,-5.461,25.58,11.599,-25.45,-33.112,-34.15
LV,Overall,2020-03-18,-12.596,-13.671,14.477,-32.885,-41.908,-37.141
LV,Overall,2020-03-19,-10.543,28.756,13.607,-29.811,-35.775,-38.069
LV,Overall,2020-03-20,-14.19,3.21,15.326,-33.696,-40.444,-38.235
LV,Overall,2020-03-21,-13.219,10.021,7.937,-38.889,-31.78,-18.399
LV,Overall,2020-03-22,-8.645,47.195,4.694,-34.964,-31.188,-19.738
LV,Overall,2020-03-23,-17.335,8.853,15.11,-33.849,-39.691,-39.018
LV,Overall,2020-03-24,-14.676,16.149,15.231,-33.944,-39.487,-40.52
LV,Overall,2020-03-25,-13.282,33.924,14.475,-31.413,-36.169,-40.553
LV,Overall,2020-03-26,-14.225,36.493,14.648,-32.907,-36.07,-40.767
LV,Overall,2020-03-27,-11.376,34.687,14.611,-31.718,-35.635,-40.414
LV,Overall,2020-03-28,-9.741,46.628,4.456,-40.468,-23.429,-22.714
LV,Overall,2020-03-29,-21.71,-18.084,6.972,-49.934,-47.978,-25.48
LV,Overall,2020-03-30,-22.398,-11.097,16.243,-38.509,-45.895,-40.925
LV,Overall,2020-03-31,-18.609,4.909,15.734,-37.742,-45.0,-41.844
LV,Overall,2020-04-01,-22.469,-8.228,16.84,-40.025,-47.495,-42.875
LV,Overall,2020-04-02,-23.628,-21.827,18.287,-41.808,-49.73,-43.658
LV,Overall,2020-04-03,-18.919,-16.256,18.441,-38.176,-48.436,-42.84
LV,Overall,2020-04-04,-15.243,-0.727,8.957,-43.727,-37.378,-25.622
LV,Overall,2020-04-05,-6.353,71.234,3.994,-35.669,-26.185,-24.164
