state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Louisiana,Acadia Parish,2020-02-23,36.093,42.411,-2.311,26.844,12.001,-2.315
Louisiana,Acadia Parish,2020-02-24,10.163,36.915,3.217,8.97,-2.325,-16.138
Louisiana,Acadia Parish,2020-02-25,7.055,45.816,5.328,24.082,,-41.724
Louisiana,Acadia Parish,2020-02-26,13.917,25.341,0.038,30.323,14.281,-12.387
Louisiana,Acadia Parish,2020-02-27,5.69,16.597,0.056,21.875,9.994,-0.287
Louisiana,Acadia Parish,2020-02-28,5.869,22.426,-0.341,10.735,16.407,-0.295
Louisiana,Acadia Parish,2020-02-29,4.735,31.885,-2.145,21.766,13.074,3.215
Louisiana,Acadia Parish,2020-03-01,14.62,31.225,-1.772,23.051,23.041,5.401
Louisiana,Acadia Parish,2020-03-02,13.55,19.89,-1.343,17.65,17.206,2.054
Louisiana,Acadia Parish,2020-03-03,12.45,18.294,-1.679,23.802,17.147,-0.576
Louisiana,Acadia Parish,2020-03-04,4.639,-0.709,0.542,14.039,14.281,-3.378
Louisiana,Acadia Parish,2020-03-05,15.319,14.882,-1.182,17.188,13.453,1.722
Louisiana,Acadia Parish,2020-03-06,7.336,29.901,-1.183,13.915,19.078,1.475
Louisiana,Acadia Parish,2020-03-07,7.102,32.364,-1.553,17.768,27.412,7.716
Louisiana,Acadia Parish,2020-03-08,10.965,62.312,-1.668,23.634,24.482,3.086
Louisiana,Acadia Parish,2020-03-09,5.505,26.548,-0.222,11.863,23.717,3.521
Louisiana,Acadia Parish,2020-03-10,-2.075,19.845,-0.35,8.681,15.003,0.863
Louisiana,Acadia Parish,2020-03-11,10.121,54.316,-1.744,16.004,18.481,-2.534
Louisiana,Acadia Parish,2020-03-12,20.571,35.453,-0.837,17.969,11.916,0.287
Louisiana,Acadia Parish,2020-03-13,28.609,21.707,0.363,11.331,19.46,2.656
Louisiana,Acadia Parish,2020-03-14,23.674,9.315,1.727,8.662,10.965,
Louisiana,Acadia Parish,2020-03-15,12.792,22.578,1.875,13.13,23.522,2.315
Louisiana,Acadia Parish,2020-03-16,25.407,7.754,4.657,13.021,21.856,-10.857
Louisiana,Acadia Parish,2020-03-17,24.07,-2.532,8.597,-8.681,-0.857,-15.826
Louisiana,Acadia Parish,2020-03-18,17.291,11.164,9.18,-6.458,,-19.707
Louisiana,Acadia Parish,2020-03-19,30.2,-1.792,11.21,-11.979,-11.916,-19.8
Louisiana,Acadia Parish,2020-03-20,14.671,-16.101,15.051,-22.662,-22.131,-23.312
Louisiana,Acadia Parish,2020-03-21,3.551,-38.219,11.95,-28.429,-23.195,-18.647
Louisiana,Acadia Parish,2020-03-22,7.767,-20.382,9.748,-17.799,-31.202,-22.377
Louisiana,Acadia Parish,2020-03-23,6.352,-20.902,14.957,-20.544,-25.112,-24.354
Louisiana,Acadia Parish,2020-03-24,-11.62,-18.784,17.783,-28.282,-19.719,-31.077
Louisiana,Acadia Parish,2020-03-25,-5.061,-6.468,16.824,-21.058,-24.362,-32.939
Louisiana,Acadia Parish,2020-03-26,0.875,-14.493,18.011,-23.438,-31.135,-34.148
Louisiana,Acadia Parish,2020-03-27,-8.069,-19.551,20.093,-33.198,-30.907,-35.116
Louisiana,Acadia Parish,2020-03-28,-7.102,-37.687,13.915,-31.095,-39.642,-21.862
Louisiana,Acadia Parish,2020-03-29,-5.026,-18.392,11.217,-25.093,-37.922,-21.605
Louisiana,Acadia Parish,2020-03-30,-5.505,-23.514,17.351,-24.884,-33.482,-33.744
Louisiana,Acadia Parish,2020-03-31,-1.66,-25.154,17.919,-18.201,-32.15,-36.545
Louisiana,Acadia Parish,2020-04-01,9.7,-5.316,16.587,-12.916,-28.982,-36.599
Louisiana,Acadia Parish,2020-04-02,13.13,-20.181,18.883,-25.521,-37.285,-37.592
Louisiana,Acadia Parish,2020-04-03,12.104,-18.976,20.464,-29.222,-33.196,-37.476
Louisiana,Acadia Parish,2020-04-04,8.681,-47.268,15.547,-35.314,-40.908,-25.077
Louisiana,Acadia Parish,2020-04-05,11.879,-19.078,11.565,-28.011,-47.523,-30.864
Louisiana,Allen Parish,2020-02-23,7.508,42.411,-2.311,1.817,32.773,4.96
Louisiana,Allen Parish,2020-02-24,-5.531,36.915,3.217,3.882,13.743,-11.009
Louisiana,Allen Parish,2020-02-25,4.735,45.816,5.328,10.668,23.728,-21.325
Louisiana,Allen Parish,2020-02-26,14.205,25.341,0.038,30.488,18.415,-4.037
Louisiana,Allen Parish,2020-02-27,10.231,16.597,0.056,19.421,12.642,9.167
Louisiana,Allen Parish,2020-02-28,5.171,22.426,-0.341,12.518,9.965,5.833
Louisiana,Allen Parish,2020-02-29,23.496,31.885,-2.145,32.311,12.552,10.723
Louisiana,Allen Parish,2020-03-01,21.584,31.225,-1.772,31.492,14.628,8.267
Louisiana,Allen Parish,2020-03-02,14.749,19.89,-1.343,34.291,8.269,11.856
Louisiana,Allen Parish,2020-03-03,20.833,18.294,-1.679,30.12,5.524,3.281
Louisiana,Allen Parish,2020-03-04,10.417,-0.709,0.542,20.96,4.594,4.845
Louisiana,Allen Parish,2020-03-05,13.021,14.882,-1.182,26.483,8.191,7.5
Louisiana,Allen Parish,2020-03-06,8.865,29.901,-1.183,16.541,8.907,7.5
Louisiana,Allen Parish,2020-03-07,3.916,32.364,-1.553,12.539,13.178,3.064
Louisiana,Allen Parish,2020-03-08,15.953,62.312,-1.668,19.38,16.016,
Louisiana,Allen Parish,2020-03-09,-0.922,26.548,-0.222,20.057,8.231,4.234
Louisiana,Allen Parish,2020-03-10,8.523,19.845,-0.35,20.708,4.979,4.101
Louisiana,Allen Parish,2020-03-11,15.152,54.316,-1.744,39.38,9.738,3.23
Louisiana,Allen Parish,2020-03-12,18.601,35.453,-0.837,24.718,5.498,5.833
Louisiana,Allen Parish,2020-03-13,41.371,21.707,0.363,12.965,0.307,5.833
Louisiana,Allen Parish,2020-03-14,11.748,9.315,1.727,9.645,-0.626,1.532
Louisiana,Allen Parish,2020-03-15,26.276,22.578,1.875,7.267,-0.417,3.307
Louisiana,Allen Parish,2020-03-16,24.889,7.754,4.657,19.41,-6.716,-5.081
Louisiana,Allen Parish,2020-03-17,29.356,-2.532,8.597,2.51,-16.804,-19.685
Louisiana,Allen Parish,2020-03-18,16.098,11.164,9.18,,-17.316,-25.84
Louisiana,Allen Parish,2020-03-19,21.391,-1.792,11.21,-5.297,-24.311,-26.667
Louisiana,Allen Parish,2020-03-20,-2.216,-16.101,15.051,-25.036,-32.761,-34.167
Louisiana,Allen Parish,2020-03-21,-8.615,-38.219,11.95,-27.488,-35.571,-26.042
Louisiana,Allen Parish,2020-03-22,5.631,-20.382,9.748,-35.126,-40.457,-34.722
Louisiana,Allen Parish,2020-03-23,1.844,-20.902,14.957,-14.881,-38.59,-33.875
Louisiana,Allen Parish,2020-03-24,-9.47,-18.784,17.783,-23.218,-36.331,-41.011
Louisiana,Allen Parish,2020-03-25,-11.364,-6.468,16.824,-10.798,-34.906,-39.567
Louisiana,Allen Parish,2020-03-26,-6.51,-14.493,18.011,-14.124,-38.561,-37.5
Louisiana,Allen Parish,2020-03-27,-14.775,-19.551,20.093,-25.483,-44.364,-40.833
Louisiana,Allen Parish,2020-03-28,-14.881,-37.687,13.915,-35.687,-45.955,-33.701
Louisiana,Allen Parish,2020-03-29,-19.707,-18.392,11.217,-35.732,-48.697,-34.722
Louisiana,Allen Parish,2020-03-30,-12.906,-23.514,17.351,-28.468,-44.918,-41.497
Louisiana,Allen Parish,2020-03-31,-5.682,-25.154,17.919,-17.57,-42.516,-44.291
Louisiana,Allen Parish,2020-04-01,11.364,-5.316,16.587,-8.257,-38.322,-41.99
Louisiana,Allen Parish,2020-04-02,-4.65,-20.181,18.883,-18.832,-43.835,-40.833
Louisiana,Allen Parish,2020-04-03,-2.955,-18.976,20.464,-27.718,-48.186,-40.833
Louisiana,Allen Parish,2020-04-04,-10.965,-47.268,15.547,-42.921,-51.626,-30.637
Louisiana,Allen Parish,2020-04-05,-10.323,-19.078,11.565,-36.337,-54.205,-42.989
Louisiana,Ascension Parish,2020-02-23,5.098,42.411,-2.311,11.322,32.773,2.135
Louisiana,Ascension Parish,2020-02-24,-3.073,36.915,3.217,11.189,13.743,-12.723
Louisiana,Ascension Parish,2020-02-25,2.824,45.816,5.328,14.834,23.728,-31.66
