state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
MK,Overall,2020-02-23,4.958,20.96,-0.32,6.223,2.965,3.536
MK,Overall,2020-02-24,4.636,10.142,-1.106,2.674,6.518,20.228
MK,Overall,2020-02-25,7.119,20.495,-0.857,4.339,4.566,3.715
MK,Overall,2020-02-26,9.239,17.292,-1.554,1.357,4.855,3.299
MK,Overall,2020-02-27,3.163,-6.143,0.141,-5.133,-3.166,0.699
MK,Overall,2020-02-28,-2.151,-20.093,1.227,-6.888,-5.562,18.303
MK,Overall,2020-02-29,9.038,9.874,0.325,2.98,-4.596,4.314
MK,Overall,2020-03-01,12.166,26.926,-1.025,0.242,6.334,8.988
MK,Overall,2020-03-02,9.652,20.716,-1.671,6.529,7.801,21.592
MK,Overall,2020-03-03,7.536,7.472,-0.788,3.207,4.141,4.826
MK,Overall,2020-03-04,3.943,-6.832,-0.303,-1.971,1.942,3.32
MK,Overall,2020-03-05,12.238,16.585,-1.966,8.652,9.39,3.497
MK,Overall,2020-03-06,8.179,0.338,-1.396,8.025,4.768,19.814
MK,Overall,2020-03-07,6.38,-15.428,0.756,2.053,-9.192,2.543
MK,Overall,2020-03-08,21.072,-1.935,-0.088,17.021,3.638,7.441
MK,Overall,2020-03-09,3.458,-0.863,-0.99,1.434,2.03,20.303
MK,Overall,2020-03-10,14.504,-0.213,0.055,-1.377,-1.274,1.986
MK,Overall,2020-03-11,10.244,12.382,3.162,-6.618,-10.574,-17.049
MK,Overall,2020-03-12,12.012,21.499,4.543,-14.964,-14.631,-21.047
MK,Overall,2020-03-13,7.58,7.767,7.098,-24.91,-23.541,-10.876
MK,Overall,2020-03-14,6.77,-2.006,6.018,-35.676,-29.983,-12.169
MK,Overall,2020-03-15,1.653,-50.627,11.875,-62.85,-47.704,-30.354
MK,Overall,2020-03-16,1.596,-10.358,11.933,-44.212,-34.408,-22.558
MK,Overall,2020-03-17,-7.119,-3.629,13.392,-49.553,-39.604,-37.688
MK,Overall,2020-03-18,-2.204,-10.247,14.303,-52.033,-42.942,-41.038
MK,Overall,2020-03-19,-18.15,-12.49,15.839,-56.538,-48.37,-44.043
MK,Overall,2020-03-20,-22.634,-22.963,18.297,-59.099,-53.142,-35.599
MK,Overall,2020-03-21,-24.526,-23.296,12.953,-63.605,-55.698,-36.281
MK,Overall,2020-03-22,-29.335,-44.661,14.729,-71.845,-64.279,-42.953
MK,Overall,2020-03-23,-30.626,-52.652,21.636,-65.62,-64.435,-43.407
MK,Overall,2020-03-24,-30.863,-47.607,22.895,-66.134,-64.556,-53.532
MK,Overall,2020-03-25,-28.53,-45.9,22.118,-66.18,-64.52,-53.66
MK,Overall,2020-03-26,-31.819,-47.503,22.808,-67.222,-64.857,-54.577
MK,Overall,2020-03-27,-29.755,-51.498,24.588,-65.903,-64.167,-45.418
MK,Overall,2020-03-28,-42.956,-60.939,20.855,-74.879,-72.659,-50.085
MK,Overall,2020-03-29,-41.317,-43.694,17.687,-74.308,-69.535,-51.131
MK,Overall,2020-03-30,-21.583,-17.695,18.328,-56.32,-54.924,-43.233
MK,Overall,2020-03-31,-24.804,-30.742,20.234,-60.192,-59.884,-52.123
MK,Overall,2020-04-01,-32.473,-48.461,22.118,-67.277,-66.786,-55.362
MK,Overall,2020-04-02,-22.141,-32.146,21.552,-60.456,-60.053,-54.81
MK,Overall,2020-04-03,-19.496,-36.47,22.313,-59.466,-60.492,-44.461
MK,Overall,2020-04-04,-42.602,-63.87,21.183,-73.968,-73.753,-51.992
MK,Overall,2020-04-05,-41.271,-65.299,19.135,-77.958,-75.33,-53.636
