state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
MM,Overall,2020-02-23,0.478,-2.261,1.893,-2.198,-0.933,4.523
MM,Overall,2020-02-24,-0.215,-1.562,1.708,-1.272,0.382,5.874
MM,Overall,2020-02-25,1.667,-0.708,1.72,-0.014,-0.752,5.332
MM,Overall,2020-02-26,-0.883,-1.065,1.814,-2.987,-2.726,5.287
MM,Overall,2020-02-27,-0.53,-2.821,2.198,-0.476,-1.822,5.922
MM,Overall,2020-02-28,4.25,-2.84,1.207,2.728,2.07,9.527
MM,Overall,2020-02-29,5.729,-0.403,0.314,5.412,4.578,7.464
MM,Overall,2020-03-01,3.251,4.324,0.688,5.099,2.223,3.137
MM,Overall,2020-03-02,5.832,6.319,7.38,6.107,-0.664,-39.771
MM,Overall,2020-03-03,8.054,2.562,0.252,3.592,3.996,6.507
MM,Overall,2020-03-04,6.304,2.03,0.993,2.641,1.986,6.52
MM,Overall,2020-03-05,6.459,1.556,1.231,4.246,3.761,7.085
MM,Overall,2020-03-06,7.222,0.185,0.88,4.505,5.902,8.967
MM,Overall,2020-03-07,5.542,2.937,0.693,4.542,3.751,6.9
MM,Overall,2020-03-08,-3.028,10.852,1.141,4.339,0.02,-4.888
MM,Overall,2020-03-09,8.712,7.673,7.305,5.383,-0.06,-35.43
MM,Overall,2020-03-10,7.58,5.192,0.801,3.947,3.738,5.099
MM,Overall,2020-03-11,6.98,4.327,1.521,3.107,1.811,4.505
MM,Overall,2020-03-12,6.647,1.945,2.379,2.859,1.724,4.104
MM,Overall,2020-03-13,8.616,-1.019,3.14,0.02,0.671,5.686
MM,Overall,2020-03-14,0.576,-4.204,3.197,-4.228,-2.635,8.651
MM,Overall,2020-03-15,-0.271,-2.826,3.218,-5.57,-3.513,7.766
MM,Overall,2020-03-16,2.111,1.076,2.761,-0.453,2.031,0.657
MM,Overall,2020-03-17,4.246,0.843,2.995,-1.412,-1.701,1.93
MM,Overall,2020-03-18,4.503,1.165,2.766,-1.299,-2.707,2.563
MM,Overall,2020-03-19,2.255,-0.519,3.887,-3.608,-3.78,2.69
MM,Overall,2020-03-20,1.81,-3.674,4.059,-5.182,-3.507,4.801
MM,Overall,2020-03-21,-2.288,-6.566,4.367,-8.476,-7.31,7.096
MM,Overall,2020-03-22,-4.622,-6.528,4.737,-12.043,-10.102,5.695
MM,Overall,2020-03-23,-2.665,0.139,3.929,-6.245,-5.691,-0.819
MM,Overall,2020-03-24,14.196,-1.854,4.0,-7.915,-2.492,-5.381
MM,Overall,2020-03-25,-4.018,-3.828,7.074,-19.248,-12.189,-10.654
MM,Overall,2020-03-26,-9.602,-4.799,7.931,-22.344,-16.492,-12.563
MM,Overall,2020-03-27,-20.553,-12.998,16.934,-35.569,-29.74,-42.874
MM,Overall,2020-03-28,-22.961,-16.529,12.087,-40.493,-30.874,-13.017
MM,Overall,2020-03-29,-29.247,-19.189,12.24,-46.153,-35.108,-10.203
MM,Overall,2020-03-30,-20.411,-10.554,11.444,-39.184,-30.064,-21.159
MM,Overall,2020-03-31,-19.214,-10.653,11.232,-38.671,-30.382,-24.378
MM,Overall,2020-04-01,-23.156,-11.717,12.66,-43.792,-35.108,-28.658
MM,Overall,2020-04-02,-25.048,-13.359,14.334,-44.296,-36.137,-29.392
MM,Overall,2020-04-03,-26.911,-14.603,14.751,-46.657,-38.67,-28.48
MM,Overall,2020-04-04,-28.861,-19.409,13.631,-48.969,-40.185,-21.783
MM,Overall,2020-04-05,-28.673,-19.669,13.28,-51.001,-41.082,-18.868
