state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
MX,Overall,2020-02-23,1.41,8.33,-0.581,2.052,7.049,1.529
MX,Overall,2020-02-24,-0.139,6.108,-1.428,-1.72,3.509,8.364
MX,Overall,2020-02-25,-1.955,7.153,-1.215,-1.509,1.846,5.925
MX,Overall,2020-02-26,-1.319,2.599,-0.744,-3.009,1.228,6.399
MX,Overall,2020-02-27,1.301,-0.398,-0.971,0.736,2.356,6.96
MX,Overall,2020-02-28,5.849,2.604,-2.076,3.42,5.723,11.867
MX,Overall,2020-02-29,8.38,5.384,-1.081,5.508,4.768,5.579
MX,Overall,2020-03-01,8.68,6.519,-1.009,6.178,7.001,3.217
MX,Overall,2020-03-02,5.964,1.789,-1.666,1.272,4.497,10.418
MX,Overall,2020-03-03,2.559,1.906,-1.542,0.973,2.336,8.767
MX,Overall,2020-03-04,4.309,2.239,-1.277,1.015,2.549,8.533
MX,Overall,2020-03-05,3.215,2.54,-1.388,1.944,2.903,8.445
MX,Overall,2020-03-06,0.396,-0.093,-1.465,-1.316,3.337,12.062
MX,Overall,2020-03-07,1.917,3.776,-0.357,0.669,1.621,5.712
MX,Overall,2020-03-08,3.138,9.788,-0.376,3.374,3.533,3.474
MX,Overall,2020-03-09,-5.842,-7.944,6.54,-10.813,-17.228,-15.582
MX,Overall,2020-03-10,0.178,1.854,-1.517,-1.533,3.146,8.693
MX,Overall,2020-03-11,1.957,2.136,-1.271,-0.562,1.826,8.345
MX,Overall,2020-03-12,3.769,3.248,-1.724,1.37,2.84,7.762
MX,Overall,2020-03-13,6.344,2.509,-0.911,2.296,4.953,5.199
MX,Overall,2020-03-14,10.101,6.123,-1.449,2.321,3.702,3.304
MX,Overall,2020-03-15,7.062,6.437,-1.264,0.326,-3.857,1.037
MX,Overall,2020-03-16,5.406,-7.032,12.826,-10.834,-30.475,-54.526
MX,Overall,2020-03-17,5.036,-8.111,1.909,-6.941,-8.619,-2.957
MX,Overall,2020-03-18,2.573,-14.01,5.73,-12.711,-16.959,-9.939
MX,Overall,2020-03-19,0.557,-16.415,6.952,-16.593,-21.701,-13.871
MX,Overall,2020-03-20,-3.32,-22.384,9.437,-23.298,-26.076,-14.408
MX,Overall,2020-03-21,-6.659,-31.609,8.937,-30.667,-28.712,-7.381
MX,Overall,2020-03-22,-13.34,-37.234,8.018,-36.969,-33.108,-10.385
MX,Overall,2020-03-23,-13.589,-30.2,12.405,-31.096,-36.811,-28.941
MX,Overall,2020-03-24,-15.758,-32.98,14.266,-34.652,-41.043,-34.126
MX,Overall,2020-03-25,-16.493,-35.561,15.675,-36.757,-43.724,-36.252
MX,Overall,2020-03-26,-17.049,-36.005,16.207,-37.2,-45.856,-37.128
MX,Overall,2020-03-27,-16.587,-37.09,17.442,-39.077,-47.012,-33.947
MX,Overall,2020-03-28,-13.905,-39.148,12.509,-39.751,-42.757,-17.57
MX,Overall,2020-03-29,-19.372,-46.372,11.096,-45.526,-46.584,-19.546
MX,Overall,2020-03-30,-15.41,-35.746,15.368,-35.025,-46.815,-37.949
MX,Overall,2020-03-31,-15.297,-36.684,16.201,-35.258,-48.211,-41.102
MX,Overall,2020-04-01,-12.594,-38.69,17.719,-37.527,-50.486,-43.742
MX,Overall,2020-04-02,-11.998,-41.019,19.138,-46.568,-52.11,-45.832
MX,Overall,2020-04-03,-10.957,-42.714,20.984,-55.784,-52.188,-42.834
MX,Overall,2020-04-04,-10.842,-46.116,15.553,-57.066,-48.249,-27.092
MX,Overall,2020-04-05,-18.724,-51.718,12.796,-62.158,-51.509,-27.133
