state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
MZ,Overall,2020-02-23,-10.605,-17.659,2.554,-14.809,-16.716,-5.497
MZ,Overall,2020-02-24,-2.148,0.637,-3.354,-3.489,-2.432,20.332
MZ,Overall,2020-02-25,0.673,2.012,-2.626,-2.75,-2.749,17.374
MZ,Overall,2020-02-26,0.31,1.23,-3.542,-1.374,2.453,16.985
MZ,Overall,2020-02-27,0.061,4.065,-3.578,0.716,1.751,15.971
MZ,Overall,2020-02-28,0.685,,-3.097,-2.942,2.03,17.887
MZ,Overall,2020-02-29,12.151,-2.658,-1.348,4.636,2.409,2.005
MZ,Overall,2020-03-01,5.921,-5.331,0.01,1.38,-2.87,-1.178
MZ,Overall,2020-03-02,4.043,4.457,-5.019,2.475,4.72,24.431
MZ,Overall,2020-03-03,0.612,3.869,-3.385,-1.719,2.026,21.396
MZ,Overall,2020-03-04,2.235,2.153,-3.777,-0.076,3.174,20.466
MZ,Overall,2020-03-05,1.58,3.463,-4.27,0.754,5.692,19.639
MZ,Overall,2020-03-06,2.799,2.092,-4.164,0.836,4.465,22.45
MZ,Overall,2020-03-07,8.122,-2.215,-2.152,6.879,3.011,5.702
MZ,Overall,2020-03-08,0.972,-6.497,0.854,-0.138,-2.702,1.178
MZ,Overall,2020-03-09,-0.695,4.457,-4.305,-0.649,0.572,25.898
MZ,Overall,2020-03-10,-2.752,,-3.354,-4.317,2.749,22.361
MZ,Overall,2020-03-11,-4.159,1.538,-3.495,-4.235,1.443,21.264
MZ,Overall,2020-03-12,-4.557,0.452,-3.352,-3.278,-1.606,19.038
MZ,Overall,2020-03-13,-4.798,-6.136,-3.442,-5.048,-3.112,20.784
MZ,Overall,2020-03-14,0.806,-5.169,-2.155,1.009,-2.108,4.261
MZ,Overall,2020-03-15,-4.33,-9.996,0.739,-6.255,-11.144,-2.65
MZ,Overall,2020-03-16,-3.79,-6.845,-4.149,-7.302,-6.58,23.798
MZ,Overall,2020-03-17,-3.425,-2.321,-2.811,-9.436,-6.366,19.851
MZ,Overall,2020-03-18,-0.745,-2.768,-3.188,-8.471,-3.03,19.252
MZ,Overall,2020-03-19,-3.038,-4.818,-2.668,-5.728,-4.962,17.236
MZ,Overall,2020-03-20,4.227,-5.02,-2.881,-7.188,-2.841,20.451
MZ,Overall,2020-03-21,9.796,-10.633,0.968,-3.028,-7.528,2.444
MZ,Overall,2020-03-22,-1.326,-17.826,4.929,-16.511,-15.027,-0.687
MZ,Overall,2020-03-23,-0.884,-14.804,3.422,-10.548,-13.731,7.933
MZ,Overall,2020-03-24,-6.483,-15.94,6.043,-15.242,-15.337,0.708
MZ,Overall,2020-03-25,-5.152,-14.919,6.3,-16.484,-15.004,-1.98
MZ,Overall,2020-03-26,-8.688,-17.315,8.561,-17.787,-17.369,-5.629
MZ,Overall,2020-03-27,-9.424,-19.523,9.315,-22.9,-20.431,-4.13
MZ,Overall,2020-03-28,-3.596,-23.481,7.977,-17.012,-18.67,-1.629
MZ,Overall,2020-03-29,-12.549,-22.324,9.686,-26.491,-28.872,1.374
MZ,Overall,2020-03-30,-6.633,-16.555,7.427,-16.025,-20.597,-3.533
MZ,Overall,2020-03-31,-8.441,-17.642,8.897,-17.343,-20.98,-8.655
MZ,Overall,2020-04-01,-16.139,-24.147,10.9,-25.642,-26.402,-12.835
MZ,Overall,2020-04-02,-18.47,-26.349,12.782,-26.416,-29.191,-16.54
MZ,Overall,2020-04-03,-18.963,-26.774,13.232,-30.255,-30.985,-12.89
MZ,Overall,2020-04-04,-15.871,-30.717,12.314,-29.387,-30.715,-6.391
MZ,Overall,2020-04-05,-17.321,-29.321,11.804,-31.781,-34.444,-2.454
