state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Maine,Overall,2020-02-23,10.172,54.636,-2.135,13.805,33.375,6.062
Maine,Overall,2020-02-24,3.827,21.753,-0.263,5.843,8.135,2.87
Maine,Overall,2020-02-25,0.236,11.226,-0.031,4.38,6.418,2.806
Maine,Overall,2020-02-26,8.607,8.133,-0.826,11.993,12.127,2.106
Maine,Overall,2020-02-27,-11.397,-15.902,5.173,-10.028,-9.406,-5.442
Maine,Overall,2020-02-28,0.999,2.378,-0.155,8.365,9.511,2.088
Maine,Overall,2020-02-29,-0.691,0.784,-0.976,10.322,15.244,0.503
Maine,Overall,2020-03-01,11.553,19.036,-2.022,18.839,26.529,6.388
Maine,Overall,2020-03-02,4.999,5.96,-0.115,7.015,9.074,2.811
Maine,Overall,2020-03-03,9.982,54.917,-1.59,20.086,11.874,2.422
Maine,Overall,2020-03-04,2.959,0.28,0.33,7.721,7.774,1.404
Maine,Overall,2020-03-05,6.738,25.915,-0.577,9.259,8.192,3.912
Maine,Overall,2020-03-06,-0.428,5.708,0.387,5.32,5.019,1.666
Maine,Overall,2020-03-07,-0.921,-1.176,-0.092,9.294,9.354,1.107
Maine,Overall,2020-03-08,11.408,57.603,-1.876,18.018,32.091,6.975
Maine,Overall,2020-03-09,6.965,50.062,-0.169,8.46,7.822,1.98
Maine,Overall,2020-03-10,3.844,21.239,0.594,5.364,6.418,1.519
Maine,Overall,2020-03-11,11.263,23.559,-0.021,9.842,5.286,1.063
Maine,Overall,2020-03-12,28.056,17.669,0.087,9.173,3.641,2.653
Maine,Overall,2020-03-13,17.301,-18.788,4.209,-4.142,-9.246,-3.272
Maine,Overall,2020-03-14,19.133,18.222,2.357,-0.605,-5.89,-0.604
Maine,Overall,2020-03-15,26.157,39.308,1.543,0.205,0.428,2.021
Maine,Overall,2020-03-16,24.48,14.006,6.108,-7.08,-11.264,-14.213
Maine,Overall,2020-03-17,7.217,-18.811,11.02,-24.328,-17.971,-23.2
Maine,Overall,2020-03-18,8.54,42.911,11.348,-25.106,-18.346,-28.257
Maine,Overall,2020-03-19,0.235,-8.54,14.444,-35.227,-30.341,-31.199
Maine,Overall,2020-03-20,-3.94,-0.713,16.795,-37.999,-35.665,-34.506
Maine,Overall,2020-03-21,-8.574,36.445,10.295,-41.333,-36.724,-24.1
Maine,Overall,2020-03-22,-7.811,51.917,7.512,-38.277,-34.659,-24.51
Maine,Overall,2020-03-23,-9.171,-6.556,14.607,-37.388,-37.86,-36.463
Maine,Overall,2020-03-24,-17.266,-1.517,17.794,-42.617,-40.435,-42.499
Maine,Overall,2020-03-25,-10.053,13.182,16.807,-39.712,-41.667,-40.555
Maine,Overall,2020-03-26,-9.654,45.94,16.908,-40.497,-41.87,-40.786
Maine,Overall,2020-03-27,-16.102,17.599,19.443,-44.322,-50.987,-42.395
Maine,Overall,2020-03-28,-17.263,41.539,11.342,-46.323,-48.503,-31.195
Maine,Overall,2020-03-29,-22.052,-23.733,10.398,-49.747,-56.481,-31.419
Maine,Overall,2020-03-30,-22.618,-29.501,17.951,-46.442,-51.627,-43.57
Maine,Overall,2020-03-31,-10.859,21.239,16.886,-38.452,-41.077,-43.575
Maine,Overall,2020-04-01,0.773,-3.926,16.774,-32.768,-45.398,-44.179
Maine,Overall,2020-04-02,-26.682,-42.406,21.654,-55.81,-56.434,-47.138
Maine,Overall,2020-04-03,-22.155,-39.717,23.239,-53.084,-59.177,-47.312
Maine,Overall,2020-04-04,-24.139,13.128,13.571,-53.973,-59.936,-34.415
Maine,Overall,2020-04-05,-22.706,20.519,10.139,-50.062,-59.476,-33.766
