state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Maine,Androscoggin County,2020-02-23,5.737,54.636,-1.793,10.127,33.375,6.919
Maine,Androscoggin County,2020-02-24,1.251,21.753,-0.343,7.729,8.135,1.424
Maine,Androscoggin County,2020-02-25,1.434,11.226,-0.134,5.615,6.418,2.778
Maine,Androscoggin County,2020-02-26,11.971,8.133,-0.481,14.382,12.127,1.368
Maine,Androscoggin County,2020-02-27,-10.506,-15.902,3.237,-4.792,-9.406,-2.36
Maine,Androscoggin County,2020-02-28,-0.44,2.378,-0.675,9.298,9.511,1.79
Maine,Androscoggin County,2020-02-29,-4.43,0.784,-1.024,10.88,15.244,2.315
Maine,Androscoggin County,2020-03-01,7.53,19.036,-1.884,17.446,26.529,5.381
Maine,Androscoggin County,2020-03-02,4.824,5.96,-0.09,9.79,9.074,1.972
Maine,Androscoggin County,2020-03-03,12.012,54.917,-1.938,19.945,11.874,1.816
Maine,Androscoggin County,2020-03-04,6.79,0.28,0.99,8.581,7.774,0.842
Maine,Androscoggin County,2020-03-05,6.588,25.915,-0.744,13.669,8.192,2.467
Maine,Androscoggin County,2020-03-06,-1.905,5.708,0.644,5.47,5.019,0.895
Maine,Androscoggin County,2020-03-07,-1.858,-1.176,-0.236,9.582,9.354,0.868
Maine,Androscoggin County,2020-03-08,11.654,57.603,-1.548,14.212,32.091,4.228
Maine,Androscoggin County,2020-03-09,7.326,50.062,-0.41,10.992,7.822,1.862
Maine,Androscoggin County,2020-03-10,7.172,21.239,0.035,8.799,6.418,2.457
Maine,Androscoggin County,2020-03-11,15.366,23.559,0.672,8.899,5.286,1.368
Maine,Androscoggin County,2020-03-12,37.393,17.669,-0.133,12.648,3.641,2.467
Maine,Androscoggin County,2020-03-13,21.976,-18.788,4.215,-6.442,-9.246,-2.797
Maine,Androscoggin County,2020-03-14,17.147,18.222,2.146,-4.204,-5.89,-1.157
Maine,Androscoggin County,2020-03-15,27.79,39.308,1.716,-5.702,0.428,-1.153
Maine,Androscoggin County,2020-03-16,27.873,14.006,6.156,-7.471,-11.264,-14.897
Maine,Androscoggin County,2020-03-17,14.702,-18.811,10.37,-23.297,-17.971,-22.009
Maine,Androscoggin County,2020-03-18,14.294,42.911,11.713,-23.281,-18.346,-27.252
Maine,Androscoggin County,2020-03-19,5.342,-8.54,13.816,-31.109,-30.341,-30.252
Maine,Androscoggin County,2020-03-20,1.172,-0.713,16.722,-37.072,-35.665,-33.902
Maine,Androscoggin County,2020-03-21,-11.431,36.445,10.1,-39.998,-36.724,-21.123
Maine,Androscoggin County,2020-03-22,-12.192,51.917,7.18,-38.977,-34.659,-21.91
Maine,Androscoggin County,2020-03-23,-6.79,-6.556,14.041,-35.982,-37.86,-35.489
Maine,Androscoggin County,2020-03-24,-14.522,-1.517,17.299,-40.058,-40.435,-41.987
Maine,Androscoggin County,2020-03-25,-5.182,13.182,17.392,-39.172,-41.667,-39.773
Maine,Androscoggin County,2020-03-26,-5.52,45.94,16.3,-37.865,-41.87,-40.444
Maine,Androscoggin County,2020-03-27,-13.479,17.599,19.903,-44.669,-50.987,-42.853
Maine,Androscoggin County,2020-03-28,-16.861,41.539,11.215,-44.758,-48.503,-30.671
Maine,Androscoggin County,2020-03-29,-22.232,-23.733,10.701,-50.637,-56.481,-30.75
Maine,Androscoggin County,2020-03-30,-18.582,-29.501,17.47,-46.802,-51.627,-42.718
Maine,Androscoggin County,2020-03-31,-6.096,21.239,16.334,-36.035,-41.077,-43.162
Maine,Androscoggin County,2020-04-01,13.222,-3.926,17.081,-29.875,-45.398,-42.719
Maine,Androscoggin County,2020-04-02,-19.053,-42.406,21.438,-55.383,-56.434,-47.202
Maine,Androscoggin County,2020-04-03,-15.383,-39.717,23.688,-54.393,-59.177,-48.783
Maine,Androscoggin County,2020-04-04,-19.576,13.128,13.434,-52.794,-59.936,-34.144
Maine,Androscoggin County,2020-04-05,-19.184,20.519,9.914,-51.232,-59.476,-32.288
Maine,Aroostook County,2020-02-23,30.556,54.636,-2.135,37.688,33.375,14.52
Maine,Aroostook County,2020-02-24,4.91,21.753,-0.263,8.783,8.135,2.698
Maine,Aroostook County,2020-02-25,7.588,11.226,-0.031,4.942,6.418,0.4
Maine,Aroostook County,2020-02-26,17.702,8.133,-0.826,23.81,12.127,2.804
Maine,Aroostook County,2020-02-27,-9.952,-15.902,5.173,-24.066,-9.406,-9.653
Maine,Aroostook County,2020-02-28,3.804,2.378,-0.155,1.277,9.511,-1.653
Maine,Aroostook County,2020-02-29,-0.59,0.784,-0.976,7.219,15.244,-2.378
Maine,Aroostook County,2020-03-01,34.259,19.036,-2.022,42.923,26.529,6.313
Maine,Aroostook County,2020-03-02,10.522,5.96,-0.115,15.727,9.074,3.528
Maine,Aroostook County,2020-03-03,19.661,54.917,-1.59,27.182,11.874,0.2
Maine,Aroostook County,2020-03-04,1.702,0.28,0.33,5.58,7.774,-2.804
Maine,Aroostook County,2020-03-05,9.289,25.915,-0.577,15.625,8.192,0.603
Maine,Aroostook County,2020-03-06,6.73,5.708,0.387,8.089,5.019,0.827
Maine,Aroostook County,2020-03-07,4.131,-1.176,-0.092,13.26,9.354,4.281
Maine,Aroostook County,2020-03-08,32.87,57.603,-1.876,41.614,32.091,11.995
Maine,Aroostook County,2020-03-09,8.418,50.062,-0.169,1.838,7.822,1.66
Maine,Aroostook County,2020-03-10,-6.554,21.239,0.594,-12.546,6.418,-3.799
Maine,Aroostook County,2020-03-11,16.34,23.559,-0.021,11.161,5.286,2.003
Maine,Aroostook County,2020-03-12,32.179,17.669,0.087,21.013,3.641,0.804
Maine,Aroostook County,2020-03-13,11.997,-18.788,4.209,-21.429,-9.246,-4.34
Maine,Aroostook County,2020-03-14,17.705,18.222,2.357,-2.505,-5.89,1.903
Maine,Aroostook County,2020-03-15,62.963,39.308,1.543,35.856,0.428,8.838
Maine,Aroostook County,2020-03-16,41.386,14.006,6.108,2.247,-11.264,-7.678
