state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Maryland,Overall,2020-02-23,4.0,75.514,-0.978,6.113,6.065,2.739
Maryland,Overall,2020-02-24,-1.221,10.504,0.1,0.591,-0.593,4.193
Maryland,Overall,2020-02-25,-2.628,-5.99,0.5,0.839,-0.839,2.653
Maryland,Overall,2020-02-26,0.72,-1.616,-0.461,2.946,0.832,2.275
Maryland,Overall,2020-02-27,-0.368,-3.994,-0.276,2.858,-0.521,1.931
Maryland,Overall,2020-02-28,0.291,3.737,-0.326,2.424,0.998,2.961
Maryland,Overall,2020-02-29,2.727,-2.687,-1.406,4.823,0.08,3.596
Maryland,Overall,2020-03-01,5.57,31.394,-0.972,8.387,1.859,3.226
Maryland,Overall,2020-03-02,2.112,20.803,-0.337,3.908,-0.556,4.366
Maryland,Overall,2020-03-03,5.558,23.573,-0.845,7.485,1.24,3.802
Maryland,Overall,2020-03-04,4.789,48.552,-1.169,7.234,2.913,2.776
Maryland,Overall,2020-03-05,4.344,28.727,-1.087,5.841,1.024,2.63
Maryland,Overall,2020-03-06,-0.254,2.623,0.873,0.583,-2.885,2.276
Maryland,Overall,2020-03-07,6.276,33.75,-1.381,5.525,3.827,4.066
Maryland,Overall,2020-03-08,6.34,100.245,-0.814,7.237,5.303,2.045
Maryland,Overall,2020-03-09,5.135,83.756,-0.356,5.599,-0.759,3.054
Maryland,Overall,2020-03-10,4.732,37.498,0.101,4.912,-1.717,1.966
Maryland,Overall,2020-03-11,6.103,27.262,0.214,4.045,-2.288,0.944
Maryland,Overall,2020-03-12,19.389,33.001,0.521,8.022,-6.815,-1.236
Maryland,Overall,2020-03-13,19.239,39.276,3.069,1.174,-13.282,-4.139
Maryland,Overall,2020-03-14,10.57,66.438,2.886,-7.266,-10.973,-2.078
Maryland,Overall,2020-03-15,1.562,20.409,5.204,-13.214,-19.385,-10.894
Maryland,Overall,2020-03-16,16.177,11.868,10.212,-6.79,-27.906,-24.355
Maryland,Overall,2020-03-17,4.23,52.28,13.562,-19.738,-32.599,-32.511
Maryland,Overall,2020-03-18,0.466,39.418,15.627,-23.215,-37.069,-36.997
Maryland,Overall,2020-03-19,1.298,42.18,17.152,-24.241,-41.413,-39.381
Maryland,Overall,2020-03-20,1.355,54.095,18.246,-27.046,-42.097,-39.546
Maryland,Overall,2020-03-21,-4.353,33.875,11.698,-36.099,-37.657,-25.393
Maryland,Overall,2020-03-22,-14.787,33.495,11.492,-39.574,-45.292,-33.119
Maryland,Overall,2020-03-23,-15.244,-45.493,21.554,-35.506,-56.257,-46.043
Maryland,Overall,2020-03-24,-16.739,30.885,21.104,-37.761,-51.35,-48.97
Maryland,Overall,2020-03-25,-24.793,-43.212,24.451,-43.564,-57.949,-51.837
Maryland,Overall,2020-03-26,-15.975,52.69,21.924,-36.071,-51.655,-50.611
Maryland,Overall,2020-03-27,-19.146,41.178,23.085,-38.765,-51.423,-48.867
Maryland,Overall,2020-03-28,-26.218,-28.437,16.081,-48.192,-52.726,-36.372
Maryland,Overall,2020-03-29,-24.833,28.753,13.255,-44.679,-51.053,-38.95
Maryland,Overall,2020-03-30,-3.255,28.305,20.102,-25.891,-52.22,-49.79
Maryland,Overall,2020-03-31,-29.299,-26.373,25.253,-48.285,-59.705,-55.562
Maryland,Overall,2020-04-01,-22.441,-13.631,25.063,-43.049,-55.831,-55.806
Maryland,Overall,2020-04-02,-21.027,0.35,25.295,-41.754,-56.44,-55.858
Maryland,Overall,2020-04-03,-18.88,-1.246,26.225,-41.253,-54.163,-54.169
Maryland,Overall,2020-04-04,-22.208,1.125,16.364,-47.482,-50.397,-38.869
Maryland,Overall,2020-04-05,-25.029,34.636,14.141,-46.584,-52.76,-42.467
