state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Maryland,Allegany County,grocery/pharmacy,13.787,5.643,6.705,5.507,-0.453,7.089,9.269,15.063,8.23,13.649,8.719,10.643,5.71,13.462,19.914,13.403,11.015,10.095,21.966,22.842,14.124,10.212,26.571,7.663,6.195,9.058,1.378,-0.662,-8.17,-6.349,-13.889,-19.273,-15.172,-18.51,-21.407,-17.616,3.997,-29.454,-18.126,-18.116,-18.707,-20.304,-22.978
Maryland,Allegany County,parks,75.514,10.504,-5.99,-1.616,-3.994,3.737,-2.687,31.394,20.803,23.573,48.552,28.727,2.623,33.75,100.245,83.756,37.498,27.262,33.001,39.276,66.438,20.409,11.868,52.28,39.418,42.18,54.095,33.875,33.495,-45.493,30.885,-43.212,52.69,41.178,-28.437,28.753,28.305,-26.373,-13.631,0.35,-1.246,1.125,34.636
Maryland,Allegany County,residential,-0.978,0.1,0.5,-0.461,-0.276,-0.326,-1.406,-0.972,-0.337,-0.845,-1.169,-1.087,0.873,-1.381,-0.814,-0.356,0.101,0.214,0.521,3.069,2.886,5.204,10.212,13.562,15.627,17.152,18.246,11.698,11.492,21.554,21.104,24.451,21.924,23.085,16.081,13.255,20.102,25.253,25.063,25.295,26.225,16.364,14.141
Maryland,Allegany County,retail/recreation,8.487,4.022,10.444,11.517,4.948,7.54,9.131,22.722,14.077,21.713,15.14,18.778,4.96,11.88,19.711,10.725,10.169,7.246,12.815,2.183,-7.658,-7.392,-7.239,-27.347,-28.986,-26.898,-35.813,-44.965,-44.213,-38.208,-42.876,-48.784,-36.541,-46.032,-48.696,-40.654,-26.947,-54.42,-47.101,-46.057,-47.024,-53.703,-49.962
Maryland,Allegany County,transitstations,15.046,1.984,-1.042,4.045,2.894,8.013,5.482,15.046,-0.992,5.208,9.102,9.645,-5.342,-3.289,15.046,6.944,6.25,3.034,6.752,-0.89,-5.482,-3.472,-4.96,-2.083,-14.159,-18.326,-27.6,-31.798,-31.25,-27.778,-16.667,-27.306,-17.361,-40.954,-35.088,-33.565,-21.825,-36.458,-32.362,-28.935,-38.283,-43.86,-46.296
Maryland,Allegany County,workplace,5.388,2.7,5.33,4.106,4.615,7.102,7.556,4.789,6.524,4.22,3.242,4.835,3.551,4.858,4.191,-3.375,6.219,2.809,1.538,-2.367,-2.159,-10.776,-15.749,-20.656,-25.934,-26.591,-26.989,-19.43,-24.545,-34.197,-39.312,-42.574,-39.996,-39.299,-26.986,-32.328,-39.372,-43.532,-45.6,-45.051,-45.928,-29.685,-32.926
Maryland,Anne Arundel County,grocery/pharmacy,0.912,-1.967,-5.52,-2.108,-0.546,-0.628,4.929,4.313,3.328,2.987,1.591,2.622,-2.312,10.041,4.644,4.274,3.252,5.66,19.959,17.57,8.46,-4.686,14.713,0.681,-6.214,-5.573,-3.732,-9.784,-20.568,-19.025,-20.531,-29.556,-21.161,-23.68,-30.419,-31.806,-6.354,-33.84,-29.63,-28.118,-27.016,-28.837,-34.501
Maryland,Anne Arundel County,parks,72.957,10.684,-14.81,-0.445,0.463,15.283,16.827,33.641,35.167,24.19,60.096,30.093,4.022,30.849,105.788,94.818,47.887,37.838,31.481,35.795,53.686,27.156,17.361,59.242,48.967,49.537,47.056,36.859,38.505,-45.406,36.039,-41.4,62.037,51.078,-29.647,34.857,47.187,-23.697,-13.8,6.481,-6.837,2.003,42.964
Maryland,Anne Arundel County,residential,-1.181,-0.162,0.307,-0.364,-0.206,-0.503,-1.465,-0.827,-0.548,-0.891,-1.059,-0.861,0.855,-1.311,-1.059,-0.854,1.231,0.166,0.463,3.185,3.329,5.061,9.913,13.955,16.906,18.685,19.647,12.37,11.721,22.105,22.653,25.987,23.697,24.598,16.638,13.675,20.667,26.583,27.323,27.549,28.474,17.332,14.615
Maryland,Anne Arundel County,retail/recreation,5.24,0.429,1.387,2.923,3.353,4.854,5.654,9.165,4.43,7.873,5.413,4.994,1.157,5.466,8.027,5.192,8.225,3.911,8.705,2.499,-11.463,-15.573,-6.339,-23.449,-27.683,-29.496,-31.05,-43.529,-46.2,-38.788,-43.079,-48.677,-42.439,-44.431,-55.725,-51.303,-28.211,-52.574,-48.584,-47.632,-46.448,-54.688,-52.814
