state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Michigan,Allegan County,grocery/pharmacy,11.552,6.777,3.092,0.574,2.666,2.042,9.944,24.299,10.455,10.049,9.383,9.712,0.943,12.063,23.502,11.036,13.335,15.702,33.326,42.735,24.289,26.888,42.015,18.746,14.17,18.282,13.198,8.314,-0.996,30.204,-17.393,-12.255,-12.188,-13.355,-20.214,-17.527,-8.132,-11.016,-12.063,-3.809,-4.242,-17.28,-10.357
Michigan,Allegan County,parks,90.389,14.338,1.841,-12.294,-7.184,-2.02,23.415,57.15,27.812,14.172,22.094,20.339,0.305,61.445,154.874,30.786,48.176,14.245,27.703,8.461,15.533,87.083,12.707,44.817,9.527,9.249,-1.563,32.712,48.002,-0.575,2.761,66.372,11.539,21.687,-22.152,14.944,-10.214,-3.405,21.459,99.496,67.804,2.449,91.838
Michigan,Allegan County,residential,-2.339,-0.133,-0.232,0.92,0.25,0.726,-2.003,-2.578,-0.811,-0.302,-0.797,0.182,1.28,-2.227,-2.599,0.22,-1.079,-0.539,-0.921,2.993,3.689,2.026,7.242,9.758,11.337,12.868,16.765,10.848,8.017,13.184,23.162,22.772,24.62,26.916,16.735,12.33,22.558,23.643,23.382,23.138,25.708,17.327,9.916
Michigan,Allegan County,retail/recreation,19.762,7.475,-0.116,-1.012,4.842,3.232,19.195,31.365,16.638,14.336,20.473,14.312,6.142,13.238,32.257,7.475,18.267,9.674,17.756,3.475,-2.813,9.562,-7.957,-23.238,-28.46,-29.485,-35.881,-39.797,-33.915,-24.233,-53.76,-46.684,-49.716,-52.285,-58.082,-51.382,-45.332,-43.123,-43.084,-40.354,-45.74,-57.916,-43.477
Michigan,Allegan County,transitstations,18.499,5.93,4.986,0.559,6.877,14.765,27.769,22.719,5.228,8.25,8.543,8.652,6.58,13.99,14.144,3.267,4.96,3.814,1.602,-3.093,-5.415,-8.169,-16.821,-19.095,-23.824,-30.195,-32.274,-32.462,-40.61,-40.031,-50.062,-46.554,-51.024,-52.109,-55.779,-55.531,-55.23,-51.784,-49.147,-48.559,-48.83,-53.793,-53.101
Michigan,Allegan County,workplace,9.295,0.087,1.287,-1.02,0.425,,7.156,11.218,2.884,2.317,1.361,1.19,-2.096,6.626,8.333,3.146,2.917,2.041,0.425,-3.737,3.181,-2.564,-16.429,-22.052,-24.66,-27.806,-29.983,-20.409,-25.321,-30.673,-50.796,-53.401,-53.656,-53.769,-39.758,-40.385,-53.132,-54.486,-55.442,-55.527,-57.141,-41.879,-41.026
Michigan,Alpena County,grocery/pharmacy,9.793,-2.688,-3.981,4.167,-1.327,-15.907,9.356,18.697,4.704,7.962,11.806,0.663,-20.012,8.733,24.038,3.36,6.635,11.111,29.193,20.012,18.089,21.368,38.306,3.317,9.028,4.644,-5.644,-4.99,,29.57,-39.809,-30.556,-20.568,-29.762,-28.693,-17.806,-30.242,-32.511,-7.639,-13.933,-29.762,-26.821,-10.684
Michigan,Alpena County,parks,90.389,14.338,1.841,-12.294,-7.184,-2.02,23.415,57.15,27.812,14.172,22.094,20.339,0.305,61.445,154.874,30.786,48.176,14.245,27.703,8.461,15.533,87.083,12.707,44.817,9.527,9.249,-1.563,32.712,48.002,-0.575,2.761,66.372,11.539,21.687,-22.152,14.944,-10.214,-3.405,21.459,99.496,67.804,2.449,91.838
Michigan,Alpena County,residential,-1.979,0.044,-0.092,4.875,3.498,0.324,-2.08,-2.129,-0.557,-0.781,-0.81,-0.648,0.816,-2.229,-2.456,-0.165,-0.189,-0.171,0.522,4.262,3.598,2.566,8.624,11.26,13.318,14.867,18.143,11.296,8.932,16.653,24.56,23.506,25.134,27.21,17.24,12.514,24.05,25.087,24.589,24.289,26.466,16.765,11.304
Michigan,Alpena County,retail/recreation,14.509,4.735,-1.944,10.584,2.8,-7.378,13.531,14.881,11.837,9.722,6.406,6.16,-12.153,16.085,22.321,0.592,3.889,-2.228,8.121,-4.123,-6.638,2.604,-13.317,-33.889,-33.98,-30.802,-43.186,-40.85,-32.738,-23.082,-60.278,-55.147,-53.763,-56.207,-60.253,-44.643,-47.644,-50.0,-41.221,-42.283,-43.837,-49.02,-39.807
Michigan,Alpena County,transitstations,18.499,5.93,4.986,0.559,6.877,14.765,27.769,22.719,5.228,8.25,8.543,8.652,6.58,13.99,14.144,3.267,4.96,3.814,1.602,-3.093,-5.415,-8.169,-16.821,-19.095,-23.824,-30.195,-32.274,-32.462,-40.61,-40.031,-50.062,-46.554,-51.024,-52.109,-55.779,-55.531,-55.23,-51.784,-49.147,-48.559,-48.83,-53.793,-53.101
Michigan,Alpena County,workplace,2.604,3.241,3.143,0.44,-0.875,,3.255,1.302,3.704,4.49,0.879,,-15.143,5.425,5.208,1.852,-2.245,0.44,-2.626,-1.377,3.255,,-14.815,-20.205,-23.295,-26.698,-28.451,-21.701,-24.74,-26.389,-42.654,-40.876,-42.892,-41.758,-36.892,-32.552,-43.056,-47.144,-46.15,-46.831,-43.594,-34.722,-37.76
Michigan,Antrim County,grocery/pharmacy,21.335,,-2.17,-6.443,-2.17,-11.574,3.894,17.57,5.425,5.425,1.074,4.34,-5.342,-8.762,-1.255,,-2.17,5.369,28.212,23.148,10.709,18.825,26.042,19.531,3.222,2.17,-16.026,-9.735,-10.04,18.446,-27.127,-19.33,-16.276,-23.148,-27.259,-21.335,-32.552,-26.042,-22.552,-16.276,-22.258,-38.941,-8.785
Michigan,Antrim County,parks,90.389,14.338,1.841,-12.294,-7.184,-2.02,23.415,57.15,27.812,14.172,22.094,20.339,0.305,61.445,154.874,30.786,48.176,14.245,27.703,8.461,15.533,87.083,12.707,44.817,9.527,9.249,-1.563,32.712,48.002,-0.575,2.761,66.372,11.539,21.687,-22.152,14.944,-10.214,-3.405,21.459,99.496,67.804,2.449,91.838
Michigan,Antrim County,residential,-1.979,0.044,-0.092,4.875,3.498,0.324,-2.08,-2.129,-0.557,-0.781,-0.81,-0.648,0.816,-2.229,-2.456,-0.165,-0.189,-0.171,0.522,4.262,3.598,2.566,8.624,11.26,13.318,14.867,18.143,11.296,8.932,16.653,24.56,23.506,25.134,27.21,17.24,12.514,24.05,25.087,24.589,24.289,26.466,16.765,11.304
Michigan,Antrim County,retail/recreation,13.021,1.197,10.302,4.209,-3.005,-10.127,10.549,13.021,11.973,11.447,17.887,7.011,-9.404,-11.208,9.47,4.789,24.038,,-4.006,-2.17,-27.69,-8.286,-20.354,-29.762,-42.088,-43.069,-65.828,-66.588,-74.574,-32.328,-60.668,-51.557,-55.088,-62.211,-75.158,-78.125,-53.879,-54.945,-50.505,-54.087,-57.87,-80.432,-75.758
Michigan,Antrim County,transitstations,18.499,5.93,4.986,0.559,6.877,14.765,27.769,22.719,5.228,8.25,8.543,8.652,6.58,13.99,14.144,3.267,4.96,3.814,1.602,-3.093,-5.415,-8.169,-16.821,-19.095,-23.824,-30.195,-32.274,-32.462,-40.61,-40.031,-50.062,-46.554,-51.024,-52.109,-55.779,-55.531,-55.23,-51.784,-49.147,-48.559,-48.83,-53.793,-53.101
Michigan,Antrim County,workplace,10.417,7.267,4.579,3.415,,-13.69,2.741,12.153,10.296,7.44,3.985,4.63,-8.929,5.482,6.944,6.056,2.289,1.138,2.894,,,-3.472,-15.141,-23.466,-26.184,-29.514,-35.119,-32.895,-31.25,-32.098,-48.649,-48.383,-50.347,-52.976,-42.489,-45.139,-48.45,-53.228,-54.645,-49.769,-52.976,-50.713,-41.667
Michigan,Arenac County,grocery/pharmacy,13.021,10.127,,26.389,7.135,-3.289,15.914,17.904,14.468,24.941,4.167,8.562,-9.868,27.488,16.276,4.34,1.467,18.056,62.785,59.211,53.53,58.594,57.87,30.81,50.0,58.505,41.667,61.487,16.276,85.359,-13.204,-1.389,-5.708,-9.868,7.234,-9.766,2.894,-4.401,4.167,5.708,4.386,20.255,13.021
Michigan,Arenac County,parks,90.389,14.338,1.841,-12.294,-7.184,-2.02,23.415,57.15,27.812,14.172,22.094,20.339,0.305,61.445,154.874,30.786,48.176,14.245,27.703,8.461,15.533,87.083,12.707,44.817,9.527,9.249,-1.563,32.712,48.002,-0.575,2.761,66.372,11.539,21.687,-22.152,14.944,-10.214,-3.405,21.459,99.496,67.804,2.449,91.838
Michigan,Arenac County,residential,-1.979,0.044,-0.092,4.875,3.498,0.324,-2.08,-2.129,-0.557,-0.781,-0.81,-0.648,0.816,-2.229,-2.456,-0.165,-0.189,-0.171,0.522,4.262,3.598,2.566,8.624,11.26,13.318,14.867,18.143,11.296,8.932,16.653,24.56,23.506,25.134,27.21,17.24,12.514,24.05,25.087,24.589,24.289,26.466,16.765,11.304
Michigan,Arenac County,retail/recreation,28.736,1.085,1.965,3.894,22.936,7.086,16.223,23.946,22.786,7.862,6.815,8.601,-0.709,31.592,49.09,7.595,4.914,2.921,6.69,-1.417,5.977,21.552,-10.851,-37.343,-36.02,-32.492,-33.305,-31.592,-21.552,-13.021,-57.98,-44.782,-43.005,-44.643,-58.914,-43.103,-43.403,-48.153,-42.835,-31.537,-38.974,-48.668,-28.736
Michigan,Arenac County,transitstations,18.499,5.93,4.986,0.559,6.877,14.765,27.769,22.719,5.228,8.25,8.543,8.652,6.58,13.99,14.144,3.267,4.96,3.814,1.602,-3.093,-5.415,-8.169,-16.821,-19.095,-23.824,-30.195,-32.274,-32.462,-40.61,-40.031,-50.062,-46.554,-51.024,-52.109,-55.779,-55.531,-55.23,-51.784,-49.147,-48.559,-48.83,-53.793,-53.101
Michigan,Arenac County,workplace,5.679,2.468,1.776,-10.813,-8.262,0.146,6.076,5.278,1.933,1.384,1.17,1.462,0.394,7.772,4.928,1.776,-1.268,0.833,-0.515,-6.96,2.019,-4.294,-20.765,-27.689,-31.081,-33.663,-37.105,-25.701,-31.105,-43.116,-57.306,-57.89,-58.632,-58.231,-43.816,-43.316,-59.895,-61.268,-61.248,-61.303,-60.697,-45.038,-44.161
Michigan,Barry County,grocery/pharmacy,18.092,7.405,11.409,-1.006,8.198,2.837,10.239,29.605,13.329,20.833,20.632,17.361,4.053,22.703,30.154,12.836,16.865,21.135,42.921,51.475,35.167,30.154,40.976,21.825,16.103,24.595,25.94,24.929,7.127,42.457,-16.369,-2.013,-8.198,-10.944,-8.013,-9.868,-2.468,-4.96,3.523,8.681,10.133,-1.781,-0.548
