state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Minnesota,Overall,2020-02-23,7.735,44.163,-1.979,11.113,6.347,3.5
Minnesota,Overall,2020-02-24,3.059,4.655,-0.579,3.539,4.729,2.948
Minnesota,Overall,2020-02-25,1.597,3.036,-0.126,5.11,6.12,1.817
Minnesota,Overall,2020-02-26,2.285,-0.505,-0.792,6.429,5.918,2.249
Minnesota,Overall,2020-02-27,1.291,-4.613,-0.16,2.635,3.91,1.66
Minnesota,Overall,2020-02-28,3.03,0.314,-0.717,4.683,7.632,2.38
Minnesota,Overall,2020-02-29,6.483,5.415,-1.181,7.548,5.679,4.529
Minnesota,Overall,2020-03-01,10.54,40.39,-2.069,14.703,6.445,4.504
Minnesota,Overall,2020-03-02,3.78,-0.721,-0.471,5.572,1.827,2.837
Minnesota,Overall,2020-03-03,7.374,20.09,-0.418,9.978,2.965,0.89
Minnesota,Overall,2020-03-04,4.924,5.433,-0.589,7.413,4.195,2.02
Minnesota,Overall,2020-03-05,0.635,-14.667,0.463,1.209,-0.717,1.223
Minnesota,Overall,2020-03-06,5.707,6.01,0.004,6.131,2.743,-0.561
Minnesota,Overall,2020-03-07,9.035,21.029,-0.946,7.341,6.517,3.043
Minnesota,Overall,2020-03-08,11.61,93.004,-1.897,13.514,7.429,1.908
Minnesota,Overall,2020-03-09,3.0,-1.311,0.854,4.067,-4.764,-1.889
Minnesota,Overall,2020-03-10,4.262,6.33,0.731,5.676,-1.444,-2.015
Minnesota,Overall,2020-03-11,6.73,10.802,0.566,7.13,-1.761,-2.621
Minnesota,Overall,2020-03-12,14.272,-9.817,2.13,2.954,-7.856,-4.161
Minnesota,Overall,2020-03-13,20.022,-2.299,2.991,1.644,-7.35,-6.031
Minnesota,Overall,2020-03-14,14.792,-13.953,3.853,-6.754,-10.054,-0.894
Minnesota,Overall,2020-03-15,19.115,30.665,2.807,-5.152,-15.302,-3.987
Minnesota,Overall,2020-03-16,20.197,-13.376,7.522,-5.456,-26.867,-15.617
Minnesota,Overall,2020-03-17,15.189,32.751,11.133,-18.218,-26.533,-24.124
Minnesota,Overall,2020-03-18,1.548,6.696,15.164,-33.583,-35.248,-31.629
Minnesota,Overall,2020-03-19,-5.841,-31.167,18.424,-41.246,-45.453,-35.262
Minnesota,Overall,2020-03-20,4.022,-2.717,19.092,-37.952,-42.765,-36.341
Minnesota,Overall,2020-03-21,-9.295,-5.218,14.11,-48.947,-42.592,-25.384
Minnesota,Overall,2020-03-22,-18.596,17.644,11.065,-48.048,-50.382,-30.263
Minnesota,Overall,2020-03-23,-11.242,35.342,17.283,-38.828,-51.872,-39.282
Minnesota,Overall,2020-03-24,-14.442,21.898,19.674,-41.151,-49.948,-42.198
Minnesota,Overall,2020-03-25,-7.717,-11.497,20.381,-37.439,-52.778,-43.37
Minnesota,Overall,2020-03-26,-5.423,55.415,19.805,-36.825,-51.587,-43.396
Minnesota,Overall,2020-03-27,-8.154,54.922,21.03,-39.83,-51.065,-43.61
Minnesota,Overall,2020-03-28,-38.439,-44.114,19.353,-64.774,-63.585,-36.785
Minnesota,Overall,2020-03-29,-35.113,-16.422,14.262,-57.958,-64.356,-38.309
Minnesota,Overall,2020-03-30,-20.843,97.764,20.33,-44.312,-55.597,-49.237
Minnesota,Overall,2020-03-31,-17.346,79.325,21.516,-42.046,-52.457,-50.248
Minnesota,Overall,2020-04-01,-14.985,49.02,21.998,-41.161,-53.902,-50.313
Minnesota,Overall,2020-04-02,-17.769,25.016,23.651,-46.092,-58.224,-50.75
Minnesota,Overall,2020-04-03,-21.886,-39.507,26.807,-50.307,-61.475,-51.135
Minnesota,Overall,2020-04-04,-15.325,12.096,16.449,-50.613,-54.88,-35.372
Minnesota,Overall,2020-04-05,-17.671,97.627,11.612,-46.333,-57.763,-37.477
