state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Missouri,Adair County,grocery/pharmacy,8.349,0.14,0.318,2.475,3.92,3.827,12.391,15.354,7.72,12.32,9.565,8.281,2.882,13.59,16.467,4.711,10.759,13.413,23.552,24.268,17.616,17.272,30.313,22.512,19.743,13.301,13.317,11.168,-1.071,1.668,-13.701,-6.421,-10.4,-13.422,-12.274,-12.164,-11.21,-5.255,-0.084,-3.729,-4.167,-1.235,-6.179
Missouri,Adair County,parks,53.819,-15.399,1.528,-14.449,10.007,36.749,84.452,95.305,19.054,66.198,28.254,50.45,66.934,114.334,119.214,-7.55,46.275,49.901,25.969,36.688,-16.286,-8.033,-11.205,27.88,2.417,9.054,8.589,27.191,-41.345,1.738,-15.977,46.84,72.905,50.185,32.006,73.003,40.985,49.267,37.708,35.976,9.509,-24.453,5.15
Missouri,Adair County,residential,-1.103,1.358,0.32,-2.025,-0.706,-2.893,-3.521,-2.721,-0.542,-1.84,-3.645,-1.424,-2.828,-3.116,-2.493,1.549,-0.681,-3.161,0.339,-0.228,2.567,2.029,5.725,7.011,7.85,12.594,12.524,8.609,9.347,14.49,18.416,14.138,17.374,17.744,12.014,9.084,16.162,16.795,13.86,17.895,18.767,13.179,9.899
Missouri,Adair County,retail/recreation,13.298,-6.56,-12.351,7.899,6.373,29.701,13.937,26.596,14.694,6.991,19.747,7.692,14.426,-4.824,7.48,-5.51,-5.593,3.949,-6.373,11.244,-18.761,,-5.51,-16.079,-19.007,-30.327,-20.579,-42.346,-47.097,-42.769,-50.103,-45.665,-49.666,-41.158,-47.706,-42.11,-38.571,-38.917,-39.741,-45.71,-39.46,-57.176,-42.387
Missouri,Adair County,transitstations,6.479,-3.157,-0.948,7.651,4.839,12.687,10.726,10.629,0.967,4.689,10.556,6.261,13.285,13.327,13.724,-4.048,1.281,10.423,1.422,6.431,-3.449,-4.692,-12.551,-10.735,-10.423,-19.082,-17.697,-16.892,-30.29,-30.88,-32.692,-24.498,-30.057,-29.636,-32.06,-34.279,-33.833,-29.72,-24.578,-32.003,-32.428,-37.057,-40.152
Missouri,Adair County,workplace,21.93,4.094,0.441,3.444,4.024,28.562,7.44,27.412,5.004,4.414,3.874,4.471,21.841,-4.252,4.112,-13.191,-9.269,-9.9,-17.436,0.56,-12.755,-5.482,-18.195,-21.186,-27.548,-27.718,-11.761,-8.503,-19.189,-35.935,-38.842,-37.879,-37.554,-25.762,-24.447,-20.559,-38.21,-38.4,-38.74,-39.342,-25.762,-29.762,-24.671
Missouri,Audrain County,grocery/pharmacy,9.735,-2.626,5.165,0.847,14.368,2.042,24.56,27.259,15.756,8.609,11.009,13.47,4.766,26.253,32.126,10.504,14.635,6.775,24.246,17.021,38.957,22.391,42.017,37.879,36.416,29.634,19.063,33.875,-9.735,2.626,-3.874,2.541,0.898,-9.532,-5.928,-9.735,-15.756,,7.622,-10.776,4.766,37.263,1.947
Missouri,Audrain County,parks,53.819,-15.399,1.528,-14.449,10.007,36.749,84.452,95.305,19.054,66.198,28.254,50.45,66.934,114.334,119.214,-7.55,46.275,49.901,25.969,36.688,-16.286,-8.033,-11.205,27.88,2.417,9.054,8.589,27.191,-41.345,1.738,-15.977,46.84,72.905,50.185,32.006,73.003,40.985,49.267,37.708,35.976,9.509,-24.453,5.15
Missouri,Audrain County,residential,-1.103,1.358,0.32,-2.025,-0.706,-2.893,-3.521,-2.721,-0.542,-1.84,-3.645,-1.424,-2.828,-3.116,-2.493,1.549,-0.681,-3.161,0.339,-0.228,2.567,2.029,5.725,7.011,7.85,12.594,12.524,8.609,9.347,14.49,18.416,14.138,17.374,17.744,12.014,9.084,16.162,16.795,13.86,17.895,18.767,13.179,9.899
Missouri,Audrain County,retail/recreation,4.076,-0.438,2.143,16.091,18.758,10.503,24.145,22.645,18.82,22.719,17.361,14.767,4.316,20.695,22.192,7.878,15.003,14.397,11.175,10.071,11.382,5.888,10.504,3.429,1.27,-4.39,-24.171,-25.179,-42.12,-27.136,-30.436,-28.371,-25.144,-34.818,-29.318,-29.891,-18.382,-15.861,-13.974,-17.561,-25.035,-25.524,-28.986
