state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Montana,Overall,2020-02-23,4.727,-5.89,-0.162,9.781,8.401,3.016
Montana,Overall,2020-02-24,-0.252,-8.962,0.117,0.694,3.141,3.132
Montana,Overall,2020-02-25,0.88,9.798,-0.282,3.978,5.754,1.663
Montana,Overall,2020-02-26,3.383,-1.161,-0.67,9.419,5.044,1.873
Montana,Overall,2020-02-27,3.078,8.249,-0.96,12.216,7.674,1.4
Montana,Overall,2020-02-28,5.63,19.784,-1.395,10.6,7.86,0.914
Montana,Overall,2020-02-29,7.847,-3.658,-1.599,13.557,12.148,1.267
Montana,Overall,2020-03-01,10.22,-0.654,-1.177,17.714,14.077,4.624
Montana,Overall,2020-03-02,5.376,-0.618,-0.832,9.02,5.89,3.869
Montana,Overall,2020-03-03,8.717,12.554,-0.655,10.399,11.317,1.444
Montana,Overall,2020-03-04,7.261,0.58,-0.008,7.724,6.538,1.634
Montana,Overall,2020-03-05,10.693,18.773,-1.261,11.547,8.77,2.057
Montana,Overall,2020-03-06,7.297,29.917,-1.125,8.942,8.201,1.898
Montana,Overall,2020-03-07,8.121,6.739,-1.218,11.457,10.777,1.157
Montana,Overall,2020-03-08,7.203,-8.071,-0.053,11.212,12.033,2.011
Montana,Overall,2020-03-09,6.846,12.361,-0.797,7.962,7.46,3.04
Montana,Overall,2020-03-10,7.083,19.29,-0.694,8.005,6.33,0.919
Montana,Overall,2020-03-11,8.994,7.255,-0.354,6.125,5.978,1.024
Montana,Overall,2020-03-12,15.634,10.809,-0.565,9.96,7.674,-0.197
Montana,Overall,2020-03-13,20.151,-16.165,1.76,-0.051,1.025,-3.422
Montana,Overall,2020-03-14,12.908,-43.901,4.494,-15.093,-5.094,-6.117
Montana,Overall,2020-03-15,10.085,-31.194,3.823,-13.983,,-5.562
Montana,Overall,2020-03-16,28.685,9.58,4.665,-2.272,1.571,-15.521
Montana,Overall,2020-03-17,16.01,27.557,7.418,-19.262,-0.192,-22.427
Montana,Overall,2020-03-18,5.281,9.867,9.902,-27.202,-11.021,-25.766
Montana,Overall,2020-03-19,1.58,2.276,11.325,-29.225,-13.703,-27.854
Montana,Overall,2020-03-20,6.26,19.542,12.474,-32.942,-15.548,-29.133
Montana,Overall,2020-03-21,1.334,33.696,8.071,-41.145,-13.324,-26.064
Montana,Overall,2020-03-22,-7.023,38.174,6.906,-39.286,-19.526,-29.287
Montana,Overall,2020-03-23,-5.46,30.903,10.676,-31.623,-24.344,-30.581
Montana,Overall,2020-03-24,-6.035,12.86,13.414,-35.174,-22.25,-34.505
Montana,Overall,2020-03-25,-8.911,8.126,14.141,-37.037,-24.471,-35.546
Montana,Overall,2020-03-26,2.187,20.765,13.752,-32.555,-25.762,-35.6
Montana,Overall,2020-03-27,7.742,8.444,14.837,-34.934,-29.217,-35.789
Montana,Overall,2020-03-28,-24.914,-1.54,12.756,-58.574,-36.837,-35.873
Montana,Overall,2020-03-29,-24.986,28.358,9.589,-51.24,-37.008,-36.994
Montana,Overall,2020-03-30,-18.731,18.851,13.935,-42.204,-35.731,-39.838
Montana,Overall,2020-03-31,-17.728,-5.818,16.528,-44.731,-34.909,-42.492
Montana,Overall,2020-04-01,-18.235,-22.057,18.213,-46.584,-37.173,-43.801
Montana,Overall,2020-04-02,-14.986,-10.809,18.289,-45.129,-38.552,-43.608
Montana,Overall,2020-04-03,-9.446,-8.686,18.854,-44.005,-37.76,-42.211
Montana,Overall,2020-04-04,-12.673,6.739,11.86,-48.94,-36.837,-36.204
Montana,Overall,2020-04-05,-16.522,22.686,9.416,-45.027,-39.732,-36.123
