state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Montana,Broadwater County,grocery/pharmacy,6.51,6.72,-1.488,-4.401,11.416,6.593,11.111,17.904,16.801,4.464,8.803,7.135,23.734,27.778,17.904,11.761,16.369,22.007,15.696,14.504,1.389,,18.481,17.857,11.737,11.416,,11.111,17.904,15.121,-4.464,-4.401,5.708,2.637,-11.111,-3.255,5.04,-11.905,-16.138,-5.708,-17.141,-4.167,-4.883
Montana,Broadwater County,parks,-5.89,-8.962,9.798,-1.161,8.249,19.784,-3.658,-0.654,-0.618,12.554,0.58,18.773,29.917,6.739,-8.071,12.361,19.29,7.255,10.809,-16.165,-43.901,-31.194,9.58,27.557,9.867,2.276,19.542,33.696,38.174,30.903,12.86,8.126,20.765,8.444,-1.54,28.358,18.851,-5.818,-22.057,-10.809,-8.686,6.739,22.686
Montana,Broadwater County,residential,-0.162,0.117,-0.282,-0.67,-0.96,-1.395,-1.599,-1.177,-0.832,-0.655,-0.008,-1.261,-1.125,-1.218,-0.053,-0.797,-0.694,-0.354,-0.565,1.76,4.494,3.823,4.665,7.418,9.902,11.325,12.474,8.071,6.906,10.676,13.414,14.141,13.752,14.837,12.756,9.589,13.935,16.528,18.213,18.289,18.854,11.86,9.416
Montana,Broadwater County,retail/recreation,9.781,0.694,3.978,9.419,12.216,10.6,13.557,17.714,9.02,10.399,7.724,11.547,8.942,11.457,11.212,7.962,8.005,6.125,9.96,-0.051,-15.093,-13.983,-2.272,-19.262,-27.202,-29.225,-32.942,-41.145,-39.286,-31.623,-35.174,-37.037,-32.555,-34.934,-58.574,-51.24,-42.204,-44.731,-46.584,-45.129,-44.005,-48.94,-45.027
Montana,Broadwater County,transitstations,8.401,3.141,5.754,5.044,7.674,7.86,12.148,14.077,5.89,11.317,6.538,8.77,8.201,10.777,12.033,7.46,6.33,5.978,7.674,1.025,-5.094,,1.571,-0.192,-11.021,-13.703,-15.548,-13.324,-19.526,-24.344,-22.25,-24.471,-25.762,-29.217,-36.837,-37.008,-35.731,-34.909,-37.173,-38.552,-37.76,-36.837,-39.732
Montana,Broadwater County,workplace,3.016,3.132,1.663,1.873,1.4,0.914,1.267,4.624,3.869,1.444,1.634,2.057,1.898,1.157,2.011,3.04,0.919,1.024,-0.197,-3.422,-6.117,-5.562,-15.521,-22.427,-25.766,-27.854,-29.133,-26.064,-29.287,-30.581,-34.505,-35.546,-35.6,-35.789,-35.873,-36.994,-39.838,-42.492,-43.801,-43.608,-42.211,-36.204,-36.123
Montana,Flathead County,grocery/pharmacy,3.507,1.705,-2.656,-1.674,-5.218,0.339,4.117,6.601,-1.326,4.554,2.046,9.317,0.169,-0.537,2.063,1.326,-1.328,0.372,10.808,15.075,5.011,13.408,26.136,11.764,0.558,-0.932,2.033,-6.443,-12.17,-14.205,-12.523,-16.741,-8.386,3.557,-31.143,-30.322,-27.083,-22.769,-26.6,-24.038,-19.986,-22.194,-28.259
Montana,Flathead County,parks,-38.69,-37.364,-6.352,-13.805,-12.592,12.897,-30.438,-27.53,-24.909,2.541,-3.765,-5.723,-2.976,-17.587,-32.738,-9.058,-6.352,-10.04,-5.723,-32.738,-68.317,-36.458,5.661,31.758,46.436,,12.897,-0.676,12.649,-14.719,,-3.765,-1.145,-22.817,-44.643,-36.458,-35.1,-25.407,-26.355,-29.762,-35.714,-26.38,-45.387
Montana,Flathead County,residential,-0.8,-0.49,-1.326,-0.989,-0.434,-2.569,-1.92,-1.809,-0.939,-1.292,-0.231,-0.498,-1.206,-0.957,-0.478,-0.996,-0.452,-0.17,-0.505,0.579,3.839,0.948,3.879,6.709,7.061,9.926,11.396,7.542,6.136,11.068,13.28,13.25,14.168,15.467,13.172,10.308,14.675,16.186,18.102,19.243,19.369,12.06,10.332
Montana,Flathead County,retail/recreation,15.4,1.264,10.064,11.477,10.597,12.758,18.024,26.496,11.546,20.045,10.527,10.597,8.293,11.795,20.374,8.933,15.013,8.469,9.169,3.508,-8.084,9.47,3.624,-5.535,-18.205,-23.749,-33.106,-42.276,-36.444,-35.818,-36.651,-38.944,-36.977,-37.444,-62.288,-55.096,-46.942,-45.961,-50.975,-48.701,-48.097,-50.626,-49.549
Montana,Flathead County,transitstations,0.906,1.64,0.801,1.478,2.894,5.593,8.17,7.246,-1.64,9.615,2.955,7.957,2.796,3.404,,13.123,5.609,1.478,0.723,2.796,3.404,10.87,12.303,-1.603,-14.037,-16.638,-13.982,-29.956,-33.514,-27.067,-25.641,-39.155,-33.999,-24.469,-58.551,-51.63,-45.112,-46.474,-50.975,-49.19,-46.84,-49.7,-48.007
Montana,Flathead County,workplace,1.73,3.54,2.754,4.085,2.874,2.028,4.878,4.153,5.057,3.472,3.364,3.352,3.041,4.878,2.076,4.172,2.634,2.763,1.437,-0.38,-5.165,-2.076,-15.423,-18.08,-21.386,-22.749,-27.626,-26.113,-35.299,-32.362,-36.518,-36.524,-37.117,-38.144,-38.166,-43.951,-41.212,-43.582,-45.295,-44.54,-44.353,-39.888,-42.913
Montana,Gallatin County,grocery/pharmacy,3.75,2.075,0.619,2.645,5.136,4.924,4.587,6.458,4.565,2.269,4.476,7.602,8.333,8.028,2.083,3.113,2.063,5.086,18.286,27.083,17.393,-0.833,26.353,4.744,-9.155,-9.04,-6.061,-12.232,-17.708,-16.393,-20.833,-21.769,-8.629,-6.439,-39.564,-40.625,-32.578,-32.797,-33.162,-25.682,-23.674,-27.141,-35.208
Montana,Gallatin County,parks,22.866,-15.783,13.228,-3.019,13.204,25.374,-15.191,17.785,3.157,13.228,-1.51,10.27,37.393,20.616,-2.541,1.578,24.802,9.058,13.204,-14.69,-50.998,-31.758,,24.802,-3.019,-14.671,37.393,59.679,62.246,17.361,-13.228,-7.548,22.007,2.671,-11.936,63.516,22.096,-8.267,-27.174,-14.671,-5.342,8.681,40.65
Montana,Gallatin County,residential,-0.662,-0.352,-0.895,-0.79,-0.791,-0.674,-0.362,-1.534,-0.722,-0.31,0.474,-1.125,-0.48,-1.327,-0.034,-0.464,-1.146,-0.667,-1.138,1.068,4.791,4.276,6.544,9.933,13.778,15.653,16.488,9.653,8.32,15.201,19.578,20.057,19.388,21.192,17.878,12.609,19.748,23.538,24.881,24.603,25.375,15.781,12.564
