state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
NI,Overall,2020-02-23,-0.58,-2.219,1.082,-1.021,-3.093,0.832
NI,Overall,2020-02-24,-0.404,-2.063,-0.774,-0.86,-0.22,14.563
NI,Overall,2020-02-25,-2.928,-1.319,-0.347,-3.599,-2.963,11.229
NI,Overall,2020-02-26,-6.214,0.473,-0.681,-5.108,-2.327,12.041
NI,Overall,2020-02-27,-4.503,-2.943,0.014,-2.552,-2.887,10.938
NI,Overall,2020-02-28,1.704,-1.082,-1.667,3.792,-0.435,13.724
NI,Overall,2020-02-29,6.831,1.291,-0.464,4.186,0.475,6.692
NI,Overall,2020-03-01,7.162,-1.564,0.256,7.466,0.265,2.82
NI,Overall,2020-03-02,5.373,-1.092,-1.039,0.516,0.66,15.627
NI,Overall,2020-03-03,2.278,-0.24,-1.038,0.043,0.152,13.96
NI,Overall,2020-03-04,-1.597,-1.124,-0.847,-4.094,1.861,13.085
NI,Overall,2020-03-05,2.078,2.366,-0.663,1.082,2.107,12.738
NI,Overall,2020-03-06,4.386,0.379,-1.826,2.207,4.057,15.949
NI,Overall,2020-03-07,4.289,0.861,-0.219,1.636,0.34,5.111
NI,Overall,2020-03-08,3.819,-1.412,0.657,1.952,-2.474,2.404
NI,Overall,2020-03-09,2.542,-2.245,-1.251,-1.678,-0.513,16.691
NI,Overall,2020-03-10,2.011,-2.698,-1.197,-1.5,0.988,16.366
NI,Overall,2020-03-11,-0.61,-2.898,-0.952,-4.363,-1.241,14.282
NI,Overall,2020-03-12,0.52,-2.308,-0.442,-4.552,-0.936,13.648
NI,Overall,2020-03-13,6.258,-1.299,-1.969,-0.113,0.29,16.796
NI,Overall,2020-03-14,9.681,-0.478,-0.624,1.533,-0.34,4.377
NI,Overall,2020-03-15,9.48,-1.261,0.475,-1.362,-0.707,2.542
NI,Overall,2020-03-16,10.371,-0.607,-1.401,-1.699,-1.54,15.453
NI,Overall,2020-03-17,7.365,-4.197,-0.33,-5.12,-3.343,13.692
NI,Overall,2020-03-18,3.456,-3.844,-0.092,-8.954,-4.188,12.003
NI,Overall,2020-03-19,9.554,-12.061,4.025,-18.494,-8.662,3.658
NI,Overall,2020-03-20,-3.38,-16.128,5.459,-22.715,-13.693,0.335
NI,Overall,2020-03-21,-11.941,-25.772,9.432,-35.224,-25.541,-9.29
NI,Overall,2020-03-22,-22.542,-33.039,10.238,-44.707,-33.493,-12.805
NI,Overall,2020-03-23,-14.617,-19.782,8.406,-29.08,-24.206,-7.968
NI,Overall,2020-03-24,-18.546,-21.464,9.182,-32.411,-27.424,-12.585
NI,Overall,2020-03-25,-22.127,-22.0,9.586,-34.926,-27.222,-14.035
NI,Overall,2020-03-26,-24.072,-23.43,10.901,-36.008,-28.406,-15.544
NI,Overall,2020-03-27,-21.064,-23.381,10.754,-35.903,-29.849,-15.398
NI,Overall,2020-03-28,-19.953,-28.259,11.451,-40.27,-33.692,-17.224
NI,Overall,2020-03-29,-24.827,-31.172,10.768,-45.047,-38.442,-16.641
NI,Overall,2020-03-30,-15.83,-20.268,8.908,-28.779,-29.341,-12.939
NI,Overall,2020-03-31,-14.79,-18.226,8.397,-27.548,-28.108,-14.666
NI,Overall,2020-04-01,-15.913,-18.57,8.725,-29.384,-25.981,-15.516
NI,Overall,2020-04-02,-16.365,-17.255,9.759,-29.721,-25.051,-16.643
NI,Overall,2020-04-03,-12.292,-15.587,8.571,-27.13,-23.474,-13.547
NI,Overall,2020-04-04,-12.557,-20.321,9.676,-33.14,-28.122,-17.252
NI,Overall,2020-04-05,-20.086,-24.817,8.862,-39.986,-35.26,-16.04
