state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
NL,Drenthe,grocery/pharmacy,-0.346,-2.406,11.063,4.58,7.51,6.667,3.303,1.844,0.354,0.862,0.262,2.482,1.611,1.385,1.613,4.671,-1.796,3.926,13.323,24.444,6.181,11.869,17.408,8.477,3.01,1.437,-4.611,-9.644,-21.433,-8.35,-11.71,-16.358,-14.694,-16.389,-19.874,-31.342,-22.079,-14.152,-17.47,-14.89,-13.389,-17.69,-15.556
NL,Drenthe,parks,-36.188,50.328,62.123,53.309,24.573,24.783,14.066,-2.367,2.926,16.315,19.608,3.739,4.647,49.042,-17.587,14.63,-8.158,33.088,-3.739,1.162,21.29,13.866,32.186,34.513,29.412,9.081,-8.519,11.025,11.837,13.46,25.728,40.441,19.765,0.774,-0.38,-27.733,-11.119,44.553,12.868,0.534,-13.166,5.703,22.321
NL,Drenthe,residential,0.777,2.281,0.373,0.402,0.824,0.458,0.961,0.309,0.839,0.43,0.219,0.41,0.929,-0.408,0.357,0.493,1.471,0.509,2.067,4.585,5.294,4.411,11.226,13.792,13.701,16.135,15.873,11.528,8.273,15.735,17.185,15.908,17.959,17.273,12.521,9.531,17.03,16.452,15.892,17.868,17.047,11.583,7.061
NL,Drenthe,retail/recreation,6.208,-0.41,14.145,7.49,3.641,7.461,0.152,7.436,-1.055,4.049,1.721,0.694,2.716,4.43,3.138,2.345,-1.683,3.675,-4.422,-4.672,-13.138,-22.853,-17.058,-22.979,-30.287,-35.372,-40.348,-46.182,-55.392,-28.489,-37.597,-41.36,-43.999,-45.129,-52.159,-63.305,-39.568,-34.389,-40.615,-42.135,-43.862,-47.608,-44.136
NL,Drenthe,transitstations,34.424,-4.713,0.951,0.487,-2.097,4.312,9.158,8.494,-5.185,-3.33,-1.947,-3.729,-0.227,15.644,-4.918,-1.178,-8.324,-3.407,-7.69,-20.652,-16.789,-28.165,-47.841,-54.462,-56.221,-61.987,-58.551,-40.446,-45.154,-64.103,-63.499,-63.522,-64.318,-63.998,-50.366,-59.907,-68.58,-61.121,-63.522,-65.716,-62.636,-43.88,-34.424
NL,Drenthe,workplace,,-4.27,3.15,3.98,3.939,4.117,2.469,2.541,3.894,2.827,3.634,3.651,2.59,2.623,1.848,3.266,2.02,2.422,2.38,-5.366,-1.389,-5.774,-32.992,-41.319,-40.966,-43.406,-41.121,-20.525,-25.176,-45.845,-48.832,-47.974,-48.904,-46.44,-23.611,-29.795,-48.901,-49.317,-47.455,-48.904,-45.515,-21.914,-23.328
NL,Flevoland,grocery/pharmacy,-5.82,-5.083,10.374,4.172,1.482,5.214,2.285,-2.367,-3.621,2.504,0.942,-1.887,2.607,-1.003,-0.493,0.348,-1.645,2.355,11.185,28.619,12.206,13.415,19.148,11.876,3.701,1.482,-1.6,-8.639,-17.065,-7.52,-9.801,-12.718,-11.993,-12.088,-16.832,-26.338,-21.307,-13.951,-17.092,-15.699,-11.732,-14.101,-15.881
NL,Flevoland,parks,-22.249,-3.617,38.333,16.975,-4.139,10.04,-2.063,9.102,-16.638,34.167,44.753,-0.69,5.02,70.132,-7.079,1.447,2.5,33.179,2.759,-3.138,28.362,13.653,52.083,75.0,60.957,24.145,17.57,57.24,54.612,31.105,63.333,82.562,51.049,57.103,40.223,-5.562,10.127,90.0,55.556,22.075,25.1,63.428,102.65
NL,Flevoland,residential,1.106,1.573,0.492,0.326,0.876,0.098,0.822,0.407,1.128,0.214,-0.155,0.948,0.187,-0.547,0.684,0.928,1.734,0.864,2.533,5.349,5.455,5.073,14.318,16.851,16.521,19.801,18.506,12.236,9.109,19.165,20.875,19.161,21.603,19.878,13.287,10.318,20.293,20.187,18.835,21.53,19.775,12.644,8.014
NL,Flevoland,retail/recreation,-7.661,-2.84,13.613,5.516,1.606,5.48,2.857,7.219,-3.633,9.481,4.284,-4.196,3.683,5.3,-1.252,0.33,-3.646,1.339,-4.299,-5.39,-11.09,-25.342,-16.844,-22.061,-29.884,-35.896,-37.283,-41.614,-52.157,-30.913,-36.039,-41.399,-42.889,-43.616,-47.591,-58.05,-38.377,-34.52,-40.114,-42.941,-42.718,-41.877,-43.243
