state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
NO,Agder,grocery/pharmacy,8.636,5.439,-4.893,6.677,5.149,8.415,-5.108,-4.858,2.874,-5.219,4.785,2.789,4.872,0.73,-11.874,2.976,-0.435,8.458,51.386,4.872,-10.946,-44.257,-7.081,-17.941,-14.69,-12.23,-14.349,-12.496,-25.367,-12.726,-13.7,-12.131,-10.513,-9.743,-10.307,-21.589,-9.955,-5.002,-5.119,-5.9,-4.075,-7.206,-8.096
NO,Agder,parks,-29.601,23.046,-18.079,12.401,2.561,23.641,-34.926,-58.079,-1.844,-31.853,3.307,29.884,19.947,28.799,-68.57,9.218,-29.27,-7.44,-15.369,7.388,24.51,-76.064,29.499,17.218,28.108,29.884,43.587,56.985,-7.494,,12.913,19.015,60.622,38.416,40.441,-1.124,35.951,26.687,14.881,-19.638,23.641,-11.029,24.73
NO,Agder,residential,-1.823,0.258,0.519,0.091,0.72,0.646,0.172,0.317,0.783,0.548,0.868,0.212,0.441,0.126,0.74,1.056,1.673,2.519,5.327,14.423,8.177,10.713,17.604,19.261,20.091,20.384,21.078,9.208,11.795,19.565,20.287,20.243,19.886,20.735,10.2,11.462,17.992,18.294,18.541,19.812,19.49,9.197,10.685
NO,Agder,retail/recreation,-6.692,4.019,-9.044,1.33,-2.023,3.986,-8.182,-11.599,-0.652,-5.214,-1.433,2.933,1.24,-7.422,-17.398,-4.997,-9.789,-7.981,-5.057,-32.153,-50.354,-75.17,-38.452,-44.476,-45.842,-42.678,-42.783,-51.451,-62.678,-38.017,-41.603,-41.032,-39.846,-39.417,-47.571,-61.786,-32.912,-32.24,-36.325,-36.812,-33.394,-40.823,-53.979
NO,Agder,transitstations,-1.276,10.092,-1.742,7.563,7.125,12.897,-12.2,-13.18,5.407,-11.148,3.782,6.786,8.598,0.938,-23.81,5.046,-11.148,-6.876,-16.965,-28.439,-17.361,-59.524,-31.719,-41.806,-41.598,-41.735,-37.368,-22.053,-40.391,-40.73,-42.154,-39.191,-34.948,-39.352,-26.276,-40.391,-33.881,-33.096,-34.378,-43.092,-32.407,-33.784,-24.235
NO,Agder,workplace,-2.561,-0.079,-0.801,1.057,-1.125,-0.43,-2.541,,0.237,-0.24,0.651,-0.965,-0.43,-2.223,-4.696,-1.027,-1.922,-1.22,-9.565,-36.183,-24.136,-31.165,-48.332,-51.403,-52.124,-52.887,-51.911,-31.123,-34.58,-52.518,-52.524,-51.23,-51.681,-50.708,-30.805,-32.445,-50.78,-50.522,-49.928,-50.797,-49.247,-29.535,-26.895
NO,Innlandet,grocery/pharmacy,33.404,3.806,4.091,1.694,2.137,1.51,-0.302,4.395,2.744,0.666,-2.164,5.431,5.421,2.642,2.198,3.717,4.186,8.281,47.988,1.716,-13.662,-44.392,-11.771,-19.311,-21.737,-16.204,-21.821,-20.003,-41.315,-18.143,-17.028,-16.091,-17.094,-20.38,-15.474,-38.238,-14.426,-8.562,-8.469,-7.39,-13.107,-8.681,-32.085
NO,Innlandet,parks,41.813,37.393,20.559,39.232,16.957,31.25,13.518,-30.81,-2.671,,,27.859,18.75,25.445,-37.412,13.355,1.371,24.351,13.324,-3.125,19.084,-52.083,1.335,9.594,13.528,9.69,,33.397,-16.872,-9.348,-2.741,4.058,19.38,-2.083,-11.927,-8.803,-1.335,10.965,10.823,-21.802,-12.5,3.181,-15.405
NO,Innlandet,residential,-2.417,0.689,0.682,0.413,1.528,1.196,-0.667,0.786,1.218,0.795,1.872,0.456,0.4,0.074,2.053,1.207,1.788,2.486,4.162,11.489,7.513,11.116,16.343,17.168,18.168,18.709,18.431,9.134,11.431,18.019,17.903,17.751,17.973,17.839,10.016,10.823,16.835,15.918,16.084,18.17,16.486,8.184,11.24
NO,Innlandet,retail/recreation,24.735,9.01,8.421,7.931,3.009,8.797,8.431,4.877,-2.105,-0.926,-8.013,1.003,3.865,2.578,-5.923,-2.61,-2.61,-4.661,-3.472,-33.922,-49.052,-76.47,-42.526,-46.82,-48.404,-46.759,-48.185,-55.045,-73.161,-43.115,-47.41,-45.624,-46.682,-46.185,-49.47,-68.632,-39.662,-36.715,-35.485,-37.731,-35.589,-40.761,-71.244
NO,Innlandet,transitstations,14.817,4.223,-2.414,-0.342,-2.68,-0.62,5.232,0.898,0.704,-3.794,-1.708,2.01,5.58,14.745,-2.694,1.056,-7.933,-10.246,-15.407,-41.543,-38.052,-61.063,-45.397,-51.049,-53.279,-53.256,-56.114,-45.186,-58.818,-53.139,-55.533,-53.279,-52.921,-56.424,-48.992,-56.124,-51.028,-48.289,-48.839,-55.6,-53.013,-39.003,-54.777
NO,Innlandet,workplace,2.063,-8.752,-8.459,-7.982,-10.66,-11.283,-0.77,0.344,-0.987,-0.466,-2.165,-1.417,-0.437,,-1.375,-1.974,-2.398,-2.57,-8.366,-28.972,-21.039,-24.752,-44.286,-47.688,-48.228,-48.845,-47.825,-32.841,-31.284,-48.497,-48.886,-47.619,-47.9,-46.806,-32.841,-33.003,-47.839,-47.088,-46.266,-47.023,-44.768,-29.505,-33.347
NO,Oslo,grocery/pharmacy,5.514,-1.219,0.123,-0.183,2.047,6.492,-2.349,-4.529,0.055,-1.288,-2.679,3.412,4.637,-1.014,-9.452,-0.443,0.981,13.028,58.939,12.637,-9.343,-42.533,-11.913,-13.55,-15.342,-12.967,-5.275,-9.023,-31.309,-17.453,-17.78,-14.977,-12.346,-4.0,-6.247,-27.174,-14.96,-7.725,-9.924,-7.321,2.493,-1.442,-27.962
NO,Oslo,parks,12.807,15.671,-0.453,8.715,-2.741,14.313,-22.594,-45.893,0.461,-12.228,-11.62,14.098,5.169,-4.108,-47.601,14.749,-10.87,18.675,2.35,5.566,8.803,-69.8,32.264,32.156,36.106,34.07,40.553,55.751,-26.895,-4.148,-14.946,3.32,14.881,17.891,34.624,-6.831,35.49,62.5,30.71,-7.049,42.939,35.211,-27.749
NO,Oslo,residential,-2.892,-0.265,0.058,0.293,0.308,-0.034,0.573,2.105,1.206,1.172,1.741,0.691,1.013,1.174,2.397,1.84,2.701,4.574,11.034,22.197,11.082,14.985,25.737,26.647,27.874,28.168,29.341,12.392,15.748,28.107,28.532,28.481,28.723,29.416,12.444,14.561,26.711,25.449,26.935,28.313,27.447,11.722,15.42
NO,Oslo,retail/recreation,0.136,0.063,0.484,1.042,0.639,2.445,-5.276,-20.924,-2.419,-5.048,-6.917,-0.639,-4.864,-9.543,-21.287,-5.749,-9.582,-9.754,-21.239,-45.323,-56.224,-81.926,-48.659,-54.29,-55.311,-55.683,-55.6,-59.367,-75.118,-53.466,-58.129,-57.25,-57.49,-56.648,-58.426,-71.078,-48.659,-48.728,-50.709,-54.21,-49.589,-54.366,-75.663
NO,Oslo,transitstations,0.553,-2.928,-5.204,-4.206,-2.968,-2.203,-8.108,-12.913,-4.791,-6.253,-4.716,0.636,-4.744,-8.108,-19.862,-8.34,-11.676,-15.209,-33.069,-54.095,-56.869,-72.806,-63.219,-66.427,-66.74,-67.325,-67.185,-59.572,-69.055,-69.341,-70.363,-69.629,-68.681,-67.821,-62.444,-67.087,-65.082,-64.022,-65.805,-69.148,-63.5,-59.347,-69.301
NO,Oslo,workplace,0.445,0.814,1.837,1.716,1.242,0.623,-0.322,-1.335,-0.916,-0.442,-0.926,-1.656,-1.648,-2.576,-5.342,-2.104,-3.504,-6.485,-24.007,-53.402,-30.429,-38.506,-64.977,-68.004,-68.381,-69.019,-68.309,-44.436,-46.741,-69.286,-70.079,-69.307,-69.123,-67.979,-45.08,-46.964,-68.2,-68.038,-67.763,-68.226,-66.331,-43.309,-46.074
