state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
NZ,Overall,2020-02-23,3.4,-9.781,0.849,4.601,1.969,0.706
NZ,Overall,2020-02-24,-0.675,-0.606,-2.946,-0.611,17.594,32.056
NZ,Overall,2020-02-25,0.659,6.712,-1.363,-1.438,9.736,15.516
NZ,Overall,2020-02-26,4.761,2.437,-1.798,0.214,11.763,15.556
NZ,Overall,2020-02-27,0.548,-6.247,-1.574,-0.059,12.308,18.901
NZ,Overall,2020-02-28,4.075,-3.772,-1.82,4.148,12.573,18.727
NZ,Overall,2020-02-29,13.311,-2.175,0.467,6.288,2.529,5.363
NZ,Overall,2020-03-01,4.303,-1.375,0.551,1.13,8.086,0.96
NZ,Overall,2020-03-02,-1.12,-10.391,-2.422,-4.014,16.113,33.809
NZ,Overall,2020-03-03,-0.437,-5.886,-1.007,-4.014,7.874,16.951
NZ,Overall,2020-03-04,-0.022,-17.434,-0.568,-1.734,8.631,15.928
NZ,Overall,2020-03-05,1.491,-14.884,-1.265,-0.358,10.146,19.944
NZ,Overall,2020-03-06,2.226,-8.925,-1.272,3.516,8.958,19.038
NZ,Overall,2020-03-07,3.762,2.341,0.603,6.85,2.945,5.877
NZ,Overall,2020-03-08,4.002,-6.039,0.802,2.584,4.605,0.634
NZ,Overall,2020-03-09,-3.685,-18.231,-1.556,-5.745,12.487,30.527
NZ,Overall,2020-03-10,-1.754,-10.819,-0.412,-4.458,5.608,16.369
NZ,Overall,2020-03-11,-1.821,-14.191,-0.809,-2.68,7.483,15.919
NZ,Overall,2020-03-12,-0.845,-15.104,-1.133,-1.703,6.962,18.956
NZ,Overall,2020-03-13,0.464,-11.673,-0.943,1.816,5.757,18.343
NZ,Overall,2020-03-14,3.194,0.346,0.823,3.719,-1.889,6.053
NZ,Overall,2020-03-15,6.257,-7.655,1.489,-1.422,-2.461,1.231
NZ,Overall,2020-03-16,5.178,-19.506,-1.291,-7.488,2.86,30.492
NZ,Overall,2020-03-17,10.408,-22.189,1.209,-8.572,-9.163,12.679
NZ,Overall,2020-03-18,12.739,-21.562,1.908,-8.233,-9.922,10.43
NZ,Overall,2020-03-19,22.273,-33.92,3.146,-10.242,-14.256,12.138
NZ,Overall,2020-03-20,12.147,-37.408,5.342,-13.08,-20.518,9.485
NZ,Overall,2020-03-21,6.301,-37.826,7.629,-16.857,-32.201,0.162
NZ,Overall,2020-03-22,-4.428,-36.361,8.07,-25.399,-36.387,-7.606
NZ,Overall,2020-03-23,29.026,-49.759,6.274,-11.803,-34.371,5.565
NZ,Overall,2020-03-24,12.299,-52.444,15.568,-19.44,-51.041,-32.016
NZ,Overall,2020-03-25,4.067,-52.441,20.331,-38.423,-60.677,-49.505
NZ,Overall,2020-03-26,-57.786,-76.899,35.336,-91.681,-83.636,-73.774
NZ,Overall,2020-03-27,-47.644,-79.851,38.242,-90.782,-84.466,-74.103
NZ,Overall,2020-03-28,-53.52,-80.54,26.149,-91.79,-84.601,-62.984
NZ,Overall,2020-03-29,-54.432,-77.897,22.126,-91.226,-84.164,-59.524
NZ,Overall,2020-03-30,-43.566,-73.217,30.511,-88.294,-85.289,-71.117
NZ,Overall,2020-03-31,-38.537,-65.804,33.461,-87.542,-85.235,-74.825
NZ,Overall,2020-04-01,-38.417,-65.983,33.824,-87.081,-84.681,-74.588
NZ,Overall,2020-04-02,-37.081,-69.182,34.492,-87.726,-85.227,-73.979
NZ,Overall,2020-04-03,-37.492,-72.547,37.115,-89.37,-86.562,-73.503
NZ,Overall,2020-04-04,-46.166,-74.599,24.987,-90.793,-84.28,-60.457
NZ,Overall,2020-04-05,-47.859,-73.63,21.305,-90.585,-84.375,-57.279
