state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Nevada,Overall,2020-02-23,4.318,26.927,-0.555,4.88,5.074,-0.327
Nevada,Overall,2020-02-24,2.62,13.688,-0.279,3.344,3.704,2.56
Nevada,Overall,2020-02-25,2.705,6.465,0.605,4.878,2.036,-2.075
Nevada,Overall,2020-02-26,6.15,12.447,-1.157,8.739,5.684,1.53
Nevada,Overall,2020-02-27,5.097,11.627,-0.94,7.957,4.529,1.133
Nevada,Overall,2020-02-28,3.824,11.763,-0.923,5.741,2.467,1.615
Nevada,Overall,2020-02-29,6.071,4.102,-1.087,6.921,4.001,-0.203
Nevada,Overall,2020-03-01,3.782,2.515,-0.061,6.575,0.487,-1.096
Nevada,Overall,2020-03-02,6.845,0.889,-0.309,6.124,-1.43,2.646
Nevada,Overall,2020-03-03,11.181,9.138,-0.875,8.52,-0.679,1.635
Nevada,Overall,2020-03-04,9.398,13.933,-0.76,6.61,3.628,1.462
Nevada,Overall,2020-03-05,10.058,13.444,-0.789,6.014,0.575,1.194
Nevada,Overall,2020-03-06,7.234,14.172,-0.323,2.58,-1.909,1.807
Nevada,Overall,2020-03-07,4.892,0.027,-0.156,1.706,-0.153,-0.258
Nevada,Overall,2020-03-08,6.766,21.601,-0.215,3.823,0.461,0.229
Nevada,Overall,2020-03-09,7.86,15.199,1.352,4.286,-0.469,-6.989
Nevada,Overall,2020-03-10,6.636,-4.526,1.067,1.823,-6.333,-0.831
Nevada,Overall,2020-03-11,10.78,10.917,0.523,5.129,-0.787,-0.374
Nevada,Overall,2020-03-12,13.006,-3.27,1.108,2.285,-8.346,-1.486
Nevada,Overall,2020-03-13,23.759,-7.724,2.613,1.01,-11.089,-3.705
Nevada,Overall,2020-03-14,22.366,-19.308,3.168,-5.585,-9.302,-5.342
Nevada,Overall,2020-03-15,21.246,-1.516,3.198,-6.284,-16.76,-7.41
Nevada,Overall,2020-03-16,27.819,-14.088,6.943,-4.531,-19.223,-20.485
Nevada,Overall,2020-03-17,21.177,-25.301,9.406,-11.517,-22.795,-26.019
Nevada,Overall,2020-03-18,11.899,-36.448,14.29,-26.673,-28.901,-35.653
Nevada,Overall,2020-03-19,-1.514,-39.081,17.311,-35.599,-44.602,-42.922
Nevada,Overall,2020-03-20,-3.191,-42.268,19.527,-37.602,-49.526,-44.838
Nevada,Overall,2020-03-21,-12.556,-41.051,15.126,-46.238,-48.037,-46.192
Nevada,Overall,2020-03-22,-18.977,-23.709,12.86,-46.43,-56.969,-48.582
Nevada,Overall,2020-03-23,-15.885,-36.797,18.364,-41.082,-54.247,-47.65
Nevada,Overall,2020-03-24,-14.29,-35.99,19.346,-39.825,-50.867,-49.956
Nevada,Overall,2020-03-25,-14.635,-41.8,20.061,-40.952,-50.697,-50.569
Nevada,Overall,2020-03-26,-16.075,-42.674,20.539,-41.655,-55.615,-51.518
Nevada,Overall,2020-03-27,-16.817,-43.614,22.235,-42.911,-57.334,-51.625
Nevada,Overall,2020-03-28,-19.217,-49.557,16.254,-47.093,-54.407,-50.191
Nevada,Overall,2020-03-29,-23.089,-37.579,14.145,-46.773,-61.864,-52.164
Nevada,Overall,2020-03-30,-15.679,-29.109,18.448,-39.886,-55.747,-50.598
Nevada,Overall,2020-03-31,-11.878,-28.318,19.331,-37.477,-50.716,-52.017
Nevada,Overall,2020-04-01,-7.2,-28.631,19.737,-36.666,-49.809,-52.486
Nevada,Overall,2020-04-02,-11.613,-36.376,21.031,-40.311,-56.58,-53.763
Nevada,Overall,2020-04-03,-11.532,-37.237,22.455,-40.572,-56.84,-53.552
Nevada,Overall,2020-04-04,-16.106,-52.674,17.069,-47.693,-56.599,-52.781
Nevada,Overall,2020-04-05,-22.374,-45.864,14.848,-48.819,-64.221,-54.684
