state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Nevada,Carson City,2020-02-23,10.417,26.927,-0.555,5.856,5.074,0.613
Nevada,Carson City,2020-02-24,2.741,13.688,-0.279,-2.855,3.704,2.609
Nevada,Carson City,2020-02-25,7.485,6.465,0.605,3.75,2.036,-1.897
Nevada,Carson City,2020-02-26,11.444,12.447,-1.157,7.234,5.684,2.076
Nevada,Carson City,2020-02-27,10.723,11.627,-0.94,7.052,4.529,1.695
Nevada,Carson City,2020-02-28,7.852,11.763,-0.923,0.586,2.467,4.306
Nevada,Carson City,2020-02-29,16.048,4.102,-1.087,3.116,4.001,-0.96
Nevada,Carson City,2020-03-01,3.581,2.515,-0.061,-5.76,0.487,0.613
Nevada,Carson City,2020-03-02,14.924,0.889,-0.309,5.618,-1.43,4.014
Nevada,Carson City,2020-03-03,16.218,9.138,-0.875,9.376,-0.679,2.656
Nevada,Carson City,2020-03-04,8.509,13.933,-0.76,6.239,3.628,1.698
Nevada,Carson City,2020-03-05,18.689,13.444,-0.789,9.729,0.575,1.319
Nevada,Carson City,2020-03-06,15.18,14.172,-0.323,0.147,-1.909,5.536
Nevada,Carson City,2020-03-07,15.465,0.027,-0.156,1.335,-0.153,3.36
Nevada,Carson City,2020-03-08,14.648,21.601,-0.215,8.161,0.461,2.451
Nevada,Carson City,2020-03-09,14.924,15.199,1.352,-0.737,-0.469,1.806
Nevada,Carson City,2020-03-10,15.594,-4.526,1.067,5.719,-6.333,1.518
Nevada,Carson City,2020-03-11,13.204,10.917,0.523,4.612,-0.787,-1.132
Nevada,Carson City,2020-03-12,27.88,-3.27,1.108,9.462,-8.346,-0.942
Nevada,Carson City,2020-03-13,33.763,-7.724,2.613,2.124,-11.089,-7.792
Nevada,Carson City,2020-03-14,30.345,-19.308,3.168,-10.684,-9.302,-4.8
Nevada,Carson City,2020-03-15,28.32,-1.516,3.198,-10.081,-16.76,-3.064
Nevada,Carson City,2020-03-16,42.337,-14.088,6.943,-7.644,-19.223,-17.662
Nevada,Carson City,2020-03-17,33.683,-25.301,9.406,-14.251,-22.795,-20.871
Nevada,Carson City,2020-03-18,20.54,-36.448,14.29,-24.595,-28.901,-26.23
Nevada,Carson City,2020-03-19,11.642,-39.081,17.311,-30.973,-44.602,-35.978
Nevada,Carson City,2020-03-20,9.684,-42.268,19.527,-32.964,-49.526,-34.449
Nevada,Carson City,2020-03-21,-0.875,-41.051,15.126,-42.661,-48.037,-33.602
Nevada,Carson City,2020-03-22,-11.068,-23.709,12.86,-38.402,-56.969,-33.701
Nevada,Carson City,2020-03-23,-12.792,-36.797,18.364,-38.314,-54.247,-36.729
Nevada,Carson City,2020-03-24,-7.485,-35.99,19.346,-36.566,-50.867,-41.743
Nevada,Carson City,2020-03-25,-14.671,-41.8,20.061,-38.61,-50.697,-42.459
Nevada,Carson City,2020-03-26,-9.498,-42.674,20.539,-37.4,-55.615,-42.759
Nevada,Carson City,2020-03-27,-7.59,-43.614,22.235,-39.63,-57.334,-41.831
Nevada,Carson City,2020-03-28,-5.544,-49.557,16.254,-44.664,-54.407,-38.402
Nevada,Carson City,2020-03-29,-13.672,-37.579,14.145,-37.922,-61.864,-36.765
Nevada,Carson City,2020-03-30,-11.269,-29.109,18.448,-40.064,-55.747,-39.138
Nevada,Carson City,2020-03-31,-4.054,-28.318,19.331,-31.878,-50.716,-43.64
Nevada,Carson City,2020-04-01,-4.695,-28.631,19.737,-33.004,-49.809,-44.724
Nevada,Carson City,2020-04-02,-3.064,-36.376,21.031,-34.633,-56.58,-45.208
Nevada,Carson City,2020-04-03,-1.047,-37.237,22.455,-35.601,-56.84,-43.881
Nevada,Carson City,2020-04-04,-0.875,-52.674,17.069,-45.332,-56.599,-43.203
Nevada,Carson City,2020-04-05,-17.578,-45.864,14.848,-46.659,-64.221,-45.343
Nevada,Churchill County,2020-02-23,10.87,26.927,-0.555,25.065,5.074,3.472
Nevada,Churchill County,2020-02-24,7.748,13.688,-0.279,26.821,3.704,2.778
Nevada,Churchill County,2020-02-25,,6.465,0.605,13.094,2.036,0.887
Nevada,Churchill County,2020-02-26,8.202,12.447,-1.157,22.922,5.684,2.179
Nevada,Churchill County,2020-02-27,12.207,11.627,-0.94,20.668,4.529,2.179
Nevada,Churchill County,2020-02-28,13.107,11.763,-0.923,22.075,2.467,-0.914
Nevada,Churchill County,2020-02-29,12.438,4.102,-1.087,22.142,4.001,-1.929
Nevada,Churchill County,2020-03-01,1.812,2.515,-0.061,21.81,0.487,-2.315
Nevada,Churchill County,2020-03-02,14.635,0.889,-0.309,32.123,-1.43,3.704
Nevada,Churchill County,2020-03-03,21.701,9.138,-0.875,25.023,-0.679,2.216
Nevada,Churchill County,2020-03-04,4.921,13.933,-0.76,20.601,3.628,1.743
Nevada,Churchill County,2020-03-05,8.138,13.444,-0.789,20.944,0.575,2.179
Nevada,Churchill County,2020-03-06,11.727,14.172,-0.323,20.925,-1.909,0.914
Nevada,Churchill County,2020-03-07,13.215,0.027,-0.156,18.871,-0.153,-0.965
Nevada,Churchill County,2020-03-08,11.775,21.601,-0.215,24.089,0.461,4.63
Nevada,Churchill County,2020-03-09,14.635,15.199,1.352,29.316,-0.469,3.241
Nevada,Churchill County,2020-03-10,17.361,-4.526,1.067,16.585,-6.333,3.103
Nevada,Churchill County,2020-03-11,10.663,10.917,0.523,17.119,-0.787,0.872
Nevada,Churchill County,2020-03-12,24.414,-3.27,1.108,21.219,-8.346,0.872
Nevada,Churchill County,2020-03-13,26.904,-7.724,2.613,21.155,-11.089,0.914
Nevada,Churchill County,2020-03-14,34.981,-19.308,3.168,17.11,-9.302,-0.965
Nevada,Churchill County,2020-03-15,31.703,-1.516,3.198,12.044,-16.76,
Nevada,Churchill County,2020-03-16,37.879,-14.088,6.943,15.594,-19.223,-13.426
Nevada,Churchill County,2020-03-17,34.722,-25.301,9.406,3.201,-22.795,-17.73
Nevada,Churchill County,2020-03-18,23.786,-36.448,14.29,-11.316,-28.901,-20.049
Nevada,Churchill County,2020-03-19,12.207,-39.081,17.311,-21.219,-44.602,-27.458
Nevada,Churchill County,2020-03-20,15.866,-42.268,19.527,-21.155,-49.526,-27.869
Nevada,Churchill County,2020-03-21,19.434,-41.051,15.126,-20.129,-48.037,-27.971
Nevada,Churchill County,2020-03-22,,-23.709,12.86,-17.253,-56.969,-23.148
Nevada,Churchill County,2020-03-23,-2.583,-36.797,18.364,-22.143,-54.247,-30.093
Nevada,Churchill County,2020-03-24,6.076,-35.99,19.346,-25.023,-50.867,-32.358
Nevada,Churchill County,2020-03-25,-9.843,-41.8,20.061,-29.596,-50.697,-32.688
Nevada,Churchill County,2020-03-26,-1.628,-42.674,20.539,-25.904,-55.615,-34.432
