state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Nevada,Carson City,grocery/pharmacy,10.417,2.741,7.485,11.444,10.723,7.852,16.048,3.581,14.924,16.218,8.509,18.689,15.18,15.465,14.648,14.924,15.594,13.204,27.88,33.763,30.345,28.32,42.337,33.683,20.54,11.642,9.684,-0.875,-11.068,-12.792,-7.485,-14.671,-9.498,-7.59,-5.544,-13.672,-11.269,-4.054,-4.695,-3.064,-1.047,-0.875,-17.578
Nevada,Carson City,parks,26.927,13.688,6.465,12.447,11.627,11.763,4.102,2.515,0.889,9.138,13.933,13.444,14.172,0.027,21.601,15.199,-4.526,10.917,-3.27,-7.724,-19.308,-1.516,-14.088,-25.301,-36.448,-39.081,-42.268,-41.051,-23.709,-36.797,-35.99,-41.8,-42.674,-43.614,-49.557,-37.579,-29.109,-28.318,-28.631,-36.376,-37.237,-52.674,-45.864
Nevada,Carson City,residential,-0.555,-0.279,0.605,-1.157,-0.94,-0.923,-1.087,-0.061,-0.309,-0.875,-0.76,-0.789,-0.323,-0.156,-0.215,1.352,1.067,0.523,1.108,2.613,3.168,3.198,6.943,9.406,14.29,17.311,19.527,15.126,12.86,18.364,19.346,20.061,20.539,22.235,16.254,14.145,18.448,19.331,19.737,21.031,22.455,17.069,14.848
Nevada,Carson City,retail/recreation,5.856,-2.855,3.75,7.234,7.052,0.586,3.116,-5.76,5.618,9.376,6.239,9.729,0.147,1.335,8.161,-0.737,5.719,4.612,9.462,2.124,-10.684,-10.081,-7.644,-14.251,-24.595,-30.973,-32.964,-42.661,-38.402,-38.314,-36.566,-38.61,-37.4,-39.63,-44.664,-37.922,-40.064,-31.878,-33.004,-34.633,-35.601,-45.332,-46.659
Nevada,Carson City,transitstations,5.074,3.704,2.036,5.684,4.529,2.467,4.001,0.487,-1.43,-0.679,3.628,0.575,-1.909,-0.153,0.461,-0.469,-6.333,-0.787,-8.346,-11.089,-9.302,-16.76,-19.223,-22.795,-28.901,-44.602,-49.526,-48.037,-56.969,-54.247,-50.867,-50.697,-55.615,-57.334,-54.407,-61.864,-55.747,-50.716,-49.809,-56.58,-56.84,-56.599,-64.221
Nevada,Carson City,workplace,0.613,2.609,-1.897,2.076,1.695,4.306,-0.96,0.613,4.014,2.656,1.698,1.319,5.536,3.36,2.451,1.806,1.518,-1.132,-0.942,-7.792,-4.8,-3.064,-17.662,-20.871,-26.23,-35.978,-34.449,-33.602,-33.701,-36.729,-41.743,-42.459,-42.759,-41.831,-38.402,-36.765,-39.138,-43.64,-44.724,-45.208,-43.881,-43.203,-45.343
Nevada,Churchill County,grocery/pharmacy,10.87,7.748,,8.202,12.207,13.107,12.438,1.812,14.635,21.701,4.921,8.138,11.727,13.215,11.775,14.635,17.361,10.663,24.414,26.904,34.981,31.703,37.879,34.722,23.786,12.207,15.866,19.434,,-2.583,6.076,-9.843,-1.628,-4.139,,-11.775,-1.722,,-0.82,,-0.69,-2.332,-15.399
Nevada,Churchill County,parks,26.927,13.688,6.465,12.447,11.627,11.763,4.102,2.515,0.889,9.138,13.933,13.444,14.172,0.027,21.601,15.199,-4.526,10.917,-3.27,-7.724,-19.308,-1.516,-14.088,-25.301,-36.448,-39.081,-42.268,-41.051,-23.709,-36.797,-35.99,-41.8,-42.674,-43.614,-49.557,-37.579,-29.109,-28.318,-28.631,-36.376,-37.237,-52.674,-45.864
Nevada,Churchill County,residential,-0.555,-0.279,0.605,-1.157,-0.94,-0.923,-1.087,-0.061,-0.309,-0.875,-0.76,-0.789,-0.323,-0.156,-0.215,1.352,1.067,0.523,1.108,2.613,3.168,3.198,6.943,9.406,14.29,17.311,19.527,15.126,12.86,18.364,19.346,20.061,20.539,22.235,16.254,14.145,18.448,19.331,19.737,21.031,22.455,17.069,14.848
Nevada,Churchill County,retail/recreation,25.065,26.821,13.094,22.922,20.668,22.075,22.142,21.81,32.123,25.023,20.601,20.944,20.925,18.871,24.089,29.316,16.585,17.119,21.219,21.155,17.11,12.044,15.594,3.201,-11.316,-21.219,-21.155,-20.129,-17.253,-22.143,-25.023,-29.596,-25.904,-26.444,-26.167,-28.32,-20.272,-21.823,-18.86,-24.25,-21.615,-33.716,-32.878
