state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
New Jersey,Atlantic County,2020-02-23,6.868,82.428,-0.632,5.473,10.776,2.096
New Jersey,Atlantic County,2020-02-24,3.594,29.762,-0.351,1.542,-1.335,3.046
New Jersey,Atlantic County,2020-02-25,-0.999,-15.851,1.133,-0.432,3.931,3.327
New Jersey,Atlantic County,2020-02-26,6.149,7.595,-1.062,9.184,10.727,3.201
New Jersey,Atlantic County,2020-02-27,6.063,3.289,-0.51,8.322,6.51,1.975
New Jersey,Atlantic County,2020-02-28,8.132,-5.531,-0.585,7.519,7.58,3.318
New Jersey,Atlantic County,2020-02-29,7.192,14.881,-1.533,22.384,11.026,4.628
New Jersey,Atlantic County,2020-03-01,11.851,23.551,-0.863,9.824,6.585,2.515
New Jersey,Atlantic County,2020-03-02,12.393,21.258,-0.666,7.015,-2.671,4.344
New Jersey,Atlantic County,2020-03-03,12.795,26.042,-0.914,11.053,5.615,3.525
New Jersey,Atlantic County,2020-03-04,11.202,49.913,-1.53,11.963,13.268,2.376
New Jersey,Atlantic County,2020-03-05,13.339,40.57,-1.434,13.068,6.51,2.168
New Jersey,Atlantic County,2020-03-06,1.162,-23.968,1.589,-1.562,-3.912,1.01
New Jersey,Atlantic County,2020-03-07,14.504,37.698,-1.405,17.059,10.736,5.239
New Jersey,Atlantic County,2020-03-08,11.245,96.92,-0.952,10.091,10.177,1.362
New Jersey,Atlantic County,2020-03-09,13.323,93.537,-1.045,13.062,-1.335,2.746
New Jersey,Atlantic County,2020-03-10,14.605,41.893,-0.821,11.392,7.862,2.929
New Jersey,Atlantic County,2020-03-11,12.602,33.637,-0.916,11.42,3.388,2.037
New Jersey,Atlantic County,2020-03-12,22.191,21.93,-0.518,8.878,-0.543,-0.096
New Jersey,Atlantic County,2020-03-13,19.307,21.202,2.591,4.541,-9.292,-6.3
New Jersey,Atlantic County,2020-03-14,18.16,96.23,1.799,4.053,-13.347,-3.842
New Jersey,Atlantic County,2020-03-15,13.13,44.384,3.826,-8.196,-17.062,-8.908
New Jersey,Atlantic County,2020-03-16,29.868,2.126,5.372,0.151,-16.56,-13.233
New Jersey,Atlantic County,2020-03-17,2.684,54.348,12.037,-26.088,-31.727,-32.62
New Jersey,Atlantic County,2020-03-18,-1.583,45.573,14.067,-30.664,-38.674,-39.523
New Jersey,Atlantic County,2020-03-19,-7.094,9.868,16.945,-36.451,-51.812,-42.977
New Jersey,Atlantic County,2020-03-20,0.498,47.935,17.881,-35.715,-48.905,-46.36
New Jersey,Atlantic County,2020-03-21,-5.694,20.833,14.592,-43.307,-59.773,-47.936
New Jersey,Atlantic County,2020-03-22,-33.331,-30.797,15.959,-63.029,-72.737,-55.018
New Jersey,Atlantic County,2020-03-23,-35.259,-58.461,23.409,-59.295,-70.513,-56.677
New Jersey,Atlantic County,2020-03-24,-22.843,41.893,20.47,-46.711,-58.401,-55.807
New Jersey,Atlantic County,2020-03-25,-33.241,-47.743,23.575,-54.651,-64.645,-58.776
New Jersey,Atlantic County,2020-03-26,-19.281,78.947,21.052,-45.066,-58.865,-57.576
New Jersey,Atlantic County,2020-03-27,-25.06,47.013,23.464,-50.753,-64.799,-58.191
New Jersey,Atlantic County,2020-03-28,-38.059,-49.603,20.038,-62.085,-73.41,-58.064
New Jersey,Atlantic County,2020-03-29,-30.974,11.775,16.264,-58.384,-75.132,-57.323
New Jersey,Atlantic County,2020-03-30,-23.362,17.007,20.977,-48.016,-65.171,-56.428
New Jersey,Atlantic County,2020-03-31,-23.405,-15.851,22.07,-48.749,-63.735,-58.687
New Jersey,Atlantic County,2020-04-01,-20.578,10.851,21.774,-44.712,-60.129,-58.097
New Jersey,Atlantic County,2020-04-02,-13.885,25.219,22.529,-48.289,-63.748,-59.455
New Jersey,Atlantic County,2020-04-03,4.979,-10.14,25.106,-64.985,-63.82,-60.451
New Jersey,Atlantic County,2020-04-04,3.057,40.675,18.371,-68.188,-64.125,-57.453
New Jersey,Atlantic County,2020-04-05,2.155,55.254,16.027,-69.622,-68.546,-58.266
New Jersey,Bergen County,2020-02-23,3.03,124.555,-1.066,3.323,9.943,2.74
New Jersey,Bergen County,2020-02-24,,66.087,-0.465,-0.683,5.545,3.591
New Jersey,Bergen County,2020-02-25,-1.772,-3.978,0.167,-1.489,3.178,3.607
New Jersey,Bergen County,2020-02-26,1.19,-2.395,-0.01,-1.559,1.337,2.497
New Jersey,Bergen County,2020-02-27,0.245,2.175,0.205,-0.698,0.703,2.022
New Jersey,Bergen County,2020-02-28,2.113,-1.978,0.036,-0.246,-2.413,3.045
New Jersey,Bergen County,2020-02-29,4.429,10.463,-0.55,2.501,-1.242,3.773
New Jersey,Bergen County,2020-03-01,4.944,27.802,0.178,3.514,6.313,3.062
New Jersey,Bergen County,2020-03-02,5.293,60.436,-0.351,2.958,3.406,3.063
New Jersey,Bergen County,2020-03-03,7.259,16.905,0.221,1.434,3.655,2.865
New Jersey,Bergen County,2020-03-04,9.395,37.835,-0.004,3.612,1.023,1.737
New Jersey,Bergen County,2020-03-05,15.591,46.162,0.104,3.244,3.904,0.934
New Jersey,Bergen County,2020-03-06,5.508,-4.835,1.914,-5.599,-1.557,1.577
New Jersey,Bergen County,2020-03-07,11.285,62.779,0.037,1.162,7.574,4.846
New Jersey,Bergen County,2020-03-08,6.197,129.004,0.822,1.291,4.261,-0.967
New Jersey,Bergen County,2020-03-09,9.541,139.298,1.054,3.107,-1.03,-0.7
New Jersey,Bergen County,2020-03-10,14.002,43.009,2.716,1.526,-5.88,-3.542
New Jersey,Bergen County,2020-03-11,17.503,60.824,2.983,1.488,-10.228,-4.646
New Jersey,Bergen County,2020-03-12,40.874,23.202,4.985,1.012,-14.055,-8.384
New Jersey,Bergen County,2020-03-13,43.079,43.293,8.255,-5.046,-20.631,-13.267
New Jersey,Bergen County,2020-03-14,22.273,118.118,6.234,-19.295,-11.422,-6.214
New Jersey,Bergen County,2020-03-15,5.901,82.295,8.025,-27.288,-23.674,-14.935
New Jersey,Bergen County,2020-03-16,20.34,13.758,16.874,-22.164,-37.785,-34.661
New Jersey,Bergen County,2020-03-17,10.606,13.922,21.686,-34.05,-43.383,-42.956
New Jersey,Bergen County,2020-03-18,3.981,60.824,23.037,-39.308,-45.317,-47.129
New Jersey,Bergen County,2020-03-19,-0.71,4.35,25.957,-44.353,-51.927,-50.624
New Jersey,Bergen County,2020-03-20,5.846,61.094,26.474,-46.402,-49.592,-51.071
New Jersey,Bergen County,2020-03-21,-5.813,81.148,17.642,-57.056,-43.33,-39.765
New Jersey,Bergen County,2020-03-22,-33.173,5.19,17.134,-63.675,-56.029,-45.932
New Jersey,Bergen County,2020-03-23,-35.529,-63.384,32.058,-64.621,-70.025,-64.026
New Jersey,Bergen County,2020-03-24,-16.291,56.185,30.511,-53.957,-59.91,-64.128
New Jersey,Bergen County,2020-03-25,-24.421,-23.228,32.754,-60.019,-65.144,-65.712
New Jersey,Bergen County,2020-03-26,-17.989,72.506,31.859,-56.291,-63.172,-66.176
New Jersey,Bergen County,2020-03-27,-18.931,36.041,32.831,-57.555,-60.725,-65.262
New Jersey,Bergen County,2020-03-28,-31.067,-56.966,22.786,-70.219,-64.561,-54.377
New Jersey,Bergen County,2020-03-29,-38.436,-67.097,19.443,-69.031,-66.919,-52.433
New Jersey,Bergen County,2020-03-30,-24.232,-25.796,31.78,-58.331,-63.926,-67.605
New Jersey,Bergen County,2020-03-31,-22.197,-23.618,33.098,-58.415,-65.71,-68.893
New Jersey,Bergen County,2020-04-01,-19.882,-6.705,33.162,-58.514,-64.357,-69.535
New Jersey,Bergen County,2020-04-02,-13.168,-20.302,34.666,-62.299,-67.31,-70.439
New Jersey,Bergen County,2020-04-03,0.54,-56.259,36.606,-73.56,-68.977,-69.34
New Jersey,Bergen County,2020-04-04,0.192,8.836,21.974,-75.88,-55.498,-55.856
New Jersey,Bergen County,2020-04-05,-15.903,-20.574,18.669,-77.76,-58.712,-53.561
