state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
North Carolina,Alamance County,2020-02-23,0.301,24.272,-0.902,3.709,2.586,2.079
North Carolina,Alamance County,2020-02-24,-2.297,-2.844,-0.26,-2.358,-5.168,4.414
North Carolina,Alamance County,2020-02-25,1.335,17.508,-0.529,6.433,3.114,3.599
North Carolina,Alamance County,2020-02-26,2.658,11.145,-2.092,12.654,1.342,3.508
North Carolina,Alamance County,2020-02-27,4.264,6.507,-1.267,12.949,3.411,2.791
North Carolina,Alamance County,2020-02-28,6.416,20.462,-2.316,14.771,10.65,3.152
North Carolina,Alamance County,2020-02-29,3.664,25.928,-2.444,13.768,6.283,5.261
North Carolina,Alamance County,2020-03-01,9.041,22.078,-2.354,17.879,20.686,2.911
North Carolina,Alamance County,2020-03-02,6.691,31.158,-2.034,9.611,3.264,4.941
North Carolina,Alamance County,2020-03-03,11.917,23.634,-1.235,18.567,4.529,3.599
North Carolina,Alamance County,2020-03-04,6.892,14.335,-1.4,11.417,3.49,2.631
North Carolina,Alamance County,2020-03-05,3.876,-3.769,-0.355,10.15,6.56,1.586
North Carolina,Alamance County,2020-03-06,4.723,18.868,-1.201,9.289,13.768,2.281
North Carolina,Alamance County,2020-03-07,7.939,48.674,-1.9,9.187,3.968,4.91
North Carolina,Alamance County,2020-03-08,8.538,40.809,-1.849,11.296,16.253,1.871
North Carolina,Alamance County,2020-03-09,8.988,65.119,-1.698,9.394,3.536,3.163
North Carolina,Alamance County,2020-03-10,10.684,37.5,-0.855,11.367,6.793,2.378
North Carolina,Alamance County,2020-03-11,10.929,51.364,-1.456,11.276,3.759,0.877
North Carolina,Alamance County,2020-03-12,15.988,43.591,-0.489,12.511,7.084,-0.063
North Carolina,Alamance County,2020-03-13,31.722,37.44,-0.426,8.181,6.234,-0.738
North Carolina,Alamance County,2020-03-14,23.032,56.88,0.164,-2.252,,1.929
North Carolina,Alamance County,2020-03-15,20.994,-3.263,2.849,-6.082,5.171,-8.733
North Carolina,Alamance County,2020-03-16,21.173,21.748,4.628,-4.606,-0.272,-9.554
North Carolina,Alamance County,2020-03-17,26.093,14.363,7.861,-10.636,5.095,-16.515
North Carolina,Alamance County,2020-03-18,16.245,27.863,9.858,-18.769,2.148,-20.858
North Carolina,Alamance County,2020-03-19,15.116,42.347,10.568,-20.739,2.361,-22.775
North Carolina,Alamance County,2020-03-20,18.713,63.537,10.79,-23.606,2.078,-25.958
North Carolina,Alamance County,2020-03-21,8.637,45.523,7.699,-34.187,-13.889,-17.186
North Carolina,Alamance County,2020-03-22,-3.918,-7.003,8.795,-40.27,-10.712,-26.198
North Carolina,Alamance County,2020-03-23,-0.999,-16.646,13.692,-34.202,-14.143,-28.002
North Carolina,Alamance County,2020-03-24,-0.925,-7.575,13.651,-30.482,-5.661,-28.146
North Carolina,Alamance County,2020-03-25,2.855,4.839,14.763,-28.595,-12.618,-31.569
North Carolina,Alamance County,2020-03-26,-3.198,10.88,15.598,-32.609,-8.921,-33.559
North Carolina,Alamance County,2020-03-27,3.386,38.404,16.205,-33.804,-16.365,-36.019
North Carolina,Alamance County,2020-03-28,-6.543,37.878,10.224,-42.65,-20.503,-26.48
North Carolina,Alamance County,2020-03-29,-7.534,12.909,9.233,-40.203,-19.208,-34.306
North Carolina,Alamance County,2020-03-30,-7.79,22.585,14.389,-33.368,-12.783,-35.447
North Carolina,Alamance County,2020-03-31,-11.814,-17.84,17.902,-39.766,-17.267,-39.585
North Carolina,Alamance County,2020-04-01,-10.141,-13.528,18.057,-37.609,-21.209,-40.652
North Carolina,Alamance County,2020-04-02,-9.302,6.684,17.972,-35.34,-18.629,-41.172
North Carolina,Alamance County,2020-04-03,2.139,25.615,17.685,-32.156,-21.301,-41.519
North Carolina,Alamance County,2020-04-04,-5.583,21.217,11.218,-42.909,-33.069,-29.987
North Carolina,Alamance County,2020-04-05,-6.529,5.344,9.965,-43.11,-29.92,-36.386
North Carolina,Alexander County,2020-02-23,0.938,24.272,-0.462,0.749,3.733,5.541
North Carolina,Alexander County,2020-02-24,-1.751,-2.844,0.157,1.074,3.071,
North Carolina,Alexander County,2020-02-25,-8.013,17.508,-0.226,7.379,3.828,1.151
North Carolina,Alexander County,2020-02-26,11.775,11.145,-1.519,12.158,7.095,0.851
North Carolina,Alexander County,2020-02-27,10.417,6.507,-1.018,12.834,9.13,2.296
North Carolina,Alexander County,2020-02-28,9.604,20.462,-2.456,9.446,13.291,-1.27
North Carolina,Alexander County,2020-02-29,4.771,25.928,-2.218,4.664,12.994,5.435
North Carolina,Alexander County,2020-03-01,-3.754,22.078,-1.791,15.363,11.281,4.433
North Carolina,Alexander County,2020-03-02,6.127,31.158,-1.542,15.75,7.18,1.167
North Carolina,Alexander County,2020-03-03,22.258,23.634,-0.497,26.599,2.714,1.439
North Carolina,Alexander County,2020-03-04,11.775,14.335,-0.983,9.529,2.856,2.271
North Carolina,Alexander County,2020-03-05,13.021,-3.769,0.472,9.85,1.783,2.009
North Carolina,Alexander County,2020-03-06,-1.478,18.868,-1.261,5.362,5.711,0.318
North Carolina,Alexander County,2020-03-07,8.747,48.674,-1.667,10.318,7.976,8.152
North Carolina,Alexander County,2020-03-08,6.569,40.809,-1.278,13.489,7.658,4.433
North Carolina,Alexander County,2020-03-09,15.756,65.119,-0.972,16.108,4.441,
North Carolina,Alexander County,2020-03-10,14.69,37.5,-0.153,10.125,0.626,0.863
North Carolina,Alexander County,2020-03-11,16.304,51.364,-0.862,11.501,1.609,-1.419
North Carolina,Alexander County,2020-03-12,27.778,43.591,-0.044,13.133,-1.31,1.722
North Carolina,Alexander County,2020-03-13,39.155,37.44,0.045,14.042,-3.924,-1.27
North Carolina,Alexander County,2020-03-14,34.192,56.88,0.51,4.099,-4.358,-2.717
