state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
North Dakota,McKenzie County,2020-02-23,9.348,16.688,-1.896,10.709,,-6.51
North Dakota,McKenzie County,2020-02-24,1.941,5.851,0.196,-2.976,1.011,
North Dakota,McKenzie County,2020-02-25,-0.624,-1.777,0.475,-13.746,-4.529,-1.965
North Dakota,McKenzie County,2020-02-26,1.817,10.507,-0.857,-9.838,-5.734,7.392
North Dakota,McKenzie County,2020-02-27,0.628,9.158,-0.471,0.322,2.841,4.735
North Dakota,McKenzie County,2020-02-28,,12.653,-0.439,8.945,-1.812,4.994
North Dakota,McKenzie County,2020-02-29,,21.596,-1.909,4.223,-1.24,4.96
North Dakota,McKenzie County,2020-03-01,-1.335,-1.236,-0.866,17.523,-13.204,1.628
North Dakota,McKenzie County,2020-03-02,-1.294,7.152,-0.569,9.673,-2.023,3.981
North Dakota,McKenzie County,2020-03-03,4.366,13.034,-0.199,-5.193,-16.304,2.621
North Dakota,McKenzie County,2020-03-04,-1.817,9.271,-0.795,-4.63,,8.065
North Dakota,McKenzie County,2020-03-05,5.02,15.263,-0.218,13.222,0.947,8.117
North Dakota,McKenzie County,2020-03-06,7.523,21.455,0.148,4.04,-0.906,-2.14
North Dakota,McKenzie County,2020-03-07,10.732,47.118,-1.898,5.631,-1.24,-1.24
North Dakota,McKenzie County,2020-03-08,1.335,4.326,-0.928,10.709,-5.869,3.255
North Dakota,McKenzie County,2020-03-09,7.117,14.954,-0.388,1.488,-1.011,1.327
North Dakota,McKenzie County,2020-03-10,4.366,10.072,-0.147,-3.36,-8.152,3.931
North Dakota,McKenzie County,2020-03-11,-1.211,21.014,-0.768,-4.051,-4.778,3.36
North Dakota,McKenzie County,2020-03-12,11.295,4.884,0.355,-6.772,-2.841,2.029
North Dakota,McKenzie County,2020-03-13,6.944,5.501,2.459,-12.408,-12.681,2.854
North Dakota,McKenzie County,2020-03-14,1.894,-13.743,2.933,-14.077,-4.96,-1.24
North Dakota,McKenzie County,2020-03-15,-2.671,-12.979,2.695,-5.841,-11.737,1.628
North Dakota,McKenzie County,2020-03-16,11.646,-15.604,6.293,-14.881,-9.102,-7.298
North Dakota,McKenzie County,2020-03-17,5.614,1.777,7.399,-18.023,-15.399,-11.792
North Dakota,McKenzie County,2020-03-18,-1.817,-8.035,9.825,-36.458,-14.335,-10.753
North Dakota,McKenzie County,2020-03-19,6.903,-20.758,13.524,-28.702,-16.098,-12.852
North Dakota,McKenzie County,2020-03-20,4.63,-15.404,17.167,-47.611,-29.891,-13.556
North Dakota,McKenzie County,2020-03-21,-6.313,-15.215,12.914,-47.86,-23.562,-22.321
North Dakota,McKenzie County,2020-03-22,-14.022,24.722,8.938,-45.755,-23.474,-16.276
North Dakota,McKenzie County,2020-03-23,-5.823,18.855,13.447,-33.482,-18.204,-16.587
North Dakota,McKenzie County,2020-03-24,-14.346,3.555,15.829,-49.792,-24.457,-19.654
North Dakota,McKenzie County,2020-03-25,-16.957,1.854,15.671,-51.505,-29.625,-18.145
North Dakota,McKenzie County,2020-03-26,-13.178,18.316,16.319,-37.732,-30.303,-20.292
North Dakota,McKenzie County,2020-03-27,-9.838,32.458,18.616,-49.342,-30.797,-17.123
North Dakota,McKenzie County,2020-03-28,-10.732,38.283,12.34,-42.934,-32.242,-18.601
North Dakota,McKenzie County,2020-03-29,-15.358,72.931,8.989,-41.861,-26.408,-14.648
North Dakota,McKenzie County,2020-03-30,-10.352,35.759,14.564,-38.69,-28.317,-23.222
North Dakota,McKenzie County,2020-03-31,-18.713,4.147,16.829,-50.403,-38.043,-23.585
North Dakota,McKenzie County,2020-04-01,-27.859,-23.486,18.037,-57.87,-46.827,-26.882
North Dakota,McKenzie County,2020-04-02,-21.963,-42.126,22.444,-55.147,-35.038,-27.056
