state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
North Dakota,McKenzie County,grocery/pharmacy,9.348,1.941,-0.624,1.817,0.628,,,-1.335,-1.294,4.366,-1.817,5.02,7.523,10.732,1.335,7.117,4.366,-1.211,11.295,6.944,1.894,-2.671,11.646,5.614,-1.817,6.903,4.63,-6.313,-14.022,-5.823,-14.346,-16.957,-13.178,-9.838,-10.732,-15.358,-10.352,-18.713,-27.859,-21.963,-16.204,-18.308,-21.368
North Dakota,McKenzie County,parks,16.688,5.851,-1.777,10.507,9.158,12.653,21.596,-1.236,7.152,13.034,9.271,15.263,21.455,47.118,4.326,14.954,10.072,21.014,4.884,5.501,-13.743,-12.979,-15.604,1.777,-8.035,-20.758,-15.404,-15.215,24.722,18.855,3.555,1.854,18.316,32.458,38.283,72.931,35.759,4.147,-23.486,-42.126,-27.507,-27.485,-2.472
North Dakota,McKenzie County,residential,-1.896,0.196,0.475,-0.857,-0.471,-0.439,-1.909,-0.866,-0.569,-0.199,-0.795,-0.218,0.148,-1.898,-0.928,-0.388,-0.147,-0.768,0.355,2.459,2.933,2.695,6.293,7.399,9.825,13.524,17.167,12.914,8.938,13.447,15.829,15.671,16.319,18.616,12.34,8.989,14.564,16.829,18.037,22.444,24.147,15.217,11.2
North Dakota,McKenzie County,retail/recreation,10.709,-2.976,-13.746,-9.838,0.322,8.945,4.223,17.523,9.673,-5.193,-4.63,13.222,4.04,5.631,10.709,1.488,-3.36,-4.051,-6.772,-12.408,-14.077,-5.841,-14.881,-18.023,-36.458,-28.702,-47.611,-47.86,-45.755,-33.482,-49.792,-51.505,-37.732,-49.342,-42.934,-41.861,-38.69,-50.403,-57.87,-55.147,-52.228,-53.491,-49.65
North Dakota,McKenzie County,transitstations,,1.011,-4.529,-5.734,2.841,-1.812,-1.24,-13.204,-2.023,-16.304,,0.947,-0.906,-1.24,-5.869,-1.011,-8.152,-4.778,-2.841,-12.681,-4.96,-11.737,-9.102,-15.399,-14.335,-16.098,-29.891,-23.562,-23.474,-18.204,-24.457,-29.625,-30.303,-30.797,-32.242,-26.408,-28.317,-38.043,-46.827,-35.038,-44.384,-40.923,-39.613
North Dakota,McKenzie County,workplace,-6.51,,-1.965,7.392,4.735,4.994,4.96,1.628,3.981,2.621,8.065,8.117,-2.14,-1.24,3.255,1.327,3.931,3.36,2.029,2.854,-1.24,1.628,-7.298,-11.792,-10.753,-12.852,-13.556,-22.321,-16.276,-16.587,-19.654,-18.145,-20.292,-17.123,-18.601,-14.648,-23.222,-23.585,-26.882,-27.056,-26.398,-27.282,-16.276
North Dakota,Morton County,grocery/pharmacy,17.904,-6.853,1.408,1.408,-2.854,6.056,2.778,24.414,2.741,9.854,9.854,17.123,3.634,23.611,-6.51,,5.631,9.854,14.269,27.859,29.167,19.531,31.524,28.153,45.045,17.123,27.859,18.056,9.766,5.482,1.408,-9.854,,-1.211,18.056,1.628,4.112,-2.815,-7.038,-9.989,7.267,6.944,6.51
North Dakota,Morton County,parks,16.688,5.851,-1.777,10.507,9.158,12.653,21.596,-1.236,7.152,13.034,9.271,15.263,21.455,47.118,4.326,14.954,10.072,21.014,4.884,5.501,-13.743,-12.979,-15.604,1.777,-8.035,-20.758,-15.404,-15.215,24.722,18.855,3.555,1.854,18.316,32.458,38.283,72.931,35.759,4.147,-23.486,-42.126,-27.507,-27.485,-2.472
North Dakota,Morton County,residential,-1.896,0.196,0.475,-0.857,-0.471,-0.439,-1.909,-0.866,-0.569,-0.199,-0.795,-0.218,0.148,-1.898,-0.928,-0.388,-0.147,-0.768,0.355,2.459,2.933,2.695,6.293,7.399,9.825,13.524,17.167,12.914,8.938,13.447,15.829,15.671,16.319,18.616,12.34,8.989,14.564,16.829,18.037,22.444,24.147,15.217,11.2
North Dakota,Morton County,retail/recreation,10.378,-0.709,0.666,9.997,13.021,16.914,13.772,8.841,13.109,8.32,6.45,7.304,12.618,12.019,1.922,11.692,11.648,8.385,14.926,13.155,1.002,-4.228,-3.189,-5.658,-24.51,-36.839,-42.955,-54.337,-43.819,-39.328,-44.595,-42.892,-44.144,-39.465,-42.568,-34.594,-37.911,-39.936,-44.827,-60.976,-43.492,-54.087,-42.666
