state,county,date,grocery/pharmacy,parks,retail/recreation,transitstations,workplace
PG,Overall,2020-02-23,8.996,-6.731,11.42,,10.013
PG,Overall,2020-02-24,-0.307,-4.574,-1.281,-6.215,8.152
PG,Overall,2020-02-25,5.421,-10.06,3.209,-2.086,9.387
PG,Overall,2020-02-26,8.197,-5.099,6.183,-2.618,13.015
PG,Overall,2020-02-27,5.89,-8.767,6.115,,12.689
PG,Overall,2020-02-28,11.095,-7.12,9.902,5.006,17.898
PG,Overall,2020-02-29,14.387,-6.731,11.193,0.764,16.525
PG,Overall,2020-03-01,18.773,-5.469,14.607,-0.801,15.734
PG,Overall,2020-03-02,3.378,-10.165,0.427,-6.215,15.063
PG,Overall,2020-03-03,6.696,-8.144,3.209,-3.477,14.08
PG,Overall,2020-03-04,2.635,-12.052,-0.199,-2.618,13.882
PG,Overall,2020-03-05,1.402,-5.998,1.146,-3.926,15.123
PG,Overall,2020-03-06,4.871,-8.9,3.484,-1.877,17.19
PG,Overall,2020-03-07,8.515,-7.993,7.937,-3.057,14.581
PG,Overall,2020-03-08,14.471,-5.048,8.764,-6.408,15.734
PG,Overall,2020-03-09,0.307,-3.558,-1.921,-6.905,12.582
PG,Overall,2020-03-10,7.334,-8.144,1.925,-0.695,14.08
PG,Overall,2020-03-11,12.882,-9.734,7.38,-5.235,17.7
PG,Overall,2020-03-12,12.06,-4.153,7.452,3.272,17.73
PG,Overall,2020-03-13,13.26,-6.23,7.702,-1.252,18.962
PG,Overall,2020-03-14,19.966,-2.945,11.193,,19.442
PG,Overall,2020-03-15,14.08,-5.469,11.42,-8.01,19.071
PG,Overall,2020-03-16,6.757,-7.624,-0.854,-7.596,16.304
PG,Overall,2020-03-17,12.436,-8.144,2.995,-2.086,16.166
PG,Overall,2020-03-18,7.026,-8.807,,-6.544,15.097
PG,Overall,2020-03-19,1.963,-7.382,-7.452,-13.088,11.82
PG,Overall,2020-03-20,5.412,-10.68,-6.785,-10.013,13.291
PG,Overall,2020-03-21,9.396,-10.938,-4.681,-9.172,13.285
PG,Overall,2020-03-22,12.907,-13.883,-5.577,-17.622,14.304
PG,Overall,2020-03-23,26.413,-7.115,-3.629,4.143,10.101
PG,Overall,2020-03-24,-11.16,-12.456,-26.957,-40.328,-18.773
PG,Overall,2020-03-25,-14.053,-10.661,-21.341,-43.846,-16.659
PG,Overall,2020-03-26,-12.621,-9.69,-24.076,-39.919,-17.209
PG,Overall,2020-03-27,-13.801,-10.235,-24.756,-45.056,-14.531
PG,Overall,2020-03-28,-20.554,-13.883,-29.508,-43.566,0.324
PG,Overall,2020-03-29,-8.604,-11.779,-20.184,-45.657,11.443
PG,Overall,2020-03-30,-17.814,-9.148,-23.27,-46.265,-16.835
PG,Overall,2020-03-31,-10.842,-13.893,-22.892,-47.977,-18.252
PG,Overall,2020-04-01,-16.395,-15.76,-23.136,-47.772,-14.576
PG,Overall,2020-04-02,-19.071,-11.997,-28.28,-47.772,-15.818
PG,Overall,2020-04-03,-8.659,-13.795,-19.438,-41.302,-12.05
PG,Overall,2020-04-04,-8.221,-15.145,-17.705,-44.33,5.508
PG,Overall,2020-04-05,-6.258,-13.462,-18.856,-42.453,11.92
