state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
PH,Overall,2020-02-23,0.208,-0.119,1.347,-2.644,-6.867,2.339
PH,Overall,2020-02-24,-0.501,6.25,0.777,0.809,-3.777,4.154
PH,Overall,2020-02-25,-1.552,10.97,11.225,-0.287,-18.241,-42.783
PH,Overall,2020-02-26,-1.004,-0.135,-0.173,-2.635,-3.495,5.569
PH,Overall,2020-02-27,-1.23,-4.066,0.455,-2.048,-5.77,5.969
PH,Overall,2020-02-28,0.53,-6.412,0.427,-0.754,-6.278,8.471
PH,Overall,2020-02-29,6.184,-0.781,-0.018,5.1,-0.37,9.031
PH,Overall,2020-03-01,7.401,-0.114,0.706,2.444,-5.103,4.524
PH,Overall,2020-03-02,2.127,-1.66,0.293,0.072,-4.936,9.326
PH,Overall,2020-03-03,2.152,-1.726,0.169,0.611,-3.996,6.722
PH,Overall,2020-03-04,1.546,-1.331,0.718,-0.841,-6.767,6.143
PH,Overall,2020-03-05,1.851,-3.143,0.373,-0.11,-5.896,7.186
PH,Overall,2020-03-06,-0.85,-8.841,0.953,-2.924,-7.633,7.979
PH,Overall,2020-03-07,1.915,-1.218,0.514,0.391,-4.006,7.252
PH,Overall,2020-03-08,2.157,-1.706,1.356,-3.749,-8.579,3.461
PH,Overall,2020-03-09,0.992,-1.342,0.926,-3.138,-6.746,7.451
PH,Overall,2020-03-10,3.233,-5.451,3.462,-4.42,-11.129,-4.427
PH,Overall,2020-03-11,4.541,-5.789,4.249,-7.586,-16.745,-5.368
PH,Overall,2020-03-12,7.842,-7.598,4.77,-8.357,-16.969,-6.316
PH,Overall,2020-03-13,9.199,-15.884,7.047,-12.152,-17.171,-9.058
PH,Overall,2020-03-14,5.028,-19.997,6.318,-18.414,-15.207,-6.183
PH,Overall,2020-03-15,-10.105,-29.015,10.795,-39.758,-42.23,-9.89
PH,Overall,2020-03-16,-4.374,-18.276,15.061,-33.973,-42.139,-31.139
PH,Overall,2020-03-17,-21.02,-29.718,23.647,-56.819,-63.351,-55.035
PH,Overall,2020-03-18,-35.934,-35.901,28.181,-65.682,-72.394,-62.401
PH,Overall,2020-03-19,-40.988,-38.706,29.684,-68.792,-75.213,-64.694
PH,Overall,2020-03-20,-45.299,-46.761,33.431,-72.603,-78.976,-65.921
PH,Overall,2020-03-21,-48.383,-52.56,27.16,-75.146,-78.321,-57.197
PH,Overall,2020-03-22,-52.912,-56.086,23.687,-78.764,-79.205,-50.131
PH,Overall,2020-03-23,-50.081,-44.879,33.083,-74.639,-80.763,-68.936
PH,Overall,2020-03-24,-51.364,-46.769,33.51,-75.864,-80.819,-71.434
PH,Overall,2020-03-25,-51.43,-46.506,33.667,-75.979,-81.368,-71.601
PH,Overall,2020-03-26,-51.977,-47.371,34.121,-76.486,-81.393,-72.282
PH,Overall,2020-03-27,-51.393,-52.179,37.107,-77.175,-83.228,-71.768
PH,Overall,2020-03-28,-52.616,-56.114,29.807,-78.152,-81.881,-62.524
PH,Overall,2020-03-29,-59.389,-58.593,25.732,-81.473,-82.263,-53.654
PH,Overall,2020-03-30,-59.081,-48.325,35.188,-79.045,-84.09,-73.186
PH,Overall,2020-03-31,-56.973,-48.775,34.86,-78.686,-83.392,-74.523
PH,Overall,2020-04-01,-58.26,-48.546,35.166,-79.571,-84.21,-74.348
PH,Overall,2020-04-02,-58.42,-49.222,35.666,-79.79,-84.315,-74.467
PH,Overall,2020-04-03,-58.217,-54.486,38.57,-80.311,-85.254,-73.181
PH,Overall,2020-04-04,-58.161,-57.561,30.75,-80.418,-83.886,-63.394
PH,Overall,2020-04-05,-62.02,-59.715,26.418,-82.528,-83.699,-54.413
