state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Pennsylvania,Bedford County,2020-02-23,8.126,99.7,-1.274,42.582,-41.163,0.847
Pennsylvania,Bedford County,2020-02-24,-6.742,35.932,0.031,29.09,-58.435,5.133
Pennsylvania,Bedford County,2020-02-25,1.499,0.917,0.171,32.753,-57.124,4.695
Pennsylvania,Bedford County,2020-02-26,4.31,8.267,-0.638,37.847,-56.457,3.783
Pennsylvania,Bedford County,2020-02-27,-4.382,0.173,0.625,27.201,-62.211,3.772
Pennsylvania,Bedford County,2020-02-28,-1.574,2.046,0.038,19.358,-50.287,5.035
Pennsylvania,Bedford County,2020-02-29,8.785,-3.493,-0.737,22.096,-42.835,1.555
Pennsylvania,Bedford County,2020-03-01,12.559,39.514,-1.276,44.693,-34.442,
Pennsylvania,Bedford County,2020-03-02,1.686,30.853,-0.173,33.096,-45.732,6.643
Pennsylvania,Bedford County,2020-03-03,11.241,4.054,-0.297,45.819,-52.923,2.641
Pennsylvania,Bedford County,2020-03-04,10.057,27.047,-0.709,39.583,-55.662,5.237
Pennsylvania,Bedford County,2020-03-05,4.382,37.434,-0.757,30.292,-54.253,-0.87
Pennsylvania,Bedford County,2020-03-06,5.51,-6.781,0.952,26.733,-35.201,0.629
Pennsylvania,Bedford County,2020-03-07,14.119,25.984,-1.028,30.513,-37.967,-0.777
Pennsylvania,Bedford County,2020-03-08,19.577,127.078,-1.53,61.233,-29.402,-3.388
Pennsylvania,Bedford County,2020-03-09,4.72,103.822,-0.318,34.49,-49.119,3.019
Pennsylvania,Bedford County,2020-03-10,5.246,16.711,0.619,36.512,-52.923,2.054
Pennsylvania,Bedford County,2020-03-11,17.601,29.36,0.141,30.208,-50.095,2.619
Pennsylvania,Bedford County,2020-03-12,34.722,39.099,0.604,20.71,-55.7,2.321
Pennsylvania,Bedford County,2020-03-13,29.912,32.744,3.461,7.605,-50.287,1.259
Pennsylvania,Bedford County,2020-03-14,40.161,40.189,2.945,3.42,-41.861,5.442
Pennsylvania,Bedford County,2020-03-15,33.245,62.639,3.344,9.15,-40.323,
Pennsylvania,Bedford County,2020-03-16,42.139,9.536,8.204,8.71,-55.047,-6.944
Pennsylvania,Bedford County,2020-03-17,36.721,-3.596,12.809,-5.369,-63.004,-17.312
Pennsylvania,Bedford County,2020-03-18,25.862,30.789,13.951,-13.889,-66.794,-19.204
Pennsylvania,Bedford County,2020-03-19,22.923,-0.486,16.034,-19.782,-73.061,-22.052
Pennsylvania,Bedford County,2020-03-20,11.545,14.845,18.763,-36.643,-76.149,-25.491
Pennsylvania,Bedford County,2020-03-21,22.904,20.383,12.68,-44.718,-68.146,-19.434
Pennsylvania,Bedford County,2020-03-22,1.847,38.107,10.227,-41.526,-73.925,-21.172
Pennsylvania,Bedford County,2020-03-23,-2.36,-52.585,21.492,-34.142,-72.832,-34.118
Pennsylvania,Bedford County,2020-03-24,10.492,9.73,20.756,-23.983,-71.405,-35.798
Pennsylvania,Bedford County,2020-03-25,-1.078,-29.258,22.237,-30.208,-77.131,-36.371
