state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Pennsylvania,Bedford County,grocery/pharmacy,8.126,-6.742,1.499,4.31,-4.382,-1.574,8.785,12.559,1.686,11.241,10.057,4.382,5.51,14.119,19.577,4.72,5.246,17.601,34.722,29.912,40.161,33.245,42.139,36.721,25.862,22.923,11.545,22.904,1.847,-2.36,10.492,-1.078,2.697,-8.396,-7.216,-9.235,-7.079,6.37,13.29,-0.674,-4.461,-2.824,-18.1
Pennsylvania,Bedford County,parks,99.7,35.932,0.917,8.267,0.173,2.046,-3.493,39.514,30.853,4.054,27.047,37.434,-6.781,25.984,127.078,103.822,16.711,29.36,39.099,32.744,40.189,62.639,9.536,-3.596,30.789,-0.486,14.845,20.383,38.107,-52.585,9.73,-29.258,52.456,27.49,-52.978,6.673,-14.822,-26.124,-1.055,6.731,-11.088,14.436,51.812
Pennsylvania,Bedford County,residential,-1.274,0.031,0.171,-0.638,0.625,0.038,-0.737,-1.276,-0.173,-0.297,-0.709,-0.757,0.952,-1.028,-1.53,-0.318,0.619,0.141,0.604,3.461,2.945,3.344,8.204,12.809,13.951,16.034,18.763,12.68,10.227,21.492,20.756,22.237,21.101,22.803,16.597,12.152,20.819,21.725,21.395,22.511,24.282,15.05,11.78
Pennsylvania,Bedford County,retail/recreation,42.582,29.09,32.753,37.847,27.201,19.358,22.096,44.693,33.096,45.819,39.583,30.292,26.733,30.513,61.233,34.49,36.512,30.208,20.71,7.605,3.42,9.15,8.71,-5.369,-13.889,-19.782,-36.643,-44.718,-41.526,-34.142,-23.983,-30.208,-27.51,-42.865,-51.031,-42.934,-33.096,-28.279,-28.819,-41.11,-50.009,-49.716,-50.324
Pennsylvania,Bedford County,transitstations,-41.163,-58.435,-57.124,-56.457,-62.211,-50.287,-42.835,-34.442,-45.732,-52.923,-55.662,-54.253,-35.201,-37.967,-29.402,-49.119,-52.923,-50.095,-55.7,-50.287,-41.861,-40.323,-55.047,-63.004,-66.794,-73.061,-76.149,-68.146,-73.925,-72.832,-71.405,-77.131,-78.848,-84.77,-74.961,-80.645,-75.373,-74.765,-76.336,-78.125,-83.333,-81.776,-80.645
Pennsylvania,Bedford County,workplace,0.847,5.133,4.695,3.783,3.772,5.035,1.555,,6.643,2.641,5.237,-0.87,0.629,-0.777,-3.388,3.019,2.054,2.619,2.321,1.259,5.442,,-6.944,-17.312,-19.204,-22.052,-25.491,-19.434,-21.172,-34.118,-35.798,-36.371,-37.14,-36.506,-27.985,-27.1,-36.836,-38.732,-39.863,-40.622,-39.967,-28.762,-32.182
Pennsylvania,Berks County,grocery/pharmacy,5.013,1.959,1.359,3.071,1.825,3.196,5.501,7.349,7.027,5.223,5.732,11.186,1.598,11.395,11.555,11.839,7.559,10.646,27.252,23.9,16.718,10.706,24.147,6.37,0.328,0.436,2.89,-10.574,-21.751,-24.956,-17.708,-26.287,-18.326,-17.882,-38.58,-33.434,-21.889,-23.271,-18.303,-20.627,-21.588,-25.006,-29.483
Pennsylvania,Berks County,parks,131.194,72.601,,4.112,11.241,2.451,7.203,42.793,108.112,14.037,46.601,66.697,-1.838,41.002,146.959,193.34,37.677,47.286,35.971,57.598,88.098,110.923,55.24,25.857,95.943,31.475,63.725,79.787,67.005,-25.253,79.048,-17.133,105.665,92.525,-58.178,-21.396,45.77,-6.649,55.51,52.458,5.515,36.015,103.041
Pennsylvania,Berks County,residential,-1.364,-0.266,0.128,-0.899,-0.105,-0.026,-0.796,-1.187,-0.984,-0.481,-0.756,-1.184,1.03,-1.377,-1.539,-0.529,-0.097,-0.505,-0.027,3.71,2.771,2.568,6.177,11.693,12.211,15.061,18.698,13.155,10.571,22.367,21.743,23.633,21.993,24.022,18.386,13.573,21.008,22.599,22.094,23.412,26.202,16.317,12.198
Pennsylvania,Berks County,retail/recreation,11.636,1.794,2.598,9.783,7.509,6.484,12.798,18.663,9.658,9.845,11.538,11.624,1.877,13.035,17.63,11.773,7.338,8.73,11.708,5.11,-2.979,-0.682,2.483,-24.384,-29.546,-30.947,-35.923,-47.568,-48.466,-48.588,-41.088,-46.347,-41.467,-42.525,-62.951,-55.452,-42.724,-44.233,-40.579,-43.397,-47.501,-52.753,-50.451
Pennsylvania,Berks County,transitstations,4.296,-4.23,-9.798,-2.033,-3.019,2.63,1.51,10.739,0.529,1.031,2.033,-1.51,-1.578,1.51,11.813,5.288,-5.672,2.033,-5.535,-6.839,-0.755,,-8.46,-13.923,-16.768,-21.638,-21.57,-21.89,-5.369,-30.668,-25.784,-32.012,-27.174,-28.409,-34.722,-24.699,-31.197,-31.972,-29.98,-35.225,-37.353,-37.742,-16.108
