state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Rhode Island,Bristol County,grocery/pharmacy,-14.261,-17.034,-12.046,-18.145,-12.842,-12.55,-16.478,-13.021,-13.758,-6.378,-18.817,-9.275,-18.825,-22.952,-22.321,-15.068,-10.629,-16.129,2.14,15.06,-1.177,-13.021,5.241,-4.252,-6.048,-7.848,-5.02,-12.947,-29.762,-24.24,-19.133,-25.538,-17.123,-18.198,-22.952,-47.123,-30.791,-20.55,-22.849,-19.977,-25.1,-22.952,-37.822
Rhode Island,Bristol County,parks,105.78,87.206,18.297,7.018,5.057,2.167,31.208,-2.661,34.452,60.99,21.522,54.108,7.802,35.542,68.191,165.26,65.056,56.145,33.375,-9.536,98.391,80.832,41.45,-8.64,107.611,-16.182,55.047,146.07,61.871,-22.071,65.056,-3.743,139.063,136.101,99.258,-49.564,4.845,64.039,11.697,-4.551,-48.979,22.106,4.324
Rhode Island,Bristol County,residential,-1.357,-0.718,0.031,-0.766,-0.098,-0.554,-1.44,-1.344,-0.693,-0.797,-0.557,-0.879,0.592,-0.49,-0.842,-0.795,0.101,0.643,1.097,4.074,3.361,4.254,8.84,14.199,13.711,17.492,17.532,11.227,10.532,18.295,19.139,20.533,19.343,21.048,13.889,14.011,20.252,20.635,20.898,22.403,25.976,15.414,12.741
Rhode Island,Bristol County,retail/recreation,24.317,10.234,3.956,6.589,2.101,1.478,9.841,11.83,10.234,10.549,8.471,7.505,-0.246,3.6,11.83,20.833,9.889,6.589,11.707,3.694,-0.72,-8.544,-4.02,-35.601,-30.434,-41.126,-36.2,-39.843,-43.047,-43.86,-42.194,-49.887,-40.226,-39.401,-48.003,-63.091,-44.956,-43.513,-47.063,-51.633,-56.393,-54.964,-51.59
Rhode Island,Bristol County,transitstations,7.631,2.905,4.606,3.723,2.962,6.575,5.057,8.853,-0.968,2.203,-1.372,3.555,-1.127,-3.287,4.274,-3.292,-6.208,-7.25,-9.282,-21.227,-15.676,-20.758,-32.536,-39.85,-40.755,-52.729,-46.775,-43.489,-51.284,-59.068,-55.069,-58.782,-55.296,-53.726,-55.119,-67.462,-62.36,-57.472,-58.39,-62.405,-64.245,-58.153,-58.61
Rhode Island,Bristol County,workplace,10.163,4.735,2.354,3.312,3.341,6.43,1.812,7.622,2.525,-0.589,,1.822,3.537,0.906,7.622,-3.788,-4.708,-2.408,-3.341,-4.18,,-7.622,-28.093,-38.842,-39.74,-43.732,-41.152,-26.268,-27.947,-47.664,-51.789,-53.288,-51.931,-49.833,-37.138,-38.11,-53.977,-55.32,-53.589,-56.791,-55.62,-40.761,-35.569
Rhode Island,Kent County,grocery/pharmacy,-9.28,-12.623,-13.128,-4.918,-8.413,-12.084,-14.482,-2.088,-3.186,-7.975,-5.297,-3.739,-14.769,-14.375,-9.164,-7.721,-12.269,3.153,36.191,41.622,25.747,9.28,23.775,2.945,3.657,8.948,17.678,2.36,-13.572,-17.034,-14.601,-15.133,0.801,-12.867,-13.302,-26.564,-26.716,-23.312,-15.764,-9.081,-13.762,-15.984,-25.404
Rhode Island,Kent County,parks,105.78,87.206,18.297,7.018,5.057,2.167,31.208,-2.661,34.452,60.99,21.522,54.108,7.802,35.542,68.191,165.26,65.056,56.145,33.375,-9.536,98.391,80.832,41.45,-8.64,107.611,-16.182,55.047,146.07,61.871,-22.071,65.056,-3.743,139.063,136.101,99.258,-49.564,4.845,64.039,11.697,-4.551,-48.979,22.106,4.324
Rhode Island,Kent County,residential,-1.807,-0.438,-0.042,-0.503,0.153,-0.286,-1.488,-1.37,-0.439,-0.465,-0.259,-0.587,0.693,-0.621,-1.096,-0.541,0.395,0.372,1.42,4.202,3.643,3.96,9.274,15.004,14.615,18.015,18.118,10.899,9.65,18.879,19.564,21.266,19.888,21.396,13.63,13.581,20.711,21.552,21.932,23.227,26.42,15.027,12.206
Rhode Island,Kent County,retail/recreation,7.279,3.754,6.111,9.167,7.754,6.193,11.629,10.53,7.059,9.287,7.968,7.262,2.249,7.243,9.717,9.588,9.97,7.813,8.737,-2.187,-10.359,-17.031,-11.71,-32.243,-30.79,-38.013,-35.708,-40.022,-46.112,-46.677,-40.686,-44.908,-39.564,-42.763,-47.553,-58.903,-48.758,-42.093,-43.902,-45.578,-50.99,-52.487,-52.967
