state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SA,Overall,2020-02-23,-3.766,2.893,1.998,-6.796,-7.381,4.332
SA,Overall,2020-02-24,-6.346,5.34,1.795,-9.307,-7.895,3.881
SA,Overall,2020-02-25,-2.914,1.913,1.399,-6.431,-3.253,3.052
SA,Overall,2020-02-26,-1.265,-3.317,2.5,-4.822,-2.598,-1.113
SA,Overall,2020-02-27,4.859,-3.353,0.706,2.45,-1.969,3.183
SA,Overall,2020-02-28,6.406,2.73,1.571,2.832,-10.115,-2.647
SA,Overall,2020-02-29,6.02,-2.191,0.788,0.591,-6.458,1.942
SA,Overall,2020-03-01,5.014,1.693,0.951,0.837,-6.265,4.704
SA,Overall,2020-03-02,2.696,-0.417,1.037,-2.225,-8.448,4.427
SA,Overall,2020-03-03,3.213,-0.369,0.83,-1.255,-8.123,4.029
SA,Overall,2020-03-04,2.282,1.724,0.986,-1.211,-6.431,3.589
SA,Overall,2020-03-05,2.68,-1.769,1.227,1.025,-9.48,3.835
SA,Overall,2020-03-06,2.146,-0.633,2.432,-0.939,-16.56,-2.625
SA,Overall,2020-03-07,1.582,-9.022,2.037,-4.272,-16.214,1.554
SA,Overall,2020-03-08,2.391,-1.723,1.961,-3.946,-17.762,3.848
SA,Overall,2020-03-09,1.927,0.383,5.076,-8.074,-20.6,-8.265
SA,Overall,2020-03-10,3.475,3.743,4.562,-5.347,-18.745,-8.74
SA,Overall,2020-03-11,0.345,3.596,4.666,-7.118,-21.039,-8.853
SA,Overall,2020-03-12,0.09,-11.774,6.652,-9.581,-24.983,-9.381
SA,Overall,2020-03-13,-1.38,-16.949,5.578,-15.823,-31.001,-4.854
SA,Overall,2020-03-14,-0.072,-13.689,4.817,-16.158,-27.838,-0.309
SA,Overall,2020-03-15,4.31,-8.294,6.892,-14.448,-33.821,-11.236
SA,Overall,2020-03-16,2.125,-19.047,9.427,-29.064,-43.178,-19.43
SA,Overall,2020-03-17,-4.999,-24.654,10.995,-34.778,-46.992,-24.038
SA,Overall,2020-03-18,-8.164,-29.527,12.931,-38.324,-50.275,-27.48
SA,Overall,2020-03-19,-12.072,-41.96,16.462,-41.232,-56.028,-30.777
SA,Overall,2020-03-20,-17.697,-59.533,13.737,-50.49,-61.674,-21.192
SA,Overall,2020-03-21,-15.772,-49.7,13.764,-49.136,-68.691,-19.608
SA,Overall,2020-03-22,-17.786,-43.115,18.292,-48.629,-69.122,-37.511
SA,Overall,2020-03-23,-25.285,-51.158,21.172,-57.663,-72.311,-42.344
SA,Overall,2020-03-24,-22.096,-51.036,21.783,-55.621,-73.537,-43.197
SA,Overall,2020-03-25,-18.641,-50.843,21.451,-54.289,-72.805,-43.666
SA,Overall,2020-03-26,-21.942,-61.291,25.68,-57.214,-75.818,-46.09
SA,Overall,2020-03-27,-29.479,-74.333,20.713,-65.12,-82.014,-37.975
SA,Overall,2020-03-28,-24.112,-59.383,18.98,-56.175,-77.116,-31.088
SA,Overall,2020-03-29,-23.659,-49.347,22.713,-54.035,-74.638,-45.301
SA,Overall,2020-03-30,-26.437,-50.828,22.27,-55.624,-74.673,-46.331
SA,Overall,2020-03-31,-26.008,-51.976,22.1,-55.503,-74.248,-46.084
SA,Overall,2020-04-01,-26.07,-52.353,22.462,-55.647,-74.572,-46.093
SA,Overall,2020-04-02,-25.76,-60.666,25.707,-56.724,-76.841,-46.027
SA,Overall,2020-04-03,-32.009,-74.458,21.178,-66.449,-82.975,-40.336
SA,Overall,2020-04-04,-27.675,-61.431,20.226,-58.213,-78.328,-33.732
SA,Overall,2020-04-05,-24.151,-51.655,23.349,-54.739,-75.651,-46.872
