state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SG,Overall,2020-02-23,-11.835,-3.436,6.268,-13.948,-18.835,-4.63
SG,Overall,2020-02-24,-8.134,-11.845,6.51,-11.79,-13.923,-3.454
SG,Overall,2020-02-25,-6.331,-1.782,6.115,-10.287,-13.499,-3.329
SG,Overall,2020-02-26,-12.76,-3.804,6.731,-12.219,-13.595,-3.606
SG,Overall,2020-02-27,-8.751,-4.76,5.933,-11.784,-9.013,-3.64
SG,Overall,2020-02-28,-9.67,-7.581,7.256,-7.514,-10.634,1.338
SG,Overall,2020-02-29,-7.081,-2.271,5.323,-7.74,-12.925,-0.457
SG,Overall,2020-03-01,-9.507,-0.646,5.104,-10.702,-16.123,-2.95
SG,Overall,2020-03-02,-4.59,-7.013,5.549,-8.365,-12.114,-1.535
SG,Overall,2020-03-03,-5.374,-3.497,5.663,-8.356,-12.771,-1.306
SG,Overall,2020-03-04,-12.147,-6.931,6.45,-10.964,-12.405,-1.568
SG,Overall,2020-03-05,-11.3,-12.59,5.809,-11.616,-8.622,-1.833
SG,Overall,2020-03-06,-9.206,-8.366,7.078,-7.736,-10.175,3.319
SG,Overall,2020-03-07,-8.49,-16.183,5.986,-9.597,-14.807,0.142
SG,Overall,2020-03-08,-9.593,-6.664,5.254,-10.879,-15.858,-2.177
SG,Overall,2020-03-09,-6.948,-9.395,6.113,-11.461,-13.593,-1.332
SG,Overall,2020-03-10,-7.371,-3.799,6.017,-11.06,-12.969,-1.281
SG,Overall,2020-03-11,-12.172,-9.026,6.741,-13.055,-13.453,-1.718
SG,Overall,2020-03-12,-9.119,-8.174,6.184,-13.011,-9.42,-2.477
SG,Overall,2020-03-13,-9.902,-9.179,8.437,-9.791,-11.576,0.874
SG,Overall,2020-03-14,-7.848,-0.601,6.227,-11.08,-15.155,-0.285
SG,Overall,2020-03-15,-10.359,3.597,5.657,-13.952,-18.034,-3.47
SG,Overall,2020-03-16,-2.048,1.174,8.6,-10.09,-16.148,-11.51
SG,Overall,2020-03-17,16.314,2.253,8.637,-7.568,-16.32,-12.262
SG,Overall,2020-03-18,-2.164,-3.288,11.497,-11.501,-18.935,-14.148
SG,Overall,2020-03-19,-0.723,-2.004,11.837,-13.418,-18.779,-15.981
SG,Overall,2020-03-20,-5.678,-6.065,14.749,-10.646,-21.033,-13.228
SG,Overall,2020-03-21,-3.609,-15.248,10.514,-13.512,-22.961,-2.548
SG,Overall,2020-03-22,-7.793,-17.548,11.435,-18.423,-30.542,-8.221
SG,Overall,2020-03-23,-2.881,-22.783,12.442,-15.604,-23.728,-11.365
SG,Overall,2020-03-24,3.282,-9.212,12.284,-13.153,-23.512,-12.621
SG,Overall,2020-03-25,-0.863,-13.313,13.793,-15.698,-25.08,-14.64
SG,Overall,2020-03-26,3.929,-15.221,13.977,-17.687,-24.942,-16.321
SG,Overall,2020-03-27,-0.528,-23.962,18.403,-20.28,-27.215,-13.682
SG,Overall,2020-03-28,3.449,-15.448,14.561,-22.957,-32.672,-7.807
SG,Overall,2020-03-29,-6.09,-11.899,14.613,-27.618,-39.876,-14.697
SG,Overall,2020-03-30,-0.96,-15.804,15.599,-21.162,-29.276,-17.867
SG,Overall,2020-03-31,0.793,-10.288,15.158,-19.998,-29.063,-18.383
SG,Overall,2020-04-01,-8.644,-15.215,17.55,-23.104,-31.536,-21.667
SG,Overall,2020-04-02,-5.216,-22.173,19.281,-25.421,-33.297,-27.249
SG,Overall,2020-04-03,18.4,-28.971,20.923,-21.037,-32.084,-19.753
SG,Overall,2020-04-04,8.467,-27.491,15.281,-23.748,-35.717,-6.556
SG,Overall,2020-04-05,-1.401,-26.864,14.476,-23.479,-40.068,-9.724
