state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SI,Ljubljana,2020-02-23,-1.325,2.88,-3.936,-5.299,6.279,-0.655
SI,Ljubljana,2020-02-24,11.015,8.364,-0.522,3.502,8.681,1.393
SI,Ljubljana,2020-02-25,12.533,-20.55,0.375,-1.114,9.296,2.727
SI,Ljubljana,2020-02-26,-4.702,-52.407,2.482,-13.199,0.797,2.378
SI,Ljubljana,2020-02-27,2.852,-10.541,0.547,0.232,8.963,2.217
SI,Ljubljana,2020-02-28,0.83,-4.883,-0.583,3.206,10.621,3.928
SI,Ljubljana,2020-02-29,0.358,4.006,-0.152,-0.588,6.313,2.976
SI,Ljubljana,2020-03-01,-5.631,-68.644,3.04,-14.615,-10.559,-8.844
SI,Ljubljana,2020-03-02,-2.046,-19.009,0.249,-1.108,10.173,2.528
SI,Ljubljana,2020-03-03,-2.279,-31.179,0.787,-1.323,6.698,3.462
SI,Ljubljana,2020-03-04,-1.216,-18.116,0.068,-0.497,7.706,3.594
SI,Ljubljana,2020-03-05,3.248,-11.781,-0.447,0.463,8.828,2.64
SI,Ljubljana,2020-03-06,-2.566,-35.265,1.407,-5.465,1.792,2.877
SI,Ljubljana,2020-03-07,4.918,6.51,-0.111,-1.508,7.284,1.913
SI,Ljubljana,2020-03-08,16.229,35.522,-3.377,10.947,11.986,0.983
SI,Ljubljana,2020-03-09,1.259,-9.124,1.212,-4.002,1.492,0.155
SI,Ljubljana,2020-03-10,5.127,-12.755,1.852,-5.572,-3.691,0.367
SI,Ljubljana,2020-03-11,5.837,14.234,1.615,-9.186,-6.643,-0.581
SI,Ljubljana,2020-03-12,28.2,-11.781,3.766,-14.621,-14.532,-5.438
SI,Ljubljana,2020-03-13,17.663,-60.221,13.905,-38.467,-42.358,-18.643
SI,Ljubljana,2020-03-14,-21.817,-37.059,12.107,-57.654,-37.879,-16.582
SI,Ljubljana,2020-03-15,-35.771,-23.041,10.534,-63.175,-37.1,-24.568
SI,Ljubljana,2020-03-16,-34.617,-22.81,23.605,-75.043,-71.208,-54.276
SI,Ljubljana,2020-03-17,-47.282,-23.384,26.28,-80.868,-71.358,-61.21
SI,Ljubljana,2020-03-18,-48.638,-29.762,27.036,-81.715,-73.475,-62.838
SI,Ljubljana,2020-03-19,-48.321,-34.102,27.031,-81.441,-72.387,-64.57
SI,Ljubljana,2020-03-20,-44.535,-50.456,30.032,-82.613,-75.886,-64.005
SI,Ljubljana,2020-03-21,-47.121,-54.587,17.178,-85.892,-62.16,-47.194
SI,Ljubljana,2020-03-22,-96.218,-67.684,18.205,-93.628,-71.062,-49.135
SI,Ljubljana,2020-03-23,-46.655,-62.348,29.854,-82.583,-80.431,-65.781
SI,Ljubljana,2020-03-24,-55.176,-71.57,31.247,-84.803,-81.884,-66.822
SI,Ljubljana,2020-03-25,-54.394,-80.228,32.222,-86.491,-83.705,-66.326
SI,Ljubljana,2020-03-26,-58.539,-81.845,33.255,-86.8,-83.659,-67.737
SI,Ljubljana,2020-03-27,-49.441,-62.934,33.023,-82.765,-78.957,-65.111
SI,Ljubljana,2020-03-28,-43.634,-40.064,15.68,-81.627,-56.09,-46.131
SI,Ljubljana,2020-03-29,-95.058,-52.803,15.583,-90.542,-60.788,-45.532
SI,Ljubljana,2020-03-30,-56.568,-85.158,32.331,-85.799,-85.042,-66.813
SI,Ljubljana,2020-03-31,-56.315,-61.65,30.634,-84.385,-79.834,-65.93
SI,Ljubljana,2020-04-01,-58.123,-54.348,30.402,-84.401,-76.663,-65.851
SI,Ljubljana,2020-04-02,-54.895,-48.983,29.664,-82.136,-75.511,-65.678
SI,Ljubljana,2020-04-03,-45.592,-54.796,31.308,-80.873,-75.758,-64.558
SI,Ljubljana,2020-04-04,-41.845,-50.08,18.075,-81.995,-58.032,-48.257
SI,Ljubljana,2020-04-05,-94.561,-43.683,16.801,-88.853,-57.648,-47.17
SI,Overall,2020-02-23,7.093,18.626,-3.071,9.079,24.062,1.599
SI,Overall,2020-02-24,8.748,18.444,0.83,2.303,0.378,-6.977
SI,Overall,2020-02-25,9.963,12.74,1.384,0.029,2.21,-6.111
SI,Overall,2020-02-26,-3.946,-32.112,3.646,-11.409,-10.263,-7.311
SI,Overall,2020-02-27,-0.084,2.511,1.819,-1.258,-1.228,-7.285
SI,Overall,2020-02-28,0.546,8.875,1.314,-1.198,2.323,-6.589
SI,Overall,2020-02-29,-0.893,2.059,0.221,-0.56,4.016,0.203
SI,Overall,2020-03-01,-1.74,-55.259,2.04,-14.481,-13.242,-2.186
SI,Overall,2020-03-02,-2.216,-9.787,0.495,-1.359,4.919,2.525
SI,Overall,2020-03-03,-3.022,-15.431,0.854,-2.173,2.75,2.429
SI,Overall,2020-03-04,-1.017,-5.434,0.124,-0.433,5.734,2.752
SI,Overall,2020-03-05,2.74,1.099,-0.611,0.474,5.479,2.561
SI,Overall,2020-03-06,-1.682,-23.02,1.12,-4.972,-0.491,2.518
SI,Overall,2020-03-07,5.581,13.87,-0.132,2.781,7.328,3.661
SI,Overall,2020-03-08,22.265,46.924,-2.423,16.54,18.006,3.306
SI,Overall,2020-03-09,-1.433,7.905,0.739,-4.374,0.426,0.92
SI,Overall,2020-03-10,5.482,8.254,1.094,-3.163,1.719,0.582
SI,Overall,2020-03-11,4.753,27.666,0.814,-4.575,1.927,-0.03
SI,Overall,2020-03-12,29.268,11.299,2.023,-6.673,-5.337,-2.77
SI,Overall,2020-03-13,17.703,-36.472,10.62,-28.918,-28.996,-13.5
SI,Overall,2020-03-14,-22.219,-31.966,10.63,-49.712,-29.875,-13.388
SI,Overall,2020-03-15,-35.466,-8.644,8.305,-61.174,-27.857,-22.979
SI,Overall,2020-03-16,-28.826,-6.023,19.589,-67.318,-53.539,-43.819
SI,Overall,2020-03-17,-42.12,0.359,21.768,-73.32,-55.194,-50.882
SI,Overall,2020-03-18,-41.267,-5.764,22.86,-73.886,-56.326,-53.107
SI,Overall,2020-03-19,-42.918,-3.453,23.167,-73.881,-56.816,-54.841
SI,Overall,2020-03-20,-41.499,-19.692,26.245,-76.305,-59.423,-55.253
SI,Overall,2020-03-21,-47.684,-41.177,16.034,-80.271,-51.084,-44.91
SI,Overall,2020-03-22,-92.605,-58.964,14.84,-89.749,-64.193,-48.57
SI,Overall,2020-03-23,-38.94,-46.675,26.434,-74.679,-66.498,-56.991
SI,Overall,2020-03-24,-47.093,-54.19,27.677,-77.839,-68.403,-58.069
SI,Overall,2020-03-25,-45.231,-62.907,28.407,-79.004,-70.251,-58.203
SI,Overall,2020-03-26,-50.348,-64.501,29.256,-79.633,-71.693,-59.106
SI,Overall,2020-03-27,-43.833,-42.158,29.457,-76.723,-65.008,-56.828
SI,Overall,2020-03-28,-44.147,-25.356,14.717,-76.984,-44.813,-43.25
SI,Overall,2020-03-29,-91.62,-43.219,12.63,-87.69,-53.938,-44.678
SI,Overall,2020-03-30,-48.621,-64.554,28.009,-78.466,-72.173,-57.48
SI,Overall,2020-03-31,-49.096,-43.065,26.619,-77.223,-64.769,-56.963
SI,Overall,2020-04-01,-50.913,-34.912,26.013,-77.28,-61.916,-56.703
SI,Overall,2020-04-02,-47.205,-30.289,25.515,-75.076,-60.783,-56.904
SI,Overall,2020-04-03,-41.817,-35.363,27.639,-75.241,-61.21,-55.637
SI,Overall,2020-04-04,-44.92,-44.536,16.214,-78.156,-50.661,-44.368
SI,Overall,2020-04-05,-91.456,-33.958,12.806,-86.152,-51.435,-44.731
SI,Sežana,2020-02-23,7.093,18.626,-3.071,-4.252,24.062,1.599
SI,Sežana,2020-02-24,8.748,18.444,0.83,10.497,0.378,-6.977
SI,Sežana,2020-02-25,9.963,12.74,1.384,-1.555,2.21,-6.111
SI,Sežana,2020-02-26,-3.946,-32.112,3.646,-1.478,-10.263,-7.311
SI,Sežana,2020-02-27,-0.084,2.511,1.819,-1.51,-1.228,-7.285
SI,Sežana,2020-02-28,0.546,8.875,1.314,1.218,2.323,-6.589
SI,Sežana,2020-02-29,-0.893,2.059,0.221,1.786,4.016,0.203
SI,Sežana,2020-03-01,-1.74,-55.259,2.04,-26.219,-13.242,-2.186
SI,Sežana,2020-03-02,-2.216,-9.787,0.495,-7.267,4.919,2.525
SI,Sežana,2020-03-03,-3.022,-15.431,0.854,-7.774,2.75,2.429
