state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SK,Banská Bystrica Region,2020-02-23,-1.768,-14.269,-0.243,0.872,0.728,-1.031
SK,Banská Bystrica Region,2020-02-24,-5.488,17.473,2.432,3.419,-5.354,-19.832
SK,Banská Bystrica Region,2020-02-25,-5.105,36.058,0.911,2.753,-4.573,-19.423
SK,Banská Bystrica Region,2020-02-26,-9.268,9.889,3.071,-3.497,-9.781,-20.41
SK,Banská Bystrica Region,2020-02-27,-3.79,17.756,2.361,-2.388,-6.358,-22.451
SK,Banská Bystrica Region,2020-02-28,-3.988,-2.566,6.017,-6.72,-10.705,-24.408
SK,Banská Bystrica Region,2020-02-29,13.124,1.255,-2.166,12.619,14.994,2.821
SK,Banská Bystrica Region,2020-03-01,0.136,-17.123,1.221,-5.448,13.112,1.031
SK,Banská Bystrica Region,2020-03-02,1.925,9.409,1.047,-1.596,1.947,0.253
SK,Banská Bystrica Region,2020-03-03,-4.222,-10.016,0.82,-4.539,-4.065,1.538
SK,Banská Bystrica Region,2020-03-04,-3.282,1.978,1.35,-1.384,-2.445,1.54
SK,Banská Bystrica Region,2020-03-05,1.756,22.491,-0.202,0.983,7.336,1.941
SK,Banská Bystrica Region,2020-03-06,0.57,-12.315,2.535,-2.46,-2.47,-0.333
SK,Banská Bystrica Region,2020-03-07,5.684,-3.765,1.847,-0.643,-3.946,2.604
SK,Banská Bystrica Region,2020-03-08,19.854,15.221,0.391,0.327,10.198,2.578
SK,Banská Bystrica Region,2020-03-09,5.295,17.473,0.55,0.076,5.354,0.634
SK,Banská Bystrica Region,2020-03-10,6.578,23.371,0.654,-4.836,2.033,-0.962
SK,Banská Bystrica Region,2020-03-11,3.379,-10.549,3.319,-9.98,-8.803,-3.273
SK,Banská Bystrica Region,2020-03-12,16.914,9.47,4.046,-14.54,-19.073,-12.422
SK,Banská Bystrica Region,2020-03-13,7.324,-22.578,12.24,-37.562,-40.349,-24.341
SK,Banská Bystrica Region,2020-03-14,-27.282,-24.264,8.923,-73.302,-42.614,-21.918
SK,Banská Bystrica Region,2020-03-15,-37.635,-4.281,8.286,-79.324,-53.176,-28.362
SK,Banská Bystrica Region,2020-03-16,-19.062,-16.129,17.264,-69.976,-50.623,-42.896
SK,Banská Bystrica Region,2020-03-17,-30.239,-3.339,17.629,-75.0,-55.386,-47.756
SK,Banská Bystrica Region,2020-03-18,-28.576,10.549,18.892,-74.592,-57.707,-48.008
SK,Banská Bystrica Region,2020-03-19,-27.913,10.062,18.426,-74.174,-54.773,-49.172
SK,Banská Bystrica Region,2020-03-20,-29.704,-3.079,21.725,-76.445,-64.229,-49.149
SK,Banská Bystrica Region,2020-03-21,-40.613,-68.189,15.295,-89.217,-67.077,-39.28
SK,Banská Bystrica Region,2020-03-22,-41.748,-37.576,11.317,-86.079,-69.93,-36.613
SK,Banská Bystrica Region,2020-03-23,-25.994,-37.634,20.552,-73.319,-61.332,-48.408
SK,Banská Bystrica Region,2020-03-24,-27.097,-18.697,18.897,-73.512,-58.943,-48.397
SK,Banská Bystrica Region,2020-03-25,-30.989,-23.075,20.817,-74.155,-61.131,-48.265
SK,Banská Bystrica Region,2020-03-26,-29.022,-15.388,19.61,-74.104,-59.664,-47.943
SK,Banská Bystrica Region,2020-03-27,-24.658,5.131,21.194,-73.685,-59.7,-47.282
SK,Banská Bystrica Region,2020-03-28,-22.941,-9.203,10.091,-81.983,-56.818,-31.25
SK,Banská Bystrica Region,2020-03-29,-92.064,5.232,8.887,-84.227,-61.189,-37.644
SK,Banská Bystrica Region,2020-03-30,-23.009,-26.882,17.993,-64.962,-56.951,-44.607
SK,Banská Bystrica Region,2020-03-31,-26.508,-12.019,16.608,-65.774,-54.37,-43.974
SK,Banská Bystrica Region,2020-04-01,-27.61,3.296,17.714,-65.851,-53.306,-44.285
SK,Banská Bystrica Region,2020-04-02,-24.031,2.367,17.348,-65.464,-55.262,-44.772
SK,Banská Bystrica Region,2020-04-03,-21.566,-7.184,20.068,-67.984,-58.877,-45.415
SK,Banská Bystrica Region,2020-04-04,-20.668,5.02,8.175,-76.517,-44.192,-29.731
SK,Banská Bystrica Region,2020-04-05,-91.52,40.906,7.121,-80.958,-54.633,-32.745
SK,Bratislava Region,2020-02-23,1.561,-26.617,-1.461,-6.432,5.494,0.495
SK,Bratislava Region,2020-02-24,6.114,26.504,-0.916,6.664,10.191,2.809
SK,Bratislava Region,2020-02-25,7.092,58.962,-1.942,8.624,12.75,3.545
SK,Bratislava Region,2020-02-26,5.197,22.749,0.269,2.878,4.393,1.393
SK,Bratislava Region,2020-02-27,8.221,22.321,0.195,5.011,7.755,0.846
SK,Bratislava Region,2020-02-28,11.715,-0.983,1.978,0.429,2.347,0.795
SK,Bratislava Region,2020-02-29,26.838,18.07,-1.918,11.166,14.226,6.174
SK,Bratislava Region,2020-03-01,-2.861,-17.087,0.656,-8.726,5.388,0.66
SK,Bratislava Region,2020-03-02,6.557,33.284,-0.45,5.057,9.997,2.838
SK,Bratislava Region,2020-03-03,3.945,8.517,-0.101,-0.314,2.103,2.476
SK,Bratislava Region,2020-03-04,4.717,35.321,0.293,3.644,4.957,0.557
SK,Bratislava Region,2020-03-05,5.679,28.699,0.161,4.272,6.39,1.156
