state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
SK,Banská Bystrica Region,grocery/pharmacy,-1.768,-5.488,-5.105,-9.268,-3.79,-3.988,13.124,0.136,1.925,-4.222,-3.282,1.756,0.57,5.684,19.854,5.295,6.578,3.379,16.914,7.324,-27.282,-37.635,-19.062,-30.239,-28.576,-27.913,-29.704,-40.613,-41.748,-25.994,-27.097,-30.989,-29.022,-24.658,-22.941,-92.064,-23.009,-26.508,-27.61,-24.031,-21.566,-20.668,-91.52
SK,Banská Bystrica Region,parks,-14.269,17.473,36.058,9.889,17.756,-2.566,1.255,-17.123,9.409,-10.016,1.978,22.491,-12.315,-3.765,15.221,17.473,23.371,-10.549,9.47,-22.578,-24.264,-4.281,-16.129,-3.339,10.549,10.062,-3.079,-68.189,-37.576,-37.634,-18.697,-23.075,-15.388,5.131,-9.203,5.232,-26.882,-12.019,3.296,2.367,-7.184,5.02,40.906
SK,Banská Bystrica Region,residential,-0.243,2.432,0.911,3.071,2.361,6.017,-2.166,1.221,1.047,0.82,1.35,-0.202,2.535,1.847,0.391,0.55,0.654,3.319,4.046,12.24,8.923,8.286,17.264,17.629,18.892,18.426,21.725,15.295,11.317,20.552,18.897,20.817,19.61,21.194,10.091,8.887,17.993,16.608,17.714,17.348,20.068,8.175,7.121
SK,Banská Bystrica Region,retail/recreation,0.872,3.419,2.753,-3.497,-2.388,-6.72,12.619,-5.448,-1.596,-4.539,-1.384,0.983,-2.46,-0.643,0.327,0.076,-4.836,-9.98,-14.54,-37.562,-73.302,-79.324,-69.976,-75.0,-74.592,-74.174,-76.445,-89.217,-86.079,-73.319,-73.512,-74.155,-74.104,-73.685,-81.983,-84.227,-64.962,-65.774,-65.851,-65.464,-67.984,-76.517,-80.958
SK,Banská Bystrica Region,transitstations,0.728,-5.354,-4.573,-9.781,-6.358,-10.705,14.994,13.112,1.947,-4.065,-2.445,7.336,-2.47,-3.946,10.198,5.354,2.033,-8.803,-19.073,-40.349,-42.614,-53.176,-50.623,-55.386,-57.707,-54.773,-64.229,-67.077,-69.93,-61.332,-58.943,-61.131,-59.664,-59.7,-56.818,-61.189,-56.951,-54.37,-53.306,-55.262,-58.877,-44.192,-54.633
SK,Banská Bystrica Region,workplace,-1.031,-19.832,-19.423,-20.41,-22.451,-24.408,2.821,1.031,0.253,1.538,1.54,1.941,-0.333,2.604,2.578,0.634,-0.962,-3.273,-12.422,-24.341,-21.918,-28.362,-42.896,-47.756,-48.008,-49.172,-49.149,-39.28,-36.613,-48.408,-48.397,-48.265,-47.943,-47.282,-31.25,-37.644,-44.607,-43.974,-44.285,-44.772,-45.415,-29.731,-32.745
SK,Bratislava Region,grocery/pharmacy,1.561,6.114,7.092,5.197,8.221,11.715,26.838,-2.861,6.557,3.945,4.717,5.679,8.857,9.895,20.677,13.824,5.94,1.398,14.621,9.919,-22.156,-32.576,-21.533,-30.851,-28.913,-29.623,-27.021,-37.313,-41.55,-31.015,-30.94,-34.285,-30.852,-22.735,-18.343,-94.478,-27.072,-31.117,-30.18,-26.317,-20.286,-17.619,-94.218
SK,Bratislava Region,parks,-26.617,26.504,58.962,22.749,22.321,-0.983,18.07,-17.087,33.284,8.517,35.321,28.699,-1.965,14.881,48.633,19.107,57.652,23.348,62.181,-23.585,-11.338,-20.045,-20.34,-17.034,30.532,30.293,28.007,-72.279,-44.361,-40.68,-10.482,-41.307,-26.573,15.723,38.265,-2.629,-39.448,-15.068,1.796,1.594,-3.439,15.59,32.86
SK,Bratislava Region,residential,-1.461,-0.916,-1.942,0.269,0.195,1.978,-1.918,0.656,-0.45,-0.101,0.293,0.161,1.861,1.321,-0.484,3.694,7.307,11.119,11.671,19.174,12.909,12.644,24.871,27.753,29.108,29.162,29.503,18.324,15.654,28.534,28.205,30.954,30.704,29.178,11.805,12.931,26.638,26.019,27.747,27.975,27.973,11.522,10.978
SK,Bratislava Region,retail/recreation,-6.432,6.664,8.624,2.878,5.011,0.429,11.166,-8.726,5.057,-0.314,3.644,4.272,-3.864,-3.67,4.04,-6.249,-13.601,-21.214,-21.037,-45.385,-73.114,-77.697,-71.0,-77.038,-75.293,-74.655,-74.626,-84.905,-84.031,-74.605,-74.501,-76.663,-75.417,-72.307,-74.078,-86.003,-67.966,-69.718,-69.212,-68.236,-67.305,-70.329,-81.543
