state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SV,Overall,2020-02-23,0.887,,0.327,0.026,-3.084,1.192
SV,Overall,2020-02-24,0.78,-3.158,-0.093,-1.835,-0.06,5.095
SV,Overall,2020-02-25,-1.405,-3.177,-0.646,-0.09,-1.24,4.323
SV,Overall,2020-02-26,-2.569,2.663,-0.487,-1.591,-1.006,4.009
SV,Overall,2020-02-27,-1.307,-2.479,-0.176,-0.566,-2.158,3.447
SV,Overall,2020-02-28,4.816,-2.858,-1.973,3.259,-0.638,8.571
SV,Overall,2020-02-29,6.243,-1.676,-1.181,4.981,-0.409,5.931
SV,Overall,2020-03-01,7.569,1.66,-0.645,6.793,2.332,3.824
SV,Overall,2020-03-02,6.8,-1.22,-0.778,2.757,4.036,6.706
SV,Overall,2020-03-03,3.421,-2.82,-0.976,2.475,-0.496,5.668
SV,Overall,2020-03-04,2.364,-0.396,-0.622,0.961,-1.257,5.25
SV,Overall,2020-03-05,-0.163,-3.202,-0.428,0.239,-4.624,4.847
SV,Overall,2020-03-06,1.029,-1.988,-1.517,-0.386,-1.74,9.778
SV,Overall,2020-03-07,-0.425,-3.268,0.29,-1.332,-5.965,5.263
SV,Overall,2020-03-08,-0.165,-2.505,0.841,0.07,-6.168,1.995
SV,Overall,2020-03-09,1.14,-3.66,-0.212,-1.893,-1.807,6.233
SV,Overall,2020-03-10,0.285,-4.391,-0.773,-1.184,-2.356,5.226
SV,Overall,2020-03-11,13.669,1.152,-0.879,-0.178,-2.388,4.773
SV,Overall,2020-03-12,6.923,-8.677,4.562,-6.777,-12.886,-6.239
SV,Overall,2020-03-13,12.195,-10.935,4.002,-6.686,-15.895,-1.435
SV,Overall,2020-03-14,8.369,-14.523,4.876,-10.865,-16.083,
SV,Overall,2020-03-15,3.011,-21.854,6.071,-21.333,-23.395,-3.27
SV,Overall,2020-03-16,10.081,-17.513,7.256,-15.345,-21.567,-8.926
SV,Overall,2020-03-17,5.417,-22.559,9.738,-22.832,-24.923,-15.615
SV,Overall,2020-03-18,-2.569,-24.761,11.614,-31.499,-30.484,-19.696
SV,Overall,2020-03-19,3.839,-34.982,17.152,-37.856,-40.136,-31.759
SV,Overall,2020-03-20,-14.273,-43.865,21.534,-50.197,-48.554,-38.246
SV,Overall,2020-03-21,-20.311,-50.44,19.611,-57.587,-52.577,-35.478
SV,Overall,2020-03-22,-58.838,-73.954,22.845,-82.793,-74.172,-53.485
SV,Overall,2020-03-23,-49.102,-66.463,33.55,-75.953,-69.1,-65.658
SV,Overall,2020-03-24,-54.471,-68.713,33.718,-78.165,-69.995,-68.399
SV,Overall,2020-03-25,-52.026,-67.05,33.933,-76.816,-70.081,-67.835
SV,Overall,2020-03-26,-50.747,-68.035,34.423,-76.804,-70.223,-68.186
SV,Overall,2020-03-27,-47.072,-67.288,34.002,-74.957,-69.322,-65.394
SV,Overall,2020-03-28,-56.203,-69.99,28.211,-78.829,-71.351,-60.02
SV,Overall,2020-03-29,-62.529,-72.475,22.65,-80.806,-72.743,-50.353
SV,Overall,2020-03-30,-44.762,-60.219,31.988,-69.36,-63.617,-64.566
SV,Overall,2020-03-31,-43.333,-61.074,30.903,-68.66,-64.601,-64.472
SV,Overall,2020-04-01,-43.002,-60.572,31.571,-69.83,-63.167,-64.572
SV,Overall,2020-04-02,-45.274,-62.423,32.457,-71.087,-65.291,-65.475
SV,Overall,2020-04-03,-45.654,-64.12,33.298,-72.456,-66.247,-62.981
SV,Overall,2020-04-04,-51.951,-67.728,28.457,-75.73,-68.66,-57.518
SV,Overall,2020-04-05,-57.93,-70.543,22.363,-78.416,-70.411,-47.915
