state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
South Carolina,Overall,2020-02-23,0.618,17.176,-0.613,5.013,11.632,2.95
South Carolina,Overall,2020-02-24,-2.331,-7.667,0.916,-1.47,-1.174,2.903
South Carolina,Overall,2020-02-25,1.283,-1.082,0.62,5.549,2.793,1.87
South Carolina,Overall,2020-02-26,1.749,-7.3,-0.823,10.312,8.045,1.673
South Carolina,Overall,2020-02-27,4.803,8.554,-1.102,12.795,13.339,2.087
South Carolina,Overall,2020-02-28,5.405,10.549,-2.396,12.075,14.594,0.734
South Carolina,Overall,2020-02-29,7.756,39.426,-2.874,15.171,14.637,3.441
South Carolina,Overall,2020-03-01,7.951,24.701,-1.789,15.581,25.49,3.158
South Carolina,Overall,2020-03-02,6.24,19.55,-1.069,9.767,8.431,3.832
South Carolina,Overall,2020-03-03,8.194,3.318,0.361,10.18,4.321,1.704
South Carolina,Overall,2020-03-04,2.873,-10.716,0.521,6.674,4.758,0.933
South Carolina,Overall,2020-03-05,-1.783,-24.667,2.778,1.651,1.906,-0.599
South Carolina,Overall,2020-03-06,5.333,20.667,-2.066,9.061,11.894,1.927
South Carolina,Overall,2020-03-07,6.94,53.184,-1.854,10.606,17.652,3.441
South Carolina,Overall,2020-03-08,7.136,38.315,-1.263,11.902,23.988,1.858
South Carolina,Overall,2020-03-09,7.969,53.436,-1.051,8.625,6.921,2.341
South Carolina,Overall,2020-03-10,8.641,33.543,-0.155,8.602,7.725,1.083
South Carolina,Overall,2020-03-11,7.341,42.595,-1.034,9.991,9.861,0.678
South Carolina,Overall,2020-03-12,14.77,42.57,-0.548,10.571,10.936,0.022
South Carolina,Overall,2020-03-13,22.222,41.333,-1.278,8.301,10.447,-2.448
South Carolina,Overall,2020-03-14,17.662,64.573,-0.42,4.08,9.531,1.368
South Carolina,Overall,2020-03-15,22.92,14.533,1.141,2.463,16.196,-2.885
South Carolina,Overall,2020-03-16,23.719,12.573,4.382,-0.637,-0.629,-10.334
South Carolina,Overall,2020-03-17,17.161,5.699,7.468,-8.428,-2.444,-15.309
South Carolina,Overall,2020-03-18,11.457,9.778,8.942,-18.849,-3.936,-21.475
South Carolina,Overall,2020-03-19,10.157,32.358,10.208,-22.084,-8.782,-23.399
South Carolina,Overall,2020-03-20,10.148,30.722,10.212,-24.805,-12.99,-26.008
South Carolina,Overall,2020-03-21,4.496,39.079,7.213,-31.739,-15.658,-17.285
South Carolina,Overall,2020-03-22,-9.089,-22.231,9.046,-39.348,-22.541,-28.225
South Carolina,Overall,2020-03-23,-6.898,-20.93,13.254,-33.881,-25.251,-29.892
South Carolina,Overall,2020-03-24,-8.513,-28.494,15.738,-35.796,-23.307,-33.369
South Carolina,Overall,2020-03-25,-5.345,-2.076,13.75,-30.191,-21.409,-34.049
South Carolina,Overall,2020-03-26,-6.114,-4.575,14.686,-31.246,-24.234,-34.614
South Carolina,Overall,2020-03-27,-5.722,5.552,13.943,-32.01,-27.193,-35.441
South Carolina,Overall,2020-03-28,-4.167,12.255,8.947,-35.398,-31.754,-25.042
South Carolina,Overall,2020-03-29,-11.47,-3.906,9.154,-37.903,-33.95,-34.319
South Carolina,Overall,2020-03-30,-8.006,-0.997,13.382,-30.515,-29.782,-36.459
South Carolina,Overall,2020-03-31,-6.382,-30.297,16.33,-32.258,-27.279,-39.275
South Carolina,Overall,2020-04-01,-3.362,-25.718,15.26,-30.04,-25.734,-40.256
South Carolina,Overall,2020-04-02,-4.013,-19.826,16.466,-33.082,-29.039,-40.82
South Carolina,Overall,2020-04-03,-0.907,-17.952,15.499,-32.338,-33.14,-41.304
South Carolina,Overall,2020-04-04,-4.649,-22.025,10.665,-40.019,-39.34,-31.466
South Carolina,Overall,2020-04-05,-11.253,-24.069,9.93,-41.686,-40.851,-37.815
