state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
South Carolina,Abbeville County,grocery/pharmacy,6.775,-12.74,20.065,-10.27,17.102,11.351,11.161,10.163,9.742,7.684,2.201,10.883,15.358,7.44,21.172,8.618,25.615,12.837,26.43,22.035,22.321,22.866,28.477,32.018,3.668,20.211,20.032,27.53,1.694,-2.998,-8.538,,16.325,,22.321,7.622,-0.749,-1.708,13.571,17.102,17.361,23.81,6.775
South Carolina,Abbeville County,parks,17.176,-7.667,-1.082,-7.3,8.554,10.549,39.426,24.701,19.55,3.318,-10.716,-24.667,20.667,53.184,38.315,53.436,33.543,42.595,42.57,41.333,64.573,14.533,12.573,5.699,9.778,32.358,30.722,39.079,-22.231,-20.93,-28.494,-2.076,-4.575,5.552,12.255,-3.906,-0.997,-30.297,-25.718,-19.826,-17.952,-22.025,-24.069
South Carolina,Abbeville County,residential,-0.613,0.916,0.62,-0.823,-1.102,-2.396,-2.874,-1.789,-1.069,0.361,0.521,2.778,-2.066,-1.854,-1.263,-1.051,-0.155,-1.034,-0.548,-1.278,-0.42,1.141,4.382,7.468,8.942,10.208,10.212,7.213,9.046,13.254,15.738,13.75,14.686,13.943,8.947,9.154,13.382,16.33,15.26,16.466,15.499,10.665,9.93
South Carolina,Abbeville County,retail/recreation,5.013,-1.47,5.549,10.312,12.795,12.075,15.171,15.581,9.767,10.18,6.674,1.651,9.061,10.606,11.902,8.625,8.602,9.991,10.571,8.301,4.08,2.463,-0.637,-8.428,-18.849,-22.084,-24.805,-31.739,-39.348,-33.881,-35.796,-30.191,-31.246,-32.01,-35.398,-37.903,-30.515,-32.258,-30.04,-33.082,-32.338,-40.019,-41.686
South Carolina,Abbeville County,transitstations,11.632,-1.174,2.793,8.045,13.339,14.594,14.637,25.49,8.431,4.321,4.758,1.906,11.894,17.652,23.988,6.921,7.725,9.861,10.936,10.447,9.531,16.196,-0.629,-2.444,-3.936,-8.782,-12.99,-15.658,-22.541,-25.251,-23.307,-21.409,-24.234,-27.193,-31.754,-33.95,-29.782,-27.279,-25.734,-29.039,-33.14,-39.34,-40.851
South Carolina,Abbeville County,workplace,-4.529,4.096,4.554,3.307,-0.554,0.616,-3.019,-7.548,,-0.569,-0.551,-2.216,-1.849,6.039,-4.529,3.511,2.846,2.756,-0.554,1.849,,-3.019,-4.682,-10.815,-13.779,-18.839,-21.573,-13.587,-25.664,-18.727,-22.769,-24.25,-26.042,-28.969,-15.097,-31.703,-28.09,-33.584,-32.518,-33.799,-35.75,-19.626,-40.761
South Carolina,Aiken County,grocery/pharmacy,3.454,1.42,1.623,7.062,7.094,9.186,7.046,12.787,6.655,12.175,2.825,-2.336,10.944,6.966,8.027,10.559,9.56,11.653,17.823,31.633,19.536,26.882,29.369,21.916,14.036,18.947,15.737,4.964,-6.067,-1.153,-6.674,-4.767,-5.364,-2.237,-6.565,-11.387,-4.88,-4.239,0.883,5.624,4.873,-5.364,-11.294
South Carolina,Aiken County,parks,36.315,-22.936,-11.574,-5.734,0.947,14.881,5.787,21.024,-19.113,-7.716,-18.157,-20.833,34.341,41.336,43.005,25.803,17.361,25.803,26.515,19.46,34.722,13.379,-20.069,-10.61,-5.734,2.841,17.17,6.614,-16.246,-42.049,-35.687,-1.911,-2.841,13.736,-10.747,-0.956,-16.246,-38.58,-20.069,-19.886,1.145,-29.762,-11.468
South Carolina,Aiken County,residential,-0.665,1.513,0.849,-0.699,-1.516,-1.363,-2.563,-1.696,-0.61,0.066,0.836,2.271,-3.134,-2.679,-1.892,-1.575,-1.099,-1.525,-1.522,-3.11,-1.447,0.248,3.781,5.944,8.236,8.345,8.404,6.233,8.68,12.263,14.826,13.451,13.983,12.686,9.091,8.681,13.18,15.841,14.591,16.117,14.595,11.117,10.225
South Carolina,Aiken County,retail/recreation,5.502,0.522,5.684,13.245,15.338,12.582,15.599,18.46,10.795,15.287,5.498,1.639,10.693,10.297,11.867,11.013,11.498,10.954,10.069,9.985,4.858,4.183,1.175,-6.115,-16.535,-18.109,-19.97,-28.941,-34.055,-30.906,-32.21,-28.489,-27.281,-28.403,-30.138,-32.646,-25.117,-26.655,-24.199,-23.885,-27.087,-36.364,-36.647
